 	l'	homme	qui	s'	adresse	à	ce	mort	est	son	père	</S>
a15	0.226367	0.130522	0.101935	0.0825887	0.0646905	0.0955583	0.103309	0.0767687	0.0692049	0.0269393	0.0122114	0.00990452
a27	0.35024	0.169561	0.125922	0.0884813	0.0586815	0.0483668	0.0452797	0.0312661	0.0363133	0.0186728	0.0132703	0.0139452
a87	0.210051	0.146807	0.140245	0.134306	0.150158	0.0816541	0.0494267	0.0234396	0.0172124	0.0119923	0.0155302	0.0191772
a23	0.255012	0.176994	0.16216	0.120923	0.150484	0.0624589	0.0324515	0.0142827	0.00898701	0.00537368	0.0052001	0.00567356
a99	0.222624	0.144276	0.134488	0.104585	0.165756	0.0898286	0.0590138	0.027988	0.0148843	0.010326	0.0122842	0.0139457
a13	0.207557	0.132714	0.110889	0.100676	0.147844	0.100189	0.0598437	0.030388	0.0211293	0.0223272	0.029644	0.0367999
a99	0.204196	0.150849	0.114605	0.109399	0.120043	0.0957376	0.0615112	0.0314519	0.0223426	0.0249385	0.0325939	0.032331
a83	0.139452	0.130704	0.115013	0.130187	0.125805	0.108656	0.073531	0.0336916	0.0272389	0.0331458	0.044029	0.038546
a94	0.076493	0.088811	0.0899345	0.122668	0.163728	0.139378	0.100467	0.0497842	0.0415082	0.0412647	0.0473439	0.0386191
a12	0.0550534	0.0744649	0.0913852	0.128516	0.175069	0.146713	0.105988	0.0523784	0.0425611	0.0402963	0.0460185	0.0415571
a18	0.0263001	0.0400275	0.0575707	0.113653	0.228702	0.152409	0.105214	0.0550255	0.0453167	0.0478199	0.0609185	0.0670443
a98	0.0242065	0.0358084	0.0511026	0.097337	0.221464	0.189932	0.138887	0.0668328	0.0462591	0.0380245	0.0433252	0.0468203
a50	0.0282068	0.0397721	0.0595216	0.0984484	0.174397	0.190104	0.146308	0.0732693	0.0485669	0.0387626	0.0461854	0.0564574
a83	0.00997104	0.0136697	0.0225713	0.0454028	0.126015	0.205002	0.181797	0.106616	0.065484	0.0502644	0.0712688	0.101939
a30	0.0175071	0.0216675	0.0336371	0.0517315	0.102644	0.20969	0.192232	0.124088	0.0724794	0.0446912	0.055304	0.0743285
a53	0.0077471	0.0083773	0.0180476	0.0255936	0.0411803	0.17243	0.196966	0.190034	0.103623	0.060812	0.0675148	0.107673
a79	0.011766	0.0125843	0.0206574	0.0281656	0.0369452	0.137654	0.167869	0.156589	0.109216	0.0740907	0.0957957	0.148667
a37	0.0265909	0.0274865	0.0417331	0.0535343	0.0460818	0.137572	0.164073	0.144385	0.110422	0.0718164	0.0743192	0.101987
a44	0.0119123	0.0115985	0.0179035	0.0241141	0.0242018	0.0869496	0.13101	0.150283	0.13044	0.104593	0.124303	0.182691
a66	0.0100351	0.00922713	0.0133205	0.0157965	0.0140077	0.048916	0.0912147	0.121617	0.127416	0.126831	0.166745	0.254873
a57	0.00487909	0.00467117	0.00674572	0.008104	0.00766764	0.0234535	0.0459232	0.078743	0.103807	0.139384	0.220145	0.356476
a38	0.00323615	0.00315891	0.00426076	0.00560466	0.00494601	0.0104544	0.0198818	0.0495899	0.0857044	0.179038	0.25504	0.379086
a54	0.00490482	0.00429808	0.00503624	0.00631393	0.00471785	0.00895924	0.0151655	0.0419399	0.0828085	0.188728	0.254996	0.382132
a30	0.00675276	0.00563772	0.00740263	0.009021	0.00515977	0.00886634	0.0113615	0.0215203	0.0380197	0.119247	0.272526	0.494485
a5	0.00603853	0.00421063	0.0052358	0.00783596	0.00440575	0.00736418	0.00780971	0.01416	0.0274855	0.111411	0.270925	0.533118
a18	0.00203989	0.00151496	0.00153295	0.00180803	0.0009565	0.00148485	0.00243066	0.00660735	0.0192253	0.106452	0.300905	0.555043
a36	0.00167776	0.00146548	0.00157047	0.00240012	0.00146697	0.00195244	0.00217677	0.00465553	0.0122857	0.0784193	0.255258	0.636671
a27	0.00908769	0.00684441	0.00682162	0.00955041	0.00467957	0.00506622	0.00442568	0.00600961	0.0117326	0.0681061	0.227453	0.640223
a57	0.0499883	0.033724	0.0274788	0.0307681	0.0172386	0.0180747	0.014199	0.0158561	0.0257897	0.0922733	0.208979	0.465631
a87	0.188799	0.120776	0.0897973	0.0732888	0.0390942	0.0298492	0.0231734	0.0197312	0.0268446	0.0694668	0.126857	0.192322
a23	0.266694	0.1731	0.128029	0.0823102	0.0414123	0.02453	0.0186675	0.0138553	0.0180059	0.0440441	0.0838174	0.105535
a87	0.25298	0.177087	0.133175	0.0976779	0.0295339	0.0182667	0.016988	0.0181618	0.0241374	0.0554721	0.090609	0.0859113
</S>	0.148495	0.12814	0.125704	0.128667	0.0421016	0.0269005	0.0288356	0.0292425	0.0292702	0.0622646	0.116387	0.133992
