 	il	avantage	les	enfants	de	sa	première	femme	</S>
a23	0.257851	0.225174	0.161164	0.126865	0.0827537	0.0593468	0.0406322	0.0238523	0.0223614
a53	0.238122	0.151793	0.191278	0.156297	0.0877062	0.0543575	0.0394206	0.0353174	0.0457097
a76	0.262914	0.263664	0.188188	0.107381	0.0745493	0.0528863	0.0281382	0.0114301	0.010849
a56	0.331541	0.336565	0.160896	0.0668208	0.0422242	0.030099	0.0161262	0.0085519	0.00717634
a98	0.389412	0.361233	0.145139	0.053965	0.0258066	0.0127295	0.00512747	0.00308151	0.00350615
a73	0.274462	0.33463	0.155195	0.0832991	0.0550789	0.0386682	0.0219694	0.0183777	0.0183198
a84	0.175566	0.306251	0.200191	0.120792	0.0734363	0.0458287	0.0260389	0.023762	0.0281343
a75	0.0992274	0.21769	0.18117	0.156912	0.121321	0.0769024	0.0511638	0.0462117	0.0494016
a41	0.109629	0.231776	0.172594	0.123634	0.0998938	0.0781932	0.0594428	0.0577511	0.0670855
a94	0.108863	0.165667	0.170934	0.140712	0.113754	0.0886502	0.0709538	0.0712362	0.0692305
a76	0.123208	0.148898	0.165913	0.171194	0.13231	0.0897605	0.0553829	0.0539824	0.0593502
a90	0.077045	0.0848089	0.0733036	0.0905996	0.110179	0.120498	0.140655	0.160448	0.142463
a58	0.0978817	0.120344	0.115022	0.150372	0.161774	0.131327	0.0860763	0.0704725	0.066731
a38	0.0420224	0.0562245	0.0683249	0.113864	0.170038	0.182429	0.136328	0.112764	0.118006
a41	0.0634796	0.0771225	0.0672747	0.0882902	0.120352	0.132475	0.129103	0.159709	0.162194
a94	0.0339108	0.0456074	0.0405752	0.0576293	0.0963654	0.122471	0.141281	0.225613	0.236546
a24	0.0477355	0.0549626	0.0498399	0.0633851	0.0995206	0.147702	0.159623	0.191011	0.18622
a32	0.0364083	0.0353682	0.0300994	0.0407392	0.0718905	0.125148	0.176606	0.242309	0.241432
a75	0.0372077	0.0378917	0.0319244	0.0396447	0.0656053	0.113672	0.166353	0.245095	0.262607
a73	0.0460566	0.0502511	0.0403984	0.0495619	0.0786635	0.121971	0.14745	0.209851	0.255796
a44	0.0216413	0.035585	0.0328616	0.0441259	0.0712039	0.114681	0.16894	0.242203	0.268758
a58	0.0176162	0.0275591	0.0311345	0.0462582	0.0742013	0.114846	0.199668	0.239415	0.249302
a38	0.00950273	0.0136562	0.0162858	0.0324705	0.0688256	0.121408	0.227591	0.251393	0.258867
a73	0.0126286	0.0156821	0.0197285	0.0345596	0.0599001	0.101562	0.215304	0.248452	0.292182
a94	0.0108505	0.0157213	0.020703	0.0330122	0.047023	0.0724626	0.189616	0.262974	0.347637
a41	0.0148309	0.0171333	0.0224423	0.0346393	0.047202	0.0668235	0.156327	0.24086	0.399743
a76	0.0252991	0.0262974	0.029206	0.0402938	0.0541351	0.0861498	0.159032	0.222369	0.357218
a73	0.0183427	0.0213094	0.0241735	0.031348	0.0430501	0.0632467	0.143101	0.25353	0.401898
a94	0.00204624	0.00358707	0.00544711	0.00977326	0.0167818	0.0348313	0.126412	0.294205	0.506917
a76	0.00237287	0.00382868	0.00486475	0.00888338	0.0171568	0.0326722	0.108242	0.274304	0.547676
a41	0.0170171	0.0183538	0.0208683	0.028073	0.0332413	0.0382045	0.0843415	0.218153	0.541747
a32	0.00511861	0.00642993	0.00875079	0.0134918	0.0191124	0.0359685	0.10971	0.274832	0.526585
a75	0.00212122	0.00322004	0.00368138	0.00588876	0.0101138	0.0196487	0.0775222	0.273735	0.604069
a25	0.0104844	0.0132244	0.014583	0.0213723	0.0290263	0.040459	0.112369	0.268293	0.490188
a76	0.00427793	0.00568493	0.00745628	0.0115903	0.0162382	0.0270529	0.0982828	0.281835	0.547582
a98	0.0118403	0.0160694	0.0192865	0.0273392	0.0371105	0.0468833	0.101395	0.247808	0.492268
a41	0.0127359	0.0157564	0.0175444	0.0236021	0.0309294	0.0423449	0.0972981	0.26027	0.499519
a44	0.00659374	0.00905951	0.0117513	0.0164252	0.0227103	0.0399418	0.125241	0.282364	0.485913
a53	0.00435855	0.00736682	0.00736095	0.0123962	0.0213867	0.0300766	0.0725131	0.244067	0.600475
a90	0.00741794	0.00866388	0.0102502	0.0161956	0.0220351	0.0297242	0.0862786	0.243944	0.57549
a98	0.00728948	0.00686587	0.00868535	0.0139263	0.0180336	0.0245196	0.0694591	0.228907	0.622313
a32	0.00539144	0.00486386	0.00582864	0.00913391	0.0119581	0.0176897	0.0579774	0.226404	0.660753
a93	0.00478938	0.00474211	0.00525706	0.0073497	0.00926975	0.0162509	0.0617726	0.240173	0.650396
a13	0.00326695	0.0036734	0.00448074	0.00733227	0.0116979	0.0236874	0.0761832	0.265172	0.604506
a9	0.00519785	0.00527581	0.00619725	0.0084642	0.0119791	0.0232747	0.0670222	0.239121	0.633468
a87	0.00298651	0.00377345	0.00446346	0.00582607	0.00886257	0.0191444	0.0576665	0.254748	0.642529
</S>	0.0014722	0.0021988	0.0031658	0.00400198	0.00693061	0.0196832	0.0696457	0.26329	0.629612
