 	que	fais-tu	là	</S>
a66	0.888773	0.0888756	0.0140644	0.0082868
a87	0.674548	0.167496	0.0825401	0.0754162
a23	0.859377	0.0777209	0.027096	0.0358059
a87	0.713746	0.125027	0.0636316	0.0975947
a23	0.819498	0.0839341	0.0381506	0.0584178
a54	0.59392	0.136872	0.112661	0.156547
a92	0.577516	0.284	0.0823549	0.0561297
a15	0.246003	0.511999	0.161161	0.0808378
a7	0.142531	0.41993	0.275004	0.162535
a41	0.0692567	0.204219	0.397659	0.328865
a5	0.0417411	0.226078	0.394454	0.337727
a47	0.10528	0.158528	0.328525	0.407667
a96	0.0955997	0.159212	0.317617	0.427571
a54	0.0295945	0.100763	0.308601	0.561042
a36	0.0106838	0.0637254	0.306586	0.619004
a2	0.0103651	0.0572751	0.207223	0.725137
a57	0.101213	0.17605	0.231321	0.491417
a87	0.505102	0.137234	0.14077	0.216894
a23	0.657742	0.163476	0.0854493	0.0933328
a87	0.337242	0.185219	0.181072	0.296467
</S>	0.0599843	0.105967	0.293436	0.540612
