 	l'	arbre	fait	sortir	de	jeunes	feuilles	</S>
a85	0.258091	0.202313	0.16703	0.166348	0.112628	0.0460474	0.0286586	0.0188834
a87	0.332551	0.171334	0.206797	0.139828	0.0720572	0.0353802	0.0239799	0.018072
a23	0.118541	0.0829632	0.116342	0.149353	0.132771	0.124732	0.126382	0.148914
a87	0.234793	0.191662	0.209659	0.159139	0.0568003	0.0373549	0.0469119	0.0636799
a23	0.194272	0.166946	0.172634	0.167774	0.0968024	0.0648003	0.0655197	0.0712529
a50	0.269169	0.224374	0.196152	0.110308	0.0469352	0.0388814	0.0540245	0.0601557
a88	0.377871	0.331114	0.163103	0.0763516	0.0245323	0.0111977	0.00891857	0.00691173
a38	0.369189	0.363804	0.162595	0.0700477	0.0194412	0.00708153	0.00431388	0.00352729
a56	0.265965	0.288532	0.186127	0.135466	0.0583805	0.0291378	0.0188542	0.017537
a75	0.236242	0.270382	0.192195	0.157573	0.0617889	0.0333662	0.0243559	0.0240972
a24	0.175454	0.224236	0.242077	0.221984	0.0664593	0.029119	0.0207499	0.0199212
a61	0.1165	0.15841	0.203745	0.279396	0.120198	0.0497209	0.0368867	0.0351437
a88	0.10181	0.124413	0.189417	0.291082	0.156739	0.058413	0.0394672	0.0386592
a0	0.079912	0.0804716	0.14655	0.249975	0.184441	0.100737	0.0736161	0.0842984
a21	0.0620147	0.059688	0.112678	0.183313	0.19727	0.147946	0.107693	0.129398
a47	0.184168	0.152537	0.203506	0.186593	0.116329	0.0636771	0.0432418	0.0499482
a0	0.0536161	0.0460584	0.0695996	0.159229	0.23499	0.176187	0.118344	0.141975
a31	0.0325291	0.0253779	0.0352252	0.0865026	0.212528	0.230993	0.183178	0.193666
a61	0.0238592	0.0178371	0.0215737	0.049321	0.16684	0.26724	0.21705	0.236279
a21	0.0111393	0.00827372	0.0104466	0.0278596	0.111521	0.242577	0.262593	0.32559
a47	0.0149359	0.010878	0.0124714	0.0241796	0.0790042	0.235065	0.278123	0.345343
a62	0.011039	0.00674865	0.00676363	0.0105088	0.0335103	0.208898	0.312451	0.410081
a88	0.00181558	0.00142753	0.0026352	0.00868509	0.0330437	0.173596	0.291377	0.48742
a9	0.00255557	0.0019699	0.00271415	0.00556534	0.0211776	0.103031	0.239582	0.623405
a99	0.00903864	0.00487089	0.00514706	0.00857205	0.0200213	0.0746715	0.222236	0.655443
a87	0.0272081	0.0143623	0.01246	0.0138594	0.0267614	0.0906189	0.218658	0.596072
a23	0.11254	0.0823024	0.0771106	0.0642124	0.0687147	0.106916	0.183209	0.304995
a87	0.0241704	0.0144617	0.0156511	0.0203543	0.0483222	0.166466	0.286525	0.424049
a97	0.00691477	0.00489657	0.00636498	0.0120785	0.0264568	0.100332	0.285584	0.557372
</S>	0.0305246	0.0267722	0.0374267	0.0529011	0.0488958	0.0956593	0.254203	0.453617
