 	cette	femme	fait	des	manières	pour	me	vendre	des	arachides	</S>
a66	0.163705	0.160109	0.17079	0.144604	0.11115	0.100611	0.0802521	0.0411846	0.0142438	0.00669891	0.00665163
a87	0.247781	0.183539	0.182975	0.152234	0.10115	0.055284	0.0357241	0.017955	0.00865542	0.00669876	0.00800312
a23	0.320883	0.245827	0.198751	0.132942	0.0653788	0.011774	0.00574355	0.00427431	0.00394264	0.00404033	0.00644347
a30	0.282603	0.253886	0.202701	0.136349	0.0836218	0.0102563	0.00361245	0.00246478	0.00310759	0.00594464	0.0154534
a13	0.269787	0.238414	0.212334	0.150594	0.0806882	0.0154411	0.00723522	0.00419083	0.00421595	0.00640493	0.0106953
a70	0.288193	0.244863	0.169705	0.123261	0.0832307	0.0204589	0.0137539	0.01055	0.0109201	0.0153962	0.0196688
a61	0.28277	0.23812	0.144883	0.11169	0.102001	0.0356481	0.0268074	0.0170258	0.0128228	0.0132178	0.0150146
a96	0.166209	0.173285	0.156579	0.166061	0.190447	0.0681906	0.0340447	0.0143049	0.0107991	0.00954442	0.0105364
a93	0.133226	0.144897	0.153275	0.173961	0.207816	0.083695	0.04256	0.0178605	0.0137865	0.0133843	0.0155384
a90	0.122841	0.142937	0.171881	0.180056	0.18594	0.0933937	0.0522725	0.0183006	0.0109933	0.00955586	0.0118279
a98	0.0903316	0.112145	0.14275	0.155284	0.177641	0.141242	0.0992204	0.0344102	0.0176736	0.0130672	0.016235
a92	0.0428205	0.0590686	0.0747675	0.0952892	0.141935	0.181136	0.174206	0.0911415	0.0504617	0.0394691	0.049705
a36	0.0555226	0.0651572	0.0802072	0.0939817	0.1304	0.191796	0.174947	0.084732	0.0423417	0.0358808	0.0450342
a12	0.0417329	0.0572687	0.0963325	0.124579	0.155861	0.177137	0.143722	0.0650749	0.037647	0.0396942	0.0609506
a21	0.029515	0.0383734	0.085051	0.124254	0.164665	0.222198	0.167395	0.0646475	0.0319267	0.0290461	0.0429284
a85	0.0163369	0.0208066	0.0458437	0.0756099	0.117348	0.227054	0.204603	0.100237	0.0592842	0.0545287	0.0783477
a36	0.00737693	0.00905033	0.0131995	0.022931	0.0486547	0.145668	0.206651	0.175403	0.127236	0.112182	0.131648
a21	0.020071	0.0230082	0.0350474	0.0476017	0.0647793	0.139977	0.172876	0.125617	0.0742168	0.110297	0.186509
a5	0.0107218	0.0114615	0.0195852	0.0301031	0.0415723	0.119527	0.181579	0.167089	0.120103	0.126207	0.172051
a18	0.00894961	0.00884998	0.0138361	0.0236505	0.031653	0.0815513	0.133046	0.15133	0.124653	0.16172	0.260761
a47	0.0313891	0.0359993	0.0383825	0.0357252	0.0304044	0.0368365	0.043564	0.0838545	0.118738	0.184096	0.361011
a88	0.0364382	0.0419537	0.0423538	0.038696	0.032567	0.0360213	0.0400585	0.068319	0.0884572	0.171957	0.403178
a62	0.0260036	0.0284987	0.0294858	0.0269661	0.0232766	0.0246018	0.0285048	0.062553	0.118342	0.209312	0.422455
a21	0.00729461	0.00762335	0.0124088	0.0168038	0.0182726	0.0202038	0.0237482	0.0510355	0.124585	0.277575	0.440449
a5	0.00209453	0.00201901	0.00265462	0.00346607	0.00435026	0.0086071	0.0162193	0.0493679	0.145029	0.298941	0.467251
a85	0.00128073	0.00136244	0.00216872	0.00334249	0.00425777	0.00706554	0.0108797	0.0300277	0.0961258	0.28628	0.557209
a37	0.000198942	0.000189444	0.000263659	0.000453817	0.000660398	0.00188018	0.00402128	0.0160734	0.0659786	0.288671	0.62161
a92	0.00150166	0.00140083	0.00160849	0.00175748	0.00180323	0.00233811	0.00330243	0.0119688	0.0496687	0.254099	0.670551
a37	0.000541746	0.000445328	0.000583911	0.000810989	0.00090668	0.00182268	0.00347228	0.0140605	0.0579894	0.261031	0.658336
a70	0.00128332	0.00105748	0.00113086	0.00149437	0.00160562	0.00229834	0.00325735	0.0119769	0.0523989	0.263181	0.660316
a13	0.00179792	0.00163529	0.0021554	0.00294945	0.00246189	0.00407989	0.00688636	0.0246577	0.0838125	0.29487	0.574693
a99	0.0100238	0.00811194	0.00813292	0.00836509	0.00810703	0.0122281	0.0194456	0.0519176	0.119479	0.28777	0.466419
a87	0.011636	0.00884312	0.00887383	0.00891665	0.0084398	0.0134035	0.0216249	0.0534357	0.112156	0.284397	0.468273
a23	0.147231	0.0842513	0.0558735	0.0465462	0.046557	0.060273	0.0619777	0.0761661	0.0989403	0.145992	0.176193
a87	0.0435502	0.0298728	0.0239233	0.0259863	0.0245878	0.0518469	0.0533749	0.0669248	0.105537	0.212799	0.361597
</S>	0.0272053	0.0188082	0.0131751	0.0120315	0.0107158	0.0179451	0.0195663	0.0326721	0.0758892	0.230283	0.541708
