 	le	pelage	de	la	chenille	est	long	</S>
a87	0.154907	0.239816	0.181329	0.159051	0.101858	0.0642467	0.0528672	0.0459236
a23	0.114807	0.113652	0.126719	0.170408	0.195193	0.145818	0.0851628	0.0482412
a87	0.241696	0.0932052	0.0868635	0.0918379	0.108154	0.11266	0.119697	0.145887
a97	0.304938	0.139381	0.0850684	0.0977466	0.0942128	0.0885699	0.0883999	0.101684
a10	0.257712	0.112434	0.0974286	0.108251	0.108781	0.105452	0.103193	0.106748
a82	0.213985	0.0887632	0.0984803	0.104474	0.111885	0.126114	0.124516	0.131782
a26	0.208071	0.0905165	0.0954013	0.0975087	0.102215	0.122632	0.131038	0.152618
a9	0.212444	0.0712355	0.0807599	0.081946	0.0909932	0.121016	0.144133	0.197472
a10	0.201869	0.0652815	0.0781165	0.0779057	0.085377	0.128884	0.152036	0.21053
a61	0.212812	0.07141	0.0748704	0.0698886	0.0727109	0.124082	0.148842	0.225384
a21	0.39343	0.0620799	0.060611	0.0729805	0.07342	0.0992256	0.104905	0.133348
a47	0.53061	0.111563	0.080149	0.0731946	0.0515693	0.0467146	0.0442979	0.0619019
a34	0.250946	0.108173	0.105492	0.130833	0.111427	0.0930051	0.0915627	0.108562
a21	0.282062	0.157788	0.137096	0.135155	0.0911656	0.061093	0.0626117	0.0730284
a5	0.282169	0.196511	0.161887	0.130116	0.0791279	0.047013	0.0473575	0.0558196
a47	0.216971	0.195426	0.155582	0.136888	0.0940639	0.0606618	0.0639028	0.0765037
a83	0.245146	0.247411	0.158255	0.138729	0.0816479	0.0444127	0.0403565	0.0440418
a38	0.164816	0.251721	0.163809	0.156297	0.0989065	0.0589395	0.0507152	0.0547958
a70	0.101296	0.175225	0.116998	0.125107	0.0958465	0.0877166	0.116132	0.18168
a83	0.0937771	0.146828	0.0994036	0.127137	0.124957	0.122332	0.13081	0.154755
a21	0.0641969	0.112676	0.0689992	0.0821158	0.0872783	0.118689	0.184606	0.281439
a61	0.067939	0.112026	0.09728	0.115414	0.116373	0.139742	0.164336	0.186889
a21	0.0383923	0.0598473	0.053976	0.0701616	0.0846498	0.142984	0.23865	0.311338
a75	0.07513	0.091473	0.0630733	0.0606711	0.066399	0.112699	0.212518	0.318036
a35	0.02786	0.0280368	0.0285182	0.0329069	0.0410134	0.0762094	0.224169	0.541287
a36	0.0150775	0.0231785	0.0216617	0.0266516	0.0349906	0.0864166	0.267886	0.524137
a26	0.00578894	0.00782094	0.0069835	0.0102343	0.0189095	0.0543354	0.234472	0.661456
a57	0.00660645	0.00636541	0.00730163	0.0100262	0.0231823	0.060352	0.222778	0.663388
a99	0.0118953	0.00774304	0.0168793	0.0240266	0.0483594	0.0957342	0.227718	0.567644
a97	0.0101902	0.00598729	0.0155663	0.0208151	0.0451718	0.108644	0.255105	0.538521
a87	0.0211166	0.0167949	0.0467492	0.0627722	0.107215	0.166687	0.23259	0.346075
a23	0.0394861	0.0251023	0.0818295	0.107285	0.145677	0.177141	0.18203	0.24145
a87	0.0158852	0.00947042	0.0405412	0.0570349	0.0885413	0.190897	0.238594	0.359036
a23	0.011519	0.00980582	0.0245182	0.0383827	0.0737156	0.158873	0.257484	0.425702
a87	0.0114773	0.00866524	0.0255961	0.0337733	0.0558005	0.150473	0.256326	0.457888
</S>	0.011601	0.008373	0.0225482	0.0312455	0.058476	0.149618	0.252784	0.465354
