 	il	apporte	la	marmite	à	son	père	</S>
a23	0.508822	0.232727	0.0723457	0.0439882	0.0344067	0.0314102	0.0372459	0.0390551
a85	0.456108	0.136471	0.0714242	0.0633177	0.0557826	0.0572076	0.0717238	0.0879658
a87	0.338249	0.142175	0.059781	0.0520895	0.0610849	0.0821327	0.113687	0.150801
a23	0.177011	0.11537	0.0661797	0.0710961	0.0803874	0.104657	0.155694	0.229605
a87	0.0742702	0.0723308	0.0331106	0.0321029	0.044725	0.10281	0.225167	0.415484
a23	0.100526	0.142475	0.0739429	0.0652881	0.0561626	0.089068	0.167806	0.304731
a97	0.0697932	0.0968171	0.0504903	0.0438495	0.0560859	0.109163	0.223239	0.350562
a99	0.112636	0.100857	0.068377	0.0667	0.0792465	0.131102	0.190069	0.251013
a30	0.150414	0.127526	0.076927	0.0765842	0.0835401	0.11953	0.165063	0.200416
a20	0.103307	0.0906882	0.0736733	0.077356	0.0798085	0.126822	0.191378	0.256966
a30	0.217246	0.154579	0.153823	0.120784	0.0896356	0.0799534	0.0908485	0.093131
a35	0.260499	0.20496	0.180454	0.120465	0.0739355	0.0543252	0.0532469	0.0521143
a30	0.19135	0.160566	0.190321	0.145841	0.101904	0.0730278	0.0682277	0.0687625
a35	0.114048	0.136431	0.185646	0.193548	0.147823	0.0787348	0.0718691	0.0719006
a26	0.115633	0.146238	0.176927	0.180292	0.153792	0.0837731	0.0709069	0.0724374
a99	0.0487751	0.0855995	0.15524	0.216111	0.215903	0.112861	0.0814029	0.0841059
a62	0.0385073	0.0687132	0.134671	0.193781	0.210801	0.131308	0.106455	0.115763
a24	0.0442151	0.0832082	0.163378	0.198627	0.19521	0.130242	0.0927581	0.0923623
a41	0.0540285	0.0932319	0.147765	0.156002	0.158308	0.145108	0.124431	0.121126
a24	0.0267771	0.0634879	0.12589	0.160479	0.169629	0.156722	0.143296	0.153719
a35	0.0199097	0.0427339	0.0886417	0.117556	0.149606	0.178818	0.193685	0.20905
a14	0.00982124	0.018454	0.0383035	0.0662223	0.128656	0.198722	0.247762	0.292059
a35	0.00721581	0.0142677	0.0301867	0.0576662	0.12367	0.196237	0.2597	0.311057
a26	0.0032864	0.00574066	0.0134286	0.0268741	0.0840173	0.180139	0.298723	0.387791
a38	0.00237865	0.00334739	0.00623439	0.014393	0.0471642	0.12654	0.278775	0.521167
a14	0.00116078	0.00179789	0.00377297	0.00880161	0.0365431	0.123962	0.290353	0.533608
a35	0.00136838	0.00311794	0.00679749	0.0164603	0.0639836	0.179516	0.312914	0.415842
a66	0.00124705	0.00293218	0.00872936	0.0201509	0.0669101	0.177484	0.303071	0.419475
a24	0.000721179	0.00116286	0.00251506	0.00844828	0.0375502	0.13351	0.287529	0.528563
a98	0.00118931	0.00157925	0.00257433	0.00736097	0.0310899	0.119897	0.284303	0.552006
a83	0.000551576	0.00120154	0.00242728	0.010057	0.0454988	0.148885	0.285454	0.505924
a13	0.000997084	0.0013009	0.00209618	0.00694238	0.0300906	0.115763	0.276407	0.566403
a99	0.0019003	0.00228058	0.00310745	0.00822139	0.0288684	0.106961	0.274549	0.574112
a9	0.00240577	0.0039239	0.00407829	0.00993384	0.0338216	0.113579	0.278642	0.553615
a99	0.00272441	0.00473089	0.00350621	0.0076746	0.0344746	0.11929	0.284354	0.543245
a87	0.00262658	0.00480497	0.00327022	0.00655728	0.0329774	0.130349	0.291249	0.528165
</S>	0.00509714	0.00914154	0.00468663	0.0072064	0.0334558	0.113245	0.281076	0.546092
