 	a	qui	appartient	ce	lot	de	papiers	</S>
a66	0.373471	0.172712	0.126668	0.104345	0.0787601	0.0631694	0.0405643	0.0403098
a87	0.307135	0.210655	0.150746	0.118229	0.0729085	0.0560036	0.0526081	0.031715
a23	0.406833	0.283148	0.140404	0.0726348	0.0356181	0.0249831	0.0202749	0.0161051
a50	0.342379	0.273017	0.145996	0.0763121	0.0395289	0.0369686	0.0399564	0.0458419
a88	0.334651	0.219061	0.148304	0.0843068	0.0520929	0.0535917	0.0460978	0.0618948
a50	0.33706	0.203162	0.145557	0.0847997	0.0583864	0.0664179	0.0521772	0.0524399
a93	0.150181	0.195258	0.224968	0.168753	0.0956403	0.0731819	0.0530118	0.0390051
a75	0.116851	0.173505	0.204848	0.218175	0.144642	0.0788707	0.0393073	0.0238006
a85	0.0704108	0.135305	0.178435	0.233186	0.175681	0.101517	0.0578154	0.0476487
a6	0.0696658	0.118107	0.14792	0.176278	0.173824	0.141965	0.0986485	0.0735914
a85	0.0861573	0.0982857	0.110086	0.13345	0.15563	0.170712	0.12778	0.1179
a6	0.050401	0.0720298	0.105538	0.142367	0.172206	0.201447	0.142305	0.113707
a0	0.0749379	0.0698455	0.0896779	0.0995828	0.133422	0.188472	0.163746	0.180315
a43	0.0495291	0.051425	0.0626021	0.0623286	0.098525	0.219875	0.186187	0.269528
a61	0.0295788	0.0299511	0.0375538	0.0355317	0.0471726	0.156415	0.179771	0.484026
a62	0.026565	0.0323492	0.0417297	0.04191	0.053319	0.158626	0.187656	0.457845
a21	0.0167783	0.0186352	0.0246601	0.0283039	0.0346972	0.104689	0.16204	0.610197
a5	0.0108235	0.0116846	0.0153353	0.0180302	0.0262527	0.109054	0.168958	0.639862
a37	0.00709531	0.00741289	0.0097782	0.0126988	0.0198886	0.0902657	0.145597	0.707263
a18	0.00771385	0.00840498	0.0132669	0.0188436	0.0258987	0.107577	0.153774	0.664521
a27	0.0241367	0.0228061	0.0286019	0.0350329	0.0435852	0.110747	0.181233	0.553858
a82	0.158031	0.113869	0.0918664	0.0753527	0.0748635	0.0992995	0.120119	0.266598
a97	0.325552	0.167814	0.10025	0.0712226	0.0642383	0.0716092	0.0744386	0.124875
a87	0.420386	0.193727	0.0977612	0.0562381	0.0528707	0.0536265	0.0508941	0.0744959
a23	0.338548	0.267213	0.150754	0.0772598	0.0490274	0.0445988	0.0319103	0.0406875
a87	0.293424	0.209985	0.1172	0.0623344	0.045183	0.0748788	0.0662845	0.130711
</S>	0.145917	0.110055	0.0758648	0.0645777	0.0582787	0.137175	0.135135	0.272996
