 	elle	prit	la	bague	et	la	mit	sur	son	doigt	</S>
a23	0.264364	0.138693	0.0686175	0.108403	0.0904982	0.0982256	0.0757261	0.0504651	0.0371839	0.0352014	0.0326227
a79	0.122259	0.126896	0.114587	0.123775	0.108784	0.0904151	0.0751533	0.0630715	0.0489954	0.0539246	0.0721395
a20	0.0802878	0.0656673	0.143737	0.191976	0.172137	0.111847	0.0657974	0.0485746	0.0376238	0.0359592	0.0463921
a84	0.354397	0.323788	0.121486	0.108589	0.035347	0.0223822	0.0118974	0.00783009	0.00589139	0.0044465	0.00394527
a53	0.313458	0.290098	0.13135	0.12267	0.0564047	0.0382337	0.0224554	0.00955034	0.00537139	0.00478197	0.00562644
a90	0.152577	0.206942	0.120253	0.148035	0.11171	0.0985809	0.0693483	0.0332539	0.0198463	0.0182046	0.0212499
a4	0.129483	0.207371	0.148323	0.163332	0.110977	0.0936407	0.0613878	0.0288352	0.016629	0.0175222	0.0224988
a90	0.115977	0.190889	0.153387	0.187551	0.115416	0.0912845	0.0552826	0.0246443	0.0152903	0.0193127	0.0309657
a25	0.0895377	0.136086	0.142125	0.205559	0.133329	0.111724	0.0693476	0.0320165	0.0184444	0.0231914	0.0386406
a73	0.118652	0.118806	0.133367	0.214958	0.133912	0.107909	0.0674126	0.0321271	0.0175483	0.0198157	0.0354922
a44	0.103272	0.0958933	0.106508	0.194884	0.147826	0.120664	0.0761119	0.0378539	0.0231876	0.031423	0.0623771
a57	0.0986524	0.09626	0.0893412	0.15524	0.15537	0.138659	0.0948862	0.0464958	0.0263043	0.0335126	0.0652778
a38	0.07697	0.0729077	0.0850221	0.149261	0.163863	0.162104	0.125948	0.0670276	0.0273928	0.0260211	0.0434823
a73	0.0762668	0.0855647	0.0787959	0.134281	0.161788	0.15669	0.121067	0.0647538	0.0315579	0.032129	0.0571053
a94	0.0577399	0.0776635	0.078956	0.147912	0.138022	0.137752	0.102342	0.0695708	0.0477107	0.0553791	0.0869522
a20	0.0458664	0.0531101	0.0580164	0.115885	0.147074	0.171385	0.13876	0.0932965	0.053459	0.0500089	0.0731385
a84	0.0610422	0.083508	0.0684814	0.0937079	0.0563552	0.0597322	0.0655517	0.0839984	0.100882	0.129457	0.197284
a57	0.0375741	0.0490179	0.0600488	0.105085	0.0975268	0.122212	0.117374	0.103345	0.0756378	0.0832707	0.148907
a87	0.0290112	0.0531592	0.0684078	0.0958304	0.104355	0.133484	0.131368	0.100067	0.0616763	0.072571	0.150071
a23	0.0328393	0.0590189	0.075443	0.0835436	0.0765528	0.0988709	0.0956141	0.0957502	0.0748214	0.103245	0.204301
a40	0.0312262	0.0441271	0.0654529	0.07203	0.0646535	0.0783266	0.080195	0.0858794	0.0683093	0.114793	0.295007
a73	0.0546914	0.120552	0.0860291	0.10022	0.0607965	0.0622045	0.0552741	0.0560011	0.0580439	0.11754	0.228648
a84	0.0278266	0.0607384	0.0863516	0.135927	0.106345	0.111784	0.0831273	0.0737612	0.0636843	0.0942798	0.156175
a57	0.00766931	0.0209471	0.0385568	0.0682847	0.0922626	0.112363	0.0912917	0.0751483	0.0719703	0.138478	0.283029
a40	0.00640905	0.016268	0.0312141	0.0455016	0.0615658	0.0824628	0.083212	0.0778124	0.0707876	0.156133	0.368633
a98	0.0333751	0.075498	0.0884658	0.128833	0.0921222	0.100123	0.0799324	0.0603107	0.0498834	0.0952959	0.19616
a41	0.0302738	0.0461483	0.0640704	0.092572	0.0670404	0.0852059	0.0818416	0.0852229	0.084751	0.13041	0.232464
a96	0.0139134	0.0285271	0.0451779	0.0707624	0.0569292	0.0738404	0.0724528	0.077814	0.0821115	0.150027	0.328444
a90	0.0180839	0.0303304	0.0424881	0.0578779	0.0509449	0.0642947	0.0699411	0.0854741	0.0986674	0.165218	0.316679
a94	0.0190392	0.0317092	0.0515957	0.0744958	0.0566314	0.0628317	0.0609993	0.0782987	0.0949637	0.156692	0.312744
a76	0.0138312	0.0282208	0.0387483	0.049215	0.0361214	0.0432784	0.0433632	0.0629762	0.101749	0.195172	0.387325
a32	0.0335087	0.050107	0.0775165	0.107408	0.0574505	0.0545179	0.0422104	0.053981	0.0832553	0.150302	0.289742
a98	0.0162135	0.0280709	0.0378185	0.0503509	0.0328813	0.0369718	0.0299772	0.0393623	0.0780669	0.191147	0.45914
a25	0.0120726	0.0192262	0.0301441	0.0481909	0.032019	0.0364893	0.0291805	0.0411083	0.08515	0.209689	0.45673
a56	0.00704517	0.0151821	0.0315402	0.0554703	0.0391617	0.0436888	0.0343077	0.0444993	0.0843073	0.209074	0.435723
a75	0.0100255	0.0163952	0.0263365	0.0316835	0.026589	0.0341098	0.0355426	0.0506993	0.0895766	0.207512	0.47153
a98	0.0127665	0.0163865	0.0288186	0.0459841	0.0413463	0.0511607	0.0464564	0.0628245	0.105119	0.209027	0.38011
a73	0.00504461	0.00762809	0.0151698	0.0240988	0.0213575	0.0276394	0.0268205	0.0430897	0.0973878	0.270377	0.461386
a69	0.00451615	0.00887275	0.016449	0.0240953	0.02295	0.0295343	0.0295355	0.0409361	0.0885898	0.244937	0.489584
a84	0.00330359	0.00519295	0.0102041	0.0155975	0.015124	0.017119	0.0183992	0.0303169	0.0705937	0.239478	0.574671
a87	0.00315025	0.00489426	0.00793169	0.00866501	0.00612904	0.00567039	0.00608765	0.013391	0.0456897	0.242663	0.655728
</S>	0.00456401	0.00603991	0.0067097	0.0050356	0.00301472	0.00340624	0.00430996	0.0152989	0.0660374	0.241972	0.643611
