 	il	est	devenu	adulte	</S>
a23	0.692266	0.210108	0.0474684	0.026751	0.0234072
a53	0.339728	0.187073	0.114596	0.117409	0.241194
a20	0.288073	0.258872	0.138654	0.168053	0.146349
a73	0.518144	0.334514	0.0785611	0.0481586	0.0206218
a35	0.445493	0.359254	0.119689	0.0499956	0.0255689
a26	0.396777	0.325879	0.150524	0.078889	0.0479305
a35	0.394463	0.338647	0.146751	0.0693258	0.050814
a76	0.352087	0.339566	0.179244	0.0772373	0.0518656
a98	0.380353	0.279122	0.156081	0.0959139	0.0885301
a14	0.167033	0.170245	0.191151	0.202184	0.269386
a73	0.0760907	0.0968101	0.175053	0.278388	0.373658
a94	0.0364319	0.0711153	0.189331	0.303476	0.399646
a76	0.0116789	0.0215916	0.082473	0.26173	0.622526
a41	0.0132392	0.0256224	0.0877921	0.25669	0.616656
a94	0.00726595	0.0148225	0.0672653	0.262913	0.647733
a25	0.00779064	0.0138202	0.0595566	0.225262	0.69357
a87	0.00911143	0.0179109	0.0603132	0.251249	0.661415
</S>	0.00215434	0.00449938	0.0229648	0.152024	0.818358
