 	ses	cheveux	bouffent	autour	de	sa	tête	</S>
a23	0.313441	0.15315	0.126056	0.122198	0.105529	0.0653918	0.0622657	0.0519678
a87	0.220386	0.145686	0.150606	0.141048	0.112076	0.0721228	0.078363	0.0797123
a23	0.302755	0.187352	0.130231	0.0920931	0.0714222	0.0574388	0.0693312	0.089377
a10	0.327059	0.210232	0.143113	0.0798271	0.0650015	0.046479	0.0570385	0.0712499
a11	0.348628	0.196154	0.179893	0.101739	0.0624699	0.0352236	0.0365555	0.0393366
a4	0.498658	0.271399	0.140055	0.0416826	0.0196274	0.00929385	0.00913112	0.0101528
a53	0.448031	0.286985	0.134029	0.0433438	0.0260943	0.0164526	0.0194606	0.0256032
a54	0.302575	0.221463	0.160851	0.0739308	0.0562524	0.0477875	0.0590561	0.078084
a35	0.259138	0.188156	0.183416	0.116756	0.0777897	0.0562025	0.05575	0.0627921
a76	0.27665	0.204312	0.188907	0.105197	0.0697569	0.0511264	0.0496876	0.0543635
a14	0.211404	0.161469	0.174424	0.129458	0.104672	0.0834166	0.0688992	0.0662561
a30	0.232625	0.177631	0.191108	0.132235	0.0895022	0.0667361	0.0546755	0.0554879
a2	0.205919	0.136257	0.167948	0.159851	0.104453	0.0795279	0.0669942	0.0790496
a38	0.140953	0.109637	0.134683	0.132633	0.104051	0.0982587	0.116316	0.163468
a41	0.130173	0.088698	0.123136	0.186505	0.166344	0.111792	0.0920503	0.101301
a61	0.132588	0.0896166	0.127627	0.195307	0.175245	0.111211	0.0851419	0.0832632
a24	0.0862974	0.0602962	0.0838703	0.151127	0.179027	0.159935	0.138246	0.141201
a96	0.0667413	0.0508028	0.066305	0.120011	0.166246	0.188096	0.175167	0.166631
a43	0.027767	0.0204134	0.026281	0.0444202	0.0845616	0.197673	0.275365	0.323519
a11	0.015396	0.0107858	0.0168589	0.0382771	0.0837422	0.195793	0.281072	0.358074
a90	0.0106399	0.0076766	0.0137948	0.0367844	0.0855397	0.203176	0.285032	0.357356
a35	0.00947903	0.00702536	0.0141433	0.0401817	0.0876537	0.202829	0.293594	0.345094
a14	0.0053652	0.00479069	0.00863443	0.0218849	0.0514874	0.163649	0.310472	0.433716
a35	0.00332788	0.00285722	0.00625264	0.018833	0.0487881	0.186318	0.30045	0.433173
a24	0.0026276	0.00227034	0.00496001	0.0141851	0.0355164	0.154582	0.290873	0.494986
a26	0.00254174	0.00216321	0.00439371	0.0126989	0.0337332	0.152475	0.281341	0.510653
a32	0.00321945	0.00251361	0.00458601	0.0141206	0.0355591	0.144588	0.258292	0.53712
a25	0.00253084	0.00172388	0.00313226	0.0107353	0.0324013	0.137827	0.26514	0.546509
a38	0.0017491	0.00130144	0.00245127	0.00989733	0.034492	0.138598	0.279084	0.532426
a93	0.00244361	0.00168899	0.00287153	0.0099864	0.0287893	0.123091	0.261079	0.57005
a70	0.00309957	0.00207755	0.0039055	0.0133457	0.0335341	0.12946	0.269176	0.545401
a13	0.00377538	0.00245752	0.00443991	0.0143361	0.0348835	0.127909	0.270451	0.541748
a57	0.00688735	0.00415353	0.00688577	0.0214434	0.0451064	0.141703	0.270317	0.503503
a82	0.00862249	0.00557392	0.0104299	0.030904	0.0583567	0.163522	0.26346	0.45913
a97	0.00342288	0.00292594	0.00547979	0.0133301	0.0350422	0.156904	0.264455	0.51844
a87	0.0181995	0.0119366	0.0153996	0.0264392	0.0555175	0.160209	0.242242	0.470056
</S>	0.0281186	0.018876	0.0245231	0.0374208	0.0622263	0.15606	0.222241	0.450534
