 	ce	paquet	est	dégonflé	</S>
a84	0.466151	0.190974	0.132998	0.130608	0.0792688
a87	0.257095	0.280957	0.255171	0.130885	0.0758912
a23	0.592964	0.203531	0.08343	0.064582	0.0554932
a83	0.529622	0.288464	0.0877161	0.048584	0.0456135
a71	0.485832	0.276509	0.125366	0.0680627	0.04423
a62	0.41948	0.327328	0.14701	0.071286	0.0348955
a12	0.294306	0.394547	0.193387	0.08527	0.0324898
a18	0.287811	0.41666	0.191815	0.0767167	0.0269978
a31	0.198369	0.340775	0.220955	0.161156	0.0787451
a88	0.188731	0.269475	0.206196	0.199289	0.136309
a38	0.156928	0.194337	0.192197	0.227499	0.229039
a31	0.0880823	0.134322	0.189969	0.252266	0.33536
a61	0.0373919	0.060468	0.174329	0.307345	0.420465
a21	0.0182237	0.0310737	0.121711	0.319259	0.509732
a5	0.0152042	0.0235479	0.0858676	0.269685	0.605695
a75	0.0107487	0.0217193	0.071278	0.211823	0.684431
a6	0.00896612	0.0170378	0.0501269	0.159828	0.764042
a0	0.00319024	0.00751802	0.0282584	0.137545	0.823488
a11	0.00291006	0.0108343	0.0390045	0.172607	0.774644
a10	0.0242194	0.0555099	0.107945	0.24988	0.562446
a87	0.144414	0.119588	0.154436	0.2447	0.336862
a23	0.533041	0.208094	0.0827461	0.0778378	0.0982812
a99	0.320333	0.143204	0.0766513	0.10886	0.350951
a87	0.0641525	0.0401266	0.055856	0.188195	0.65167
</S>	0.0109248	0.0130623	0.0523109	0.226864	0.696838
