 	il	balance	le	bâton	dans	le	fleuve	</S>
a23	0.249954	0.295998	0.15996	0.127196	0.070476	0.0417417	0.0313603	0.0233145
a57	0.239975	0.280647	0.207591	0.101876	0.0580344	0.041218	0.0349271	0.0357323
a87	0.192838	0.194628	0.165442	0.110665	0.084478	0.0792915	0.0829036	0.0897539
a79	0.159987	0.148251	0.137237	0.119813	0.0967509	0.0967889	0.109948	0.131224
a20	0.182555	0.262931	0.184496	0.132082	0.0732586	0.0578324	0.0520357	0.0548095
a73	0.272887	0.416356	0.153554	0.0756603	0.0384416	0.0205597	0.0132073	0.00933501
a44	0.251924	0.376053	0.197937	0.0966969	0.0422109	0.0180628	0.0100642	0.0070501
a26	0.219113	0.265996	0.202668	0.133499	0.0829476	0.0444813	0.0285436	0.0227518
a75	0.223671	0.212277	0.191749	0.136884	0.0934649	0.0569034	0.0435083	0.0415415
a24	0.234634	0.21278	0.205472	0.135028	0.0872284	0.0511804	0.0371874	0.0364905
a35	0.238585	0.184298	0.197228	0.136568	0.0949326	0.0571694	0.0449754	0.0462433
a66	0.169395	0.151423	0.216365	0.165511	0.118217	0.0709215	0.053722	0.0544447
a38	0.111285	0.112191	0.190584	0.187813	0.161339	0.0963582	0.0660877	0.0743415
a76	0.096417	0.105686	0.192406	0.189844	0.157129	0.0989202	0.0737904	0.0858072
a14	0.136672	0.113172	0.160554	0.150228	0.134198	0.107047	0.0943575	0.10377
a32	0.0923841	0.0747732	0.111575	0.127714	0.144912	0.140051	0.142194	0.166395
a75	0.0393544	0.0374471	0.0565491	0.0897606	0.136	0.178597	0.196972	0.265321
a41	0.0238511	0.0208538	0.0291305	0.05383	0.107596	0.174448	0.243747	0.346544
a35	0.0121859	0.0113007	0.0198736	0.0482393	0.108574	0.19005	0.258653	0.351124
a66	0.0187194	0.0149186	0.0211264	0.0454634	0.10346	0.184025	0.265227	0.34706
a54	0.0061051	0.00652293	0.00798124	0.0138136	0.0340059	0.0950367	0.244914	0.59162
a73	0.0203686	0.0199451	0.0231354	0.0380119	0.0742028	0.140831	0.251255	0.432249
a57	0.0208088	0.0243195	0.0231055	0.0348358	0.0649201	0.132867	0.256061	0.443082
a87	0.0124446	0.0126946	0.0117595	0.01664	0.0345765	0.0856647	0.227615	0.598605
a23	0.0117109	0.0131341	0.0160584	0.0360582	0.0737929	0.141099	0.255057	0.453089
a87	0.0353168	0.0342594	0.0524892	0.0831116	0.119976	0.15891	0.220947	0.29499
</S>	0.0118021	0.0141339	0.0260705	0.0659613	0.120963	0.180658	0.2494	0.331011
