 	il	a	trop	bu	il	est	ivre	</S>
a85	0.233197	0.149805	0.117937	0.104835	0.0941736	0.0899288	0.0900517	0.120071
a87	0.238802	0.181148	0.162014	0.115965	0.0640342	0.0541789	0.0811391	0.102718
a23	0.278034	0.236006	0.188517	0.10961	0.0429475	0.0290045	0.0459944	0.0698875
a20	0.222269	0.188467	0.162311	0.0917648	0.0528089	0.0502691	0.0892573	0.142852
a58	0.381869	0.261878	0.174418	0.0783092	0.0380217	0.021027	0.0221452	0.0223325
a54	0.367644	0.305286	0.196456	0.0747985	0.0231148	0.0111317	0.0106913	0.0108786
a41	0.278335	0.260557	0.205163	0.11021	0.055513	0.0314424	0.0288794	0.0299007
a94	0.300048	0.27461	0.198955	0.10119	0.0456122	0.0267929	0.0252331	0.0275585
a66	0.263342	0.265517	0.207679	0.112024	0.0476606	0.031419	0.0343478	0.0380103
a76	0.23253	0.245919	0.209522	0.121725	0.0512934	0.0371003	0.0476958	0.054215
a94	0.187315	0.195459	0.171134	0.126258	0.0856088	0.0688032	0.0778235	0.0875992
a76	0.153526	0.161274	0.162638	0.156163	0.102527	0.0774812	0.0874854	0.0989049
a73	0.0744558	0.0835129	0.101789	0.123046	0.131873	0.137949	0.155824	0.19155
a84	0.069997	0.0770348	0.104853	0.153709	0.159447	0.133451	0.140811	0.160697
a57	0.0496106	0.0572302	0.085977	0.123487	0.150277	0.132083	0.184924	0.216412
a40	0.0616253	0.0725936	0.0908142	0.109783	0.122616	0.109521	0.171173	0.261874
a73	0.0552538	0.0580997	0.0721751	0.0907867	0.094159	0.116395	0.221918	0.291213
a94	0.0457938	0.0526867	0.0759503	0.110167	0.15062	0.162695	0.185458	0.216628
a90	0.0334934	0.0355579	0.0509068	0.0994628	0.171037	0.191151	0.193415	0.224977
a96	0.0360016	0.0353754	0.044552	0.0818471	0.150687	0.175914	0.20395	0.271673
a98	0.0211457	0.0205281	0.0255163	0.0476857	0.119331	0.21	0.251011	0.304782
a73	0.0116706	0.0107448	0.013252	0.0247667	0.0761624	0.18623	0.274279	0.402895
a94	0.0109112	0.0108242	0.0159666	0.0322661	0.0940214	0.195804	0.267413	0.372794
a20	0.00657113	0.00565545	0.00817844	0.0146046	0.0521845	0.151506	0.295969	0.46533
a84	0.00959138	0.00807824	0.0119876	0.0242152	0.0687102	0.171531	0.277981	0.427905
a57	0.00210127	0.00182954	0.00251138	0.00494512	0.0203966	0.0968881	0.31428	0.557048
a87	0.00347167	0.00248497	0.00297405	0.00696974	0.0222541	0.0927177	0.270154	0.598974
</S>	0.00917782	0.00683601	0.00823692	0.0223195	0.0576795	0.132624	0.238324	0.524803
