 	cette	feuille	de	morelle	est	fletri	</S>
a66	0.467246	0.206884	0.114039	0.0710516	0.0566123	0.0662822	0.0178839
a87	0.0490104	0.0502128	0.0679572	0.174781	0.207789	0.297816	0.152434
a23	0.246979	0.170509	0.158919	0.166364	0.119451	0.0890902	0.0486873
a62	0.179228	0.143079	0.200156	0.206762	0.148233	0.0904585	0.0320844
a47	0.270085	0.190364	0.16546	0.128158	0.0938731	0.107843	0.044218
a96	0.291697	0.269775	0.167309	0.0935002	0.0686972	0.0593352	0.0496865
a61	0.401723	0.342261	0.133607	0.0509317	0.0284809	0.0252499	0.017746
a47	0.35325	0.352113	0.140939	0.0623668	0.0370693	0.0319336	0.0223276
a21	0.241919	0.249255	0.171443	0.125123	0.0835862	0.0679858	0.060688
a47	0.271541	0.285278	0.156273	0.113271	0.0776932	0.0543128	0.0416309
a24	0.247021	0.237892	0.175569	0.117243	0.0888996	0.0675862	0.0657891
a12	0.084713	0.101738	0.125326	0.144087	0.169963	0.161256	0.212917
a47	0.0716107	0.0794309	0.110067	0.153565	0.191008	0.183881	0.210438
a62	0.0443568	0.047636	0.0657644	0.100785	0.213557	0.251338	0.276563
a75	0.0143327	0.0172337	0.0357138	0.0731284	0.181412	0.250971	0.427209
a25	0.00411257	0.00601794	0.0185622	0.0532435	0.184896	0.273701	0.459467
a90	0.000913563	0.00112883	0.00407208	0.0123286	0.0685911	0.165681	0.747285
a4	0.000552599	0.000982786	0.00336385	0.0130342	0.0648842	0.155906	0.761276
a57	0.000440346	0.000557011	0.00274692	0.00991056	0.053333	0.172023	0.760989
a3	0.000699938	0.000688463	0.00352388	0.0184244	0.0806881	0.250487	0.645488
a97	0.0195156	0.0122656	0.0229415	0.0762677	0.186845	0.320562	0.361603
a99	0.0345347	0.0223702	0.0270079	0.0622156	0.158981	0.336677	0.358214
a97	0.0122192	0.0100895	0.0108291	0.0208327	0.103086	0.287466	0.555478
a30	0.0295193	0.0235299	0.0297319	0.0485526	0.141517	0.306784	0.420365
</S>	0.0615621	0.0518524	0.0591448	0.0612844	0.140928	0.270821	0.354407
