 	faisons	vite	un	abri	</S>
a87	0.253752	0.16919	0.165231	0.255286	0.156541
a23	0.209563	0.134759	0.14175	0.253408	0.26052
a83	0.347434	0.239133	0.148922	0.142263	0.122248
a41	0.538892	0.254516	0.0975792	0.0646908	0.0443223
a32	0.560789	0.242823	0.0946108	0.0630462	0.038731
a25	0.506605	0.263693	0.110331	0.0716319	0.0477391
a38	0.43484	0.273423	0.138144	0.0927982	0.0607949
a76	0.39654	0.278451	0.152441	0.1041	0.0684678
a94	0.371204	0.286576	0.173512	0.111103	0.0576054
a54	0.303662	0.261684	0.19807	0.155048	0.0815363
a14	0.244194	0.275719	0.218769	0.164019	0.0972995
a35	0.155642	0.221243	0.228973	0.228699	0.165442
a66	0.0886264	0.154271	0.218506	0.267266	0.271331
a24	0.0506364	0.0988354	0.199491	0.28805	0.362988
a41	0.045717	0.107287	0.222089	0.288792	0.336115
a35	0.0285977	0.0715314	0.163318	0.265069	0.471484
a90	0.0155313	0.0350627	0.0945935	0.224646	0.630166
a57	0.0210233	0.0456305	0.108599	0.216013	0.608734
a23	0.0125553	0.0282943	0.0758382	0.189218	0.694094
a53	0.00791148	0.0163006	0.0542103	0.155417	0.76616
a76	0.00905984	0.018999	0.0616506	0.171434	0.738857
a90	0.00770393	0.0189988	0.0644672	0.180054	0.728776
a9	0.0145097	0.0313805	0.0782935	0.172075	0.703741
a87	0.0137475	0.0267107	0.0733651	0.170184	0.715993
</S>	0.0152614	0.0282377	0.0875298	0.19298	0.675991
