 	il	travaille	seulement	pendant	la	nuit	</S>
a15	0.327427	0.254245	0.18423	0.103684	0.0627708	0.0378531	0.0297906
a66	0.320372	0.30199	0.17391	0.0830458	0.0496728	0.0355232	0.0354863
a10	0.56671	0.192464	0.0733324	0.0388209	0.0303949	0.0405419	0.0577363
a30	0.610854	0.233556	0.0592323	0.0247328	0.0188289	0.0220495	0.0307461
a53	0.546241	0.249689	0.0583049	0.0251083	0.0282941	0.0375525	0.0548095
a15	0.362246	0.276616	0.136139	0.068487	0.0545933	0.0481757	0.0537427
a47	0.199078	0.281146	0.241669	0.0883513	0.0703018	0.059984	0.0594697
a92	0.15361	0.259524	0.322332	0.108912	0.0689776	0.0461601	0.0404848
a75	0.234999	0.272983	0.277106	0.10444	0.0480555	0.0327838	0.029633
a98	0.130135	0.18163	0.297375	0.194658	0.0867912	0.0577018	0.0517097
a79	0.0898276	0.147884	0.281445	0.24681	0.108486	0.0693751	0.056172
a56	0.109892	0.159205	0.260493	0.230456	0.0996494	0.0709404	0.0693636
a75	0.173249	0.190188	0.184015	0.175015	0.0958298	0.0832914	0.0984106
a85	0.0369906	0.0560558	0.0815457	0.192445	0.194299	0.213026	0.225638
a5	0.0235722	0.0330073	0.0564224	0.16874	0.198669	0.250765	0.268824
a12	0.0433202	0.0491356	0.0539119	0.165012	0.17944	0.215391	0.293789
a75	0.0229911	0.0257143	0.028696	0.0955222	0.174319	0.281325	0.371432
a47	0.00855788	0.01015	0.013425	0.055148	0.138637	0.299665	0.474418
a36	0.00480801	0.00509396	0.00732936	0.0308132	0.104798	0.300906	0.546251
a44	0.0105885	0.00955868	0.0148332	0.0211358	0.0469497	0.200322	0.696612
a93	0.00705106	0.00829275	0.0187471	0.0461298	0.105158	0.264534	0.550087
a70	0.00796967	0.0085062	0.0145412	0.0376382	0.108242	0.280461	0.542641
a66	0.00666775	0.00845455	0.0175715	0.0416312	0.124852	0.293268	0.507555
a9	0.0152502	0.0183815	0.044879	0.0763446	0.155888	0.279645	0.409612
a87	0.260366	0.185813	0.136087	0.106633	0.0882246	0.0999459	0.122931
a23	0.345528	0.290176	0.15901	0.0811673	0.0503461	0.037997	0.0357758
a87	0.292986	0.135031	0.06873	0.0562204	0.0809393	0.142685	0.223409
</S>	0.0253314	0.0152528	0.0128856	0.0260323	0.0838353	0.266289	0.570374
