 	va	faire	tes	sottises	ailleurs	</S>
a10	0.255966	0.242171	0.195427	0.202667	0.071514	0.0322545
a87	0.222322	0.120763	0.155435	0.119045	0.207946	0.174489
a23	0.306141	0.194861	0.129831	0.106958	0.0930914	0.169118
a87	0.310928	0.287028	0.187654	0.116475	0.0509539	0.0469612
a23	0.274724	0.279866	0.181326	0.145192	0.0559593	0.0629321
a38	0.311224	0.304363	0.155847	0.104885	0.0611211	0.0625594
a90	0.483249	0.293772	0.125777	0.0778735	0.0124634	0.00686491
a76	0.453669	0.275712	0.131683	0.0945129	0.0289271	0.0154955
a44	0.349909	0.315925	0.179872	0.124295	0.0183351	0.0116643
a57	0.296512	0.322921	0.199992	0.14363	0.0211716	0.015774
a38	0.220426	0.272601	0.231958	0.214905	0.0350119	0.0250989
a90	0.184258	0.225962	0.250679	0.247714	0.0558793	0.0355077
a38	0.142053	0.199553	0.261623	0.270603	0.0814889	0.0446788
a26	0.109726	0.145962	0.240309	0.282026	0.147912	0.0740641
a35	0.10871	0.131111	0.222581	0.27848	0.170219	0.0888989
a26	0.0974979	0.109017	0.209958	0.289685	0.190965	0.102876
a75	0.0850082	0.0858496	0.165822	0.267916	0.254795	0.14061
a14	0.0629558	0.0682704	0.155233	0.25897	0.26184	0.192732
a35	0.067167	0.0762914	0.154265	0.239651	0.247583	0.215042
a56	0.0639104	0.0633001	0.10833	0.179903	0.282457	0.3021
a66	0.053573	0.0463764	0.082317	0.145799	0.325323	0.346611
a75	0.0284077	0.028655	0.0708503	0.160356	0.382563	0.329168
a41	0.0324617	0.0288622	0.0478537	0.0856877	0.323737	0.481398
a47	0.0213218	0.0227021	0.0457311	0.077425	0.30475	0.52807
a35	0.0223592	0.0192536	0.036491	0.0676528	0.302452	0.551791
a32	0.0206709	0.0175572	0.0317522	0.0604303	0.261778	0.607811
a75	0.0155974	0.0108776	0.0211024	0.0351828	0.210051	0.707188
a35	0.0170572	0.0136556	0.0243574	0.039842	0.220982	0.684106
a32	0.00932409	0.00759664	0.0153496	0.0231588	0.166983	0.777588
a11	0.00562606	0.00422279	0.00909525	0.0108978	0.137417	0.832741
a10	0.00454229	0.00344905	0.0070246	0.00733984	0.124039	0.853605
a13	0.00311332	0.00251429	0.00609826	0.00621174	0.140796	0.841266
a9	0.00753821	0.00550763	0.0108597	0.0112158	0.150298	0.814581
a87	0.00535882	0.0039085	0.00682009	0.00861789	0.161731	0.813564
a23	0.030156	0.0130263	0.0114311	0.013623	0.142426	0.789337
a87	0.0235601	0.00965933	0.00945513	0.0109054	0.176291	0.770129
a23	0.0242831	0.013692	0.0160155	0.0178648	0.176956	0.751188
a87	0.0601011	0.0339096	0.0314163	0.0306669	0.246121	0.597785
</S>	0.0409194	0.0223552	0.0235085	0.0276687	0.193201	0.692347
