 	les	femmes	sont	en	train	de	lancer	des	cris	de	malheur	parce	que	le	notable	vient	de	mourir	</S>
a66	0.143099	0.135573	0.108866	0.0998687	0.0651743	0.067502	0.058125	0.0488529	0.0419079	0.0381469	0.0374835	0.0345546	0.0313006	0.0299295	0.0220394	0.0137323	0.0102627	0.00718619	0.00639551
a87	0.27268	0.121861	0.0552724	0.0302793	0.0190864	0.0302147	0.0471284	0.0413289	0.0505801	0.0528383	0.0513907	0.0379586	0.0282148	0.0270442	0.0247254	0.0224147	0.024213	0.0289983	0.0337714
a40	0.234252	0.147142	0.111227	0.0742303	0.0596446	0.0481989	0.0515874	0.0439631	0.0411121	0.0233103	0.0216733	0.0190409	0.0168429	0.0166831	0.0154518	0.0134511	0.0136431	0.0178508	0.0306943
a5	0.165566	0.110961	0.0789301	0.0652445	0.0482152	0.0459903	0.0404034	0.0402498	0.0488604	0.0503375	0.0495427	0.0444326	0.0431424	0.042988	0.0323101	0.0243654	0.0213816	0.0193477	0.0277317
a37	0.268673	0.214636	0.14663	0.10311	0.0543071	0.0433585	0.0282697	0.0196162	0.0143817	0.0112476	0.0113139	0.0114365	0.0131461	0.0160056	0.0111301	0.0080793	0.00848609	0.00832663	0.00784583
a56	0.216078	0.201456	0.171273	0.11227	0.0707235	0.0501039	0.0446737	0.0309364	0.021269	0.0118116	0.0103278	0.00946261	0.0098129	0.0100788	0.00629634	0.00492692	0.00533888	0.00604351	0.00711673
a94	0.146161	0.135973	0.135239	0.113944	0.0951003	0.073237	0.063839	0.0532761	0.0447544	0.0199934	0.0183061	0.0176635	0.0172302	0.0156356	0.0112194	0.0075393	0.00750726	0.00969139	0.0136891
a90	0.0719054	0.075293	0.0999863	0.105568	0.122231	0.0983927	0.0850575	0.0762029	0.0714147	0.029373	0.026462	0.0240261	0.022523	0.0185504	0.0147004	0.0108788	0.0106671	0.0149871	0.0217799
a69	0.0470443	0.0582305	0.0707827	0.0739748	0.0877385	0.0873331	0.0855212	0.0926589	0.0935908	0.0497619	0.0447726	0.0398876	0.0374563	0.0278255	0.0211184	0.0162917	0.0166918	0.0214132	0.0279063
a15	0.0220043	0.0305283	0.0457806	0.0590352	0.0850032	0.0988223	0.10063	0.122157	0.131628	0.0645279	0.054838	0.0443353	0.0390793	0.0246686	0.0165999	0.0116892	0.0118247	0.0154353	0.0214131
a98	0.010817	0.0194369	0.036902	0.05954	0.0916128	0.112974	0.0943767	0.127351	0.128117	0.0670424	0.0551055	0.0422293	0.0404188	0.0253755	0.0177871	0.0134206	0.01447	0.0181842	0.0248398
a47	0.0059372	0.0110402	0.0222859	0.0502001	0.0900668	0.132027	0.10118	0.157296	0.111551	0.074685	0.0629321	0.0440558	0.04052	0.0225506	0.0140439	0.00992015	0.0106432	0.0147414	0.0243242
a36	0.00746817	0.0130809	0.0242608	0.0524443	0.0738955	0.109919	0.0724316	0.152692	0.106833	0.0861177	0.0707696	0.0498155	0.0452912	0.0226668	0.0137781	0.0107833	0.0146659	0.025401	0.047685
a37	0.00564888	0.00849753	0.0176957	0.0385882	0.0749598	0.122468	0.0776623	0.143951	0.103195	0.0747441	0.0587113	0.0421079	0.040291	0.0227617	0.0170042	0.0166557	0.0223732	0.0367488	0.075935
a24	0.00638237	0.00817654	0.0148798	0.0317752	0.0766055	0.132294	0.0954801	0.149693	0.105723	0.0714235	0.0582018	0.03955	0.0336081	0.0187151	0.0144677	0.0158367	0.0208834	0.0342447	0.0720604
a47	0.00539339	0.00571322	0.00867472	0.0172447	0.0427012	0.0851431	0.078811	0.141525	0.130309	0.118345	0.0991117	0.0688428	0.0500862	0.0255427	0.01678	0.01561	0.0168505	0.0247712	0.0485439
a31	0.00590291	0.0066772	0.0104269	0.0196467	0.0485033	0.0945672	0.0879231	0.132563	0.115057	0.11176	0.0973629	0.0729106	0.0583142	0.0317564	0.0203635	0.0162899	0.0152486	0.0191292	0.0355972
a43	0.00399181	0.00430957	0.00703474	0.0164532	0.0424271	0.0789717	0.0646765	0.0985637	0.0893574	0.121057	0.112469	0.0951847	0.0777618	0.046159	0.0293897	0.0233415	0.021755	0.0255468	0.0415499
a0	0.00255095	0.00283415	0.00425747	0.00899558	0.0229624	0.0509812	0.0465871	0.0927287	0.100983	0.153391	0.129914	0.102544	0.0816299	0.0434778	0.0296019	0.0277032	0.0231461	0.0261254	0.0495861
a31	0.00515951	0.00629823	0.00947672	0.0165801	0.033262	0.070412	0.066887	0.0989741	0.0928805	0.130601	0.104231	0.0848904	0.0714409	0.042875	0.0342979	0.0323244	0.024924	0.0270021	0.0474829
a24	0.00340435	0.00352523	0.00525689	0.0107972	0.0238017	0.0464602	0.033479	0.0585439	0.0641579	0.11792	0.110529	0.106005	0.0849034	0.0592228	0.052404	0.0589345	0.0504777	0.0490204	0.0611573
a96	0.00219854	0.00260014	0.00400273	0.00799283	0.0154122	0.0331953	0.0333937	0.0665235	0.0727942	0.122665	0.114652	0.108432	0.0802936	0.0496098	0.0447329	0.0633451	0.0523899	0.0502422	0.0755246
a88	0.00208269	0.00257951	0.00444245	0.0108607	0.0250655	0.0568206	0.0466247	0.0705398	0.0644621	0.0946315	0.0835023	0.0776597	0.0676104	0.0496493	0.0498427	0.0727363	0.0635836	0.0632607	0.0940454
a71	0.00213048	0.0024949	0.00419582	0.0100901	0.022509	0.049065	0.042315	0.0668271	0.0622475	0.0864973	0.0772373	0.0713634	0.058572	0.0424003	0.0434654	0.0732254	0.0744623	0.0867902	0.124112
a9	0.00384828	0.00457977	0.00698071	0.0125242	0.0203077	0.0430834	0.0481201	0.0611622	0.0693227	0.105327	0.0855278	0.0730856	0.0590517	0.0386136	0.0346831	0.0542041	0.0576844	0.0828371	0.139057
a99	0.00996832	0.0104123	0.0124818	0.0201588	0.0277216	0.0548509	0.0559701	0.0649442	0.0648324	0.0908292	0.0837029	0.075045	0.0593849	0.0404413	0.0378347	0.0486856	0.0532103	0.0733481	0.116178
a97	0.0177578	0.0160442	0.0166336	0.0217826	0.0255457	0.044134	0.0469963	0.0563475	0.0595395	0.0787524	0.0766875	0.0692946	0.0539005	0.0385784	0.0393986	0.0519643	0.0671695	0.0896924	0.12978
a24	0.0365702	0.0302123	0.026573	0.0280653	0.0296581	0.0390898	0.0351286	0.0428349	0.0451569	0.0701991	0.0671383	0.0600879	0.0527502	0.0439585	0.0462939	0.049014	0.0724569	0.10195	0.122862
a88	0.0205637	0.0163269	0.013795	0.0117846	0.0139881	0.02116	0.0207388	0.0258675	0.0271514	0.0550362	0.0554137	0.0527183	0.0464515	0.044496	0.0556831	0.0853365	0.118012	0.139422	0.176054
a75	0.00485352	0.00490432	0.00520087	0.00578642	0.00741949	0.0135005	0.0122703	0.0122837	0.011933	0.0279814	0.0222172	0.0197806	0.0237138	0.0262384	0.0371602	0.0836849	0.145529	0.2155	0.320042
a92	0.00100172	0.00135485	0.00217968	0.00473869	0.00827978	0.0146691	0.0098513	0.01646	0.0197378	0.0593905	0.0489188	0.0448269	0.0418404	0.0363602	0.0403726	0.0679665	0.112074	0.181316	0.288661
a36	0.000669665	0.00107797	0.0020305	0.00507872	0.00926226	0.0158815	0.00911611	0.0194457	0.0236326	0.0616072	0.0490169	0.0414044	0.0366292	0.0290495	0.0327311	0.0569299	0.104779	0.194899	0.306759
a56	0.000963721	0.00110692	0.0014921	0.00301639	0.00581408	0.0141336	0.0113143	0.019203	0.0168201	0.053219	0.0433228	0.0416145	0.0389228	0.0324811	0.0389184	0.0783069	0.11308	0.173984	0.312286
a92	0.00091634	0.0010122	0.00131113	0.00256236	0.00467976	0.00988572	0.00767338	0.0154029	0.0148296	0.0432523	0.0363303	0.035214	0.0332425	0.0271334	0.0332044	0.0716173	0.113094	0.192773	0.355866
a37	0.000279117	0.000367882	0.000575302	0.0012288	0.00263309	0.00584042	0.00466823	0.0119522	0.0152068	0.0440409	0.037209	0.0342399	0.0329183	0.0251218	0.0305658	0.0627813	0.113592	0.202573	0.374206
a56	0.00110209	0.00123011	0.00159763	0.00294135	0.00528597	0.0108809	0.00962722	0.0204381	0.0205931	0.0556739	0.0460165	0.0425776	0.0367622	0.0258487	0.0306153	0.0614176	0.0940347	0.163837	0.36952
a44	0.000933293	0.00117755	0.0015915	0.00293798	0.00496926	0.00927011	0.00799154	0.0183598	0.0199866	0.0554328	0.0457271	0.0417489	0.0375915	0.0274413	0.0336096	0.0686127	0.103336	0.174784	0.344499
a90	0.000995196	0.00109425	0.00142014	0.00259588	0.0044386	0.00787003	0.0071945	0.0155941	0.01785	0.042828	0.0347638	0.0313183	0.0259515	0.0189702	0.0237347	0.0542349	0.0861877	0.177354	0.445604
