 	il	s'	est	blessé	avec	un	couteau	</S>
a66	0.323285	0.223791	0.11874	0.0856574	0.0846307	0.0672994	0.0573584	0.0392374
a87	0.193899	0.154727	0.143771	0.136572	0.114767	0.0798898	0.0901775	0.0861959
a23	0.334255	0.20554	0.147002	0.0939453	0.0686179	0.0514411	0.0484279	0.0507713
a87	0.279062	0.199505	0.159746	0.111489	0.072652	0.0556277	0.057422	0.0644964
a97	0.271494	0.193313	0.160198	0.124224	0.083291	0.0591524	0.0535256	0.0548023
a87	0.251635	0.192374	0.154722	0.119831	0.0848747	0.0655291	0.0633945	0.0676393
a97	0.271437	0.197913	0.15211	0.112902	0.0795781	0.0620953	0.0593758	0.0645888
a30	0.274923	0.211274	0.148095	0.101577	0.0738597	0.062142	0.0643368	0.0637925
a53	0.277223	0.200185	0.150967	0.103997	0.0740759	0.0656241	0.0660473	0.0618808
a69	0.271976	0.254259	0.183079	0.0928154	0.0533901	0.0468572	0.0499095	0.0477129
a90	0.200956	0.238553	0.203865	0.130075	0.0747287	0.0575719	0.0519307	0.0423195
a25	0.142677	0.193939	0.190826	0.147745	0.0986653	0.0806643	0.0763783	0.0691046
a92	0.130028	0.174596	0.194957	0.166344	0.113367	0.0797409	0.0741213	0.0668464
a56	0.111733	0.147973	0.162267	0.174859	0.147706	0.104313	0.0817368	0.069413
a62	0.114115	0.13134	0.162689	0.193952	0.152416	0.0934698	0.0773935	0.0746236
a34	0.0989958	0.0916535	0.131986	0.200041	0.174305	0.1082	0.0921277	0.102691
a62	0.0770151	0.0747828	0.107897	0.196948	0.212126	0.140077	0.0994388	0.0917163
a83	0.0431742	0.0363803	0.0561622	0.131999	0.199126	0.189787	0.165333	0.178037
a98	0.029216	0.0252586	0.0401852	0.107525	0.190674	0.212844	0.195204	0.199093
a47	0.0119975	0.0106326	0.0159461	0.0453957	0.122884	0.236194	0.256194	0.300757
a36	0.0131951	0.00971078	0.0123569	0.0291509	0.0723645	0.164459	0.248705	0.450058
a2	0.00758316	0.00585548	0.00738692	0.0155864	0.03411	0.0898916	0.219755	0.619831
a57	0.0317894	0.0282549	0.0254784	0.0234547	0.0308515	0.0713514	0.214476	0.574344
a87	0.0812202	0.0634805	0.0501273	0.053429	0.0770626	0.121977	0.205937	0.346767
a97	0.167524	0.124136	0.0976736	0.100347	0.111289	0.119905	0.130542	0.148584
a87	0.126137	0.101023	0.0862325	0.114108	0.165744	0.184062	0.131225	0.0914695
a97	0.130412	0.104613	0.0939572	0.132321	0.169004	0.168055	0.118896	0.0827432
a3	0.12049	0.0997595	0.0966239	0.137124	0.164329	0.169183	0.127234	0.0852577
a97	0.145777	0.12549	0.122643	0.143335	0.13729	0.132333	0.110868	0.0822649
a99	0.116697	0.103662	0.107728	0.1339	0.138463	0.151269	0.138141	0.11014
a3	0.0817034	0.0702377	0.0814705	0.134696	0.15078	0.164175	0.166772	0.150166
</S>	0.118534	0.104726	0.110978	0.140828	0.132253	0.131866	0.131219	0.129596
