 	ces	forêts	d'	ongonza	ne	sont	plus	giboyeuses	</S>
a66	0.507833	0.170774	0.0876803	0.0559486	0.0565891	0.0398164	0.026801	0.0210114	0.0335462
a87	0.405351	0.162051	0.085224	0.0940184	0.074521	0.0431707	0.0318791	0.036688	0.067097
a23	0.303437	0.180561	0.107834	0.11108	0.0819179	0.0450599	0.0404696	0.0484969	0.0811433
a40	0.32987	0.192577	0.141171	0.113831	0.0496658	0.0233118	0.023098	0.0407092	0.0857661
a7	0.401164	0.172855	0.100395	0.0630443	0.0592286	0.0533099	0.042089	0.0432285	0.0646854
a76	0.269257	0.251498	0.237991	0.103084	0.0413049	0.0201849	0.0156558	0.021189	0.0398353
a56	0.269623	0.240167	0.22653	0.111453	0.0569595	0.0350642	0.0254008	0.018666	0.016136
a25	0.122436	0.145684	0.213641	0.190183	0.139546	0.0705411	0.037306	0.0355303	0.0451323
a56	0.0685579	0.109143	0.178537	0.182626	0.167132	0.0980413	0.0537621	0.0580609	0.0841391
a90	0.0752113	0.118327	0.207235	0.209902	0.159677	0.0823449	0.0421887	0.0408175	0.0642979
a92	0.0470444	0.0942031	0.191869	0.22567	0.181943	0.099534	0.0508841	0.0439969	0.0648549
a75	0.0270714	0.0572176	0.124394	0.195552	0.18411	0.133644	0.0860599	0.076855	0.115097
a85	0.014625	0.0340756	0.0823995	0.156445	0.162838	0.139963	0.116043	0.122755	0.170856
a92	0.0133914	0.0344786	0.0741553	0.118953	0.147216	0.127499	0.115779	0.163971	0.204556
a21	0.00906437	0.0208195	0.0409902	0.0946142	0.173212	0.171408	0.145734	0.157782	0.186376
a85	0.00586948	0.00828786	0.0146834	0.0479477	0.149799	0.216532	0.173853	0.183104	0.199924
a37	0.00311232	0.00579926	0.0114364	0.0333326	0.0981365	0.152869	0.159966	0.231501	0.303846
a21	0.00456518	0.00778255	0.0116359	0.028801	0.0836517	0.170959	0.162439	0.198508	0.331657
a85	0.00442395	0.00631577	0.0109451	0.0268225	0.0692597	0.144206	0.17731	0.224556	0.336161
a5	0.00202576	0.00356022	0.00528627	0.0105282	0.0231549	0.0580481	0.117587	0.264129	0.515681
a6	0.00366146	0.00560522	0.00594468	0.0114012	0.0265376	0.0638511	0.152987	0.318476	0.411536
a36	0.000748051	0.00130124	0.00165446	0.00401301	0.0120626	0.0426618	0.131323	0.350439	0.455797
a54	0.00204096	0.00308022	0.00339843	0.00607395	0.0142196	0.0401783	0.0941523	0.291372	0.545484
a7	0.00099183	0.00180752	0.00240369	0.00360757	0.0074549	0.0225956	0.0725541	0.311732	0.576853
a40	0.00283643	0.00396935	0.00512121	0.00694978	0.0110525	0.025417	0.0612558	0.249427	0.633971
a47	0.000572559	0.00112471	0.00213972	0.00419863	0.00923921	0.0278262	0.0831218	0.333549	0.538229
a36	0.000205167	0.000434876	0.000747816	0.00158581	0.00403238	0.0168553	0.0756975	0.349901	0.55054
a2	0.00693608	0.0092327	0.0100027	0.00777318	0.0106197	0.0267666	0.0714688	0.238322	0.618878
a57	0.0539703	0.0481543	0.0398227	0.0220912	0.0302244	0.065663	0.117014	0.220134	0.402926
a87	0.167738	0.0913105	0.0665834	0.0411201	0.0494834	0.0891163	0.1275	0.160371	0.206777
a23	0.444488	0.181763	0.0908834	0.0494566	0.0399003	0.0415623	0.045215	0.0452615	0.0614692
a87	0.0904979	0.0623871	0.0536767	0.0500706	0.0519465	0.0867042	0.171721	0.22737	0.205626
</S>	0.0072244	0.00858609	0.0116769	0.0170789	0.0272595	0.0716403	0.154729	0.262273	0.439532
