 	il	fait	une	boucle	avec	la	corde	</S>
a23	0.358865	0.173158	0.0795294	0.0617135	0.0637107	0.066395	0.0908468	0.105782
a53	0.413237	0.232457	0.105444	0.0533389	0.0463306	0.0421047	0.0455426	0.0615449
a15	0.255285	0.143898	0.0641377	0.0371687	0.0505862	0.087864	0.157023	0.204038
a7	0.363305	0.246508	0.115397	0.049619	0.0430412	0.0475858	0.0585999	0.0759449
a40	0.310953	0.267881	0.152062	0.0612098	0.0403086	0.0429236	0.0529162	0.0717458
a6	0.106646	0.113413	0.113739	0.110154	0.114042	0.126917	0.143609	0.171479
a37	0.0775381	0.0816993	0.09605	0.120772	0.151786	0.154833	0.15033	0.166992
a61	0.0974434	0.0995178	0.11788	0.136235	0.129531	0.127694	0.135532	0.156167
a0	0.0750684	0.083395	0.121368	0.15868	0.154812	0.138608	0.127636	0.140431
a61	0.0807622	0.076565	0.107107	0.162078	0.15829	0.137563	0.132895	0.144739
a75	0.0470447	0.0467113	0.0729257	0.142497	0.19837	0.180234	0.155143	0.157074
a7	0.0417503	0.0398895	0.0579044	0.113281	0.177394	0.18946	0.179465	0.200855
a93	0.0480207	0.0451581	0.0652368	0.117647	0.181788	0.182108	0.163945	0.196097
a35	0.0320127	0.0339706	0.0548501	0.102931	0.180662	0.201253	0.179663	0.214658
a13	0.0188412	0.0164668	0.0241581	0.049173	0.126354	0.207454	0.236579	0.320974
a9	0.00666401	0.00566248	0.009178	0.0248151	0.0710765	0.138882	0.256889	0.486833
a87	0.00969852	0.00576466	0.00532843	0.0104786	0.0420806	0.12092	0.278969	0.526759
a97	0.116922	0.0552011	0.0421824	0.0497725	0.0807321	0.137928	0.201444	0.315818
a87	0.110199	0.0480242	0.0418809	0.0722732	0.125664	0.176175	0.194577	0.231206
a10	0.104054	0.0457927	0.0372038	0.0609917	0.10831	0.16757	0.217406	0.258673
a87	0.0774353	0.0451755	0.0346992	0.0448517	0.0823004	0.151861	0.250268	0.313408
</S>	0.0770027	0.0504496	0.041768	0.0533518	0.083476	0.144238	0.244278	0.305435
