 	ce	qui	fait	le	rythme	dans	la	danse	ikango	c'	est	le	son	doux	et	lourd	produit	en	battant	les	mains	</S>
a66	0.0723741	0.0475858	0.0289924	0.0248163	0.0250138	0.0292757	0.0330391	0.0372045	0.0443034	0.0504563	0.0611436	0.086734	0.0713795	0.0817343	0.0798544	0.0953583	0.0699252	0.0299542	0.0111625	0.0077128	0.00669156	0.00528826
a87	0.104234	0.0720802	0.0617805	0.0522373	0.0549444	0.0532811	0.0549824	0.0502368	0.046804	0.0380784	0.0390924	0.0474413	0.0305092	0.0585834	0.0385762	0.0561244	0.0316329	0.0230627	0.0208071	0.0207256	0.0235869	0.021199
a23	0.183456	0.128506	0.113807	0.0908564	0.0553844	0.0502534	0.0394744	0.0314626	0.0305172	0.0260105	0.0229047	0.0295979	0.0223661	0.0393299	0.0286517	0.0317175	0.0278314	0.0153477	0.00849217	0.00619688	0.00781173	0.0100248
a83	0.110681	0.0900596	0.101899	0.0986741	0.072117	0.0723017	0.0542872	0.0444332	0.0402852	0.0355866	0.0316007	0.04364	0.0335972	0.0403265	0.0293298	0.0243501	0.0196044	0.0147085	0.0126115	0.0113153	0.00931789	0.00927305
a9	0.0517747	0.0462084	0.0460932	0.0535471	0.0392255	0.0480633	0.0357719	0.0366738	0.0445501	0.0581728	0.0569812	0.0637562	0.0436156	0.0714421	0.0586339	0.0755952	0.0614967	0.0425281	0.0223371	0.0160452	0.0157498	0.0117381
a38	0.0601876	0.0596886	0.0489647	0.0604318	0.0346825	0.0445413	0.0360647	0.0324849	0.0451844	0.0598211	0.0526369	0.050838	0.0313482	0.0775885	0.0710301	0.0822729	0.0739191	0.0375939	0.0187212	0.0102159	0.00743073	0.00435297
a54	0.0630237	0.0708368	0.0644881	0.0743173	0.051751	0.059146	0.0446636	0.0379507	0.0420808	0.0463054	0.036798	0.0338766	0.0201994	0.0565379	0.0528893	0.0625988	0.0598476	0.0362929	0.0263905	0.0222494	0.0222214	0.0155348
a79	0.0395449	0.0498708	0.0516098	0.0527711	0.0473547	0.0555698	0.0504398	0.049241	0.0497829	0.0561849	0.0504227	0.042692	0.0245597	0.0380594	0.0387429	0.0413566	0.0447135	0.0479983	0.0417089	0.0406358	0.0424985	0.0442421
a56	0.0349627	0.0523637	0.0618314	0.0604003	0.056097	0.06101	0.0616977	0.0627221	0.0672703	0.0691785	0.0605446	0.0502647	0.0248324	0.0343374	0.0352713	0.0323668	0.0345326	0.035468	0.0247798	0.0229009	0.0250084	0.0321597
a93	0.0378998	0.0495296	0.0647343	0.0718386	0.0749914	0.0890923	0.0839849	0.0720913	0.0558119	0.0579678	0.0489809	0.0424911	0.0209814	0.0318162	0.0323273	0.0304213	0.0383959	0.0289494	0.0172896	0.0150232	0.0168029	0.0185787
a15	0.0255776	0.0312269	0.0441803	0.0548349	0.0721076	0.100359	0.102898	0.093486	0.0709011	0.0834425	0.0667459	0.0501004	0.0233292	0.0245243	0.0240329	0.0226173	0.030391	0.0218307	0.0125463	0.011871	0.0156052	0.0173917
a98	0.0254545	0.0268402	0.0315112	0.0379695	0.0536429	0.075841	0.091979	0.0871498	0.0689445	0.0766533	0.07119	0.0553651	0.0305633	0.0318501	0.0327538	0.0270781	0.0331726	0.0248208	0.0165551	0.0208489	0.0331547	0.0466616
a47	0.014876	0.0169287	0.0218362	0.0258901	0.0411967	0.0514851	0.062665	0.0649934	0.055454	0.0577984	0.0601916	0.0426393	0.0217381	0.0172451	0.0197423	0.0219026	0.0377702	0.0504604	0.0448487	0.064396	0.085037	0.120905
a0	0.00993962	0.0101626	0.0125018	0.0157234	0.0301807	0.046088	0.0553516	0.0558193	0.0437547	0.0497637	0.0693878	0.0533012	0.0359259	0.0226173	0.0231734	0.01707	0.0221821	0.0269947	0.0324482	0.0715881	0.123178	0.172847
a21	0.0115802	0.00960413	0.00970485	0.011312	0.0166747	0.025307	0.0349674	0.0395072	0.0391071	0.0443513	0.0616172	0.0511418	0.0443149	0.0252223	0.0245434	0.0166378	0.0207107	0.0194372	0.0271265	0.0720028	0.166647	0.228482
a85	0.0176475	0.0142596	0.0143143	0.0146123	0.0202189	0.0268105	0.0350929	0.0440431	0.0494864	0.0501605	0.0567232	0.04869	0.0450746	0.0243009	0.0245054	0.0253216	0.0337618	0.037361	0.0454718	0.0790176	0.126638	0.166488
a92	0.00802008	0.00757535	0.00861797	0.0101366	0.0139051	0.0261675	0.0354455	0.0403175	0.0365437	0.0403551	0.0418537	0.0338763	0.024534	0.0126516	0.0125232	0.0138777	0.0196559	0.0246949	0.0372206	0.0871696	0.169955	0.294903
a98	0.00356673	0.00293468	0.00294143	0.00358197	0.00547294	0.0079128	0.0108726	0.0129796	0.0134439	0.0150565	0.0181346	0.0139423	0.0160509	0.00496463	0.00573868	0.00595312	0.0114466	0.0265151	0.0593058	0.16283	0.27476	0.321594
a79	0.00385714	0.00327644	0.00311306	0.00364219	0.00531226	0.00893839	0.0112918	0.0124846	0.0119083	0.0141087	0.0180819	0.0144605	0.0167171	0.00425207	0.00490383	0.00491772	0.0114306	0.0297894	0.0603202	0.145261	0.260466	0.351466
a56	0.00199403	0.00154608	0.00165503	0.00200051	0.00306946	0.0045234	0.00570395	0.0063823	0.00641536	0.00699303	0.010151	0.00760758	0.0115246	0.00231525	0.00313262	0.00308192	0.00675596	0.0213441	0.0606488	0.181202	0.303939	0.348014
a75	0.00301058	0.00206429	0.00152271	0.00158631	0.00200533	0.0027479	0.00404277	0.00485399	0.00599169	0.00582669	0.00807147	0.00611936	0.00916342	0.00179503	0.00239008	0.00260543	0.00580474	0.0174013	0.058679	0.169379	0.299942	0.384996
