 	le	feu	que	j'	ai	allumé	dans	la	cuisine	a	tenu	longtemps	</S>
a66	0.146436	0.0755896	0.0516537	0.0487779	0.0691256	0.0797532	0.0910614	0.119886	0.11272	0.0700501	0.0635126	0.0351722	0.0362628
a87	0.222043	0.138047	0.0778089	0.0610568	0.0517774	0.0394697	0.0276317	0.0362144	0.0325798	0.0431623	0.0741979	0.0853676	0.110643
a97	0.306119	0.170643	0.0688072	0.0396959	0.0356825	0.0307001	0.0313681	0.0434548	0.0428721	0.0366835	0.0496851	0.0616705	0.0826184
a38	0.29005	0.180783	0.0793705	0.0456529	0.0419229	0.0330178	0.0390622	0.0519336	0.0499434	0.0352227	0.0432654	0.0506296	0.0591457
a83	0.437195	0.204806	0.0731368	0.04801	0.0439984	0.0418292	0.0321684	0.0287704	0.0224612	0.0150681	0.0126082	0.0166317	0.0233166
a62	0.284904	0.173521	0.0920231	0.0738921	0.0747446	0.0949957	0.0629356	0.0435253	0.0266774	0.0199145	0.0120472	0.0185562	0.0222624
a5	0.282558	0.212507	0.121362	0.0817901	0.0578451	0.0525515	0.0507561	0.0433661	0.0304952	0.0226566	0.0128397	0.0145493	0.0167225
a37	0.152726	0.142131	0.109071	0.0872563	0.0739235	0.0745034	0.0931056	0.0860876	0.0658216	0.0396998	0.0240586	0.0249699	0.0266456
a12	0.0886009	0.0925924	0.0952251	0.0901861	0.0845455	0.0851151	0.106724	0.0935888	0.0790182	0.0573669	0.0421549	0.0404351	0.044447
a61	0.050973	0.0608104	0.072315	0.0797991	0.0835074	0.094538	0.111948	0.0993515	0.0825743	0.0657126	0.0559047	0.0669858	0.0755798
a43	0.0414616	0.0488486	0.0628991	0.0658774	0.0752324	0.0843736	0.112144	0.108701	0.0999647	0.0823206	0.0702563	0.0707444	0.0771774
a93	0.0508084	0.061262	0.0831555	0.0864351	0.0888465	0.0910525	0.112844	0.0984953	0.0890869	0.0680806	0.0556716	0.0533628	0.060899
a56	0.0409746	0.0468787	0.0642196	0.0755222	0.0910839	0.10724	0.138583	0.120808	0.107345	0.0664612	0.0510559	0.04295	0.0468788
a34	0.0259519	0.0295426	0.043897	0.0577743	0.0821152	0.10952	0.14066	0.138108	0.13351	0.0833428	0.0594197	0.0461497	0.0500093
a85	0.0229276	0.0239353	0.0326181	0.0429038	0.0698999	0.107301	0.160188	0.167913	0.146547	0.0862697	0.0608928	0.0380687	0.0405352
a56	0.0156327	0.0207942	0.0376712	0.0582102	0.0927921	0.132501	0.141892	0.137312	0.127844	0.0957611	0.0599142	0.0396426	0.0400331
a75	0.00927141	0.00946959	0.0138996	0.0214705	0.0467232	0.112586	0.149843	0.182554	0.175758	0.109942	0.0658476	0.0471157	0.0555203
a79	0.00577253	0.00642184	0.0111861	0.0185999	0.0416863	0.0937373	0.123335	0.163385	0.171892	0.140363	0.0929985	0.0641184	0.0665037
a7	0.00486076	0.00517787	0.00883785	0.0149245	0.0356967	0.0843052	0.122077	0.181592	0.195374	0.153837	0.0914541	0.0505853	0.0512774
a44	0.00465829	0.00457775	0.00641282	0.0096241	0.0208907	0.0706031	0.107941	0.195534	0.207503	0.141139	0.0815635	0.0632325	0.0863205
a4	0.0046887	0.00421207	0.00516631	0.00743326	0.0173025	0.0613757	0.0921943	0.181945	0.207255	0.156695	0.0919908	0.0725412	0.0971998
a13	0.00281977	0.00257385	0.0035513	0.00535018	0.0138746	0.0461966	0.0717053	0.15639	0.187106	0.176265	0.124491	0.0947272	0.114949
a38	0.00169521	0.00152794	0.0019205	0.00330886	0.00864006	0.0319991	0.0521043	0.117564	0.135621	0.144498	0.130183	0.154515	0.216422
a88	0.00183932	0.00164546	0.00194356	0.0036522	0.0089517	0.0283123	0.0409587	0.0841187	0.0939807	0.125111	0.154409	0.199905	0.255173
a9	0.00125659	0.00120096	0.00158144	0.00333627	0.00804271	0.0251907	0.0325403	0.0670968	0.0738537	0.116512	0.172873	0.230855	0.265661
a53	0.00544834	0.00442486	0.00481039	0.00697474	0.0129115	0.0292706	0.0402738	0.0746932	0.0943893	0.116664	0.170483	0.203983	0.235673
a90	0.00160664	0.00141538	0.00165872	0.00285808	0.00560317	0.0147892	0.0196287	0.0426997	0.0539927	0.0882328	0.138123	0.271196	0.358196
a56	0.00044944	0.00044468	0.000652771	0.0012819	0.00307178	0.0115793	0.0151279	0.0307524	0.03821	0.0646843	0.111964	0.309983	0.411799
a96	0.000319022	0.000327162	0.000494001	0.000992347	0.00243455	0.00999292	0.013442	0.0306967	0.0379246	0.0645031	0.102808	0.293072	0.442993
a18	0.000373119	0.000377751	0.000578626	0.00118314	0.00288044	0.0108437	0.0133099	0.0274585	0.032409	0.0586314	0.0984108	0.294542	0.459001
a71	0.00305943	0.0028043	0.00357935	0.00579934	0.0111077	0.0239425	0.0264592	0.0360664	0.0391488	0.0692829	0.15109	0.252713	0.374948
a9	0.0163021	0.0124792	0.013336	0.0160071	0.0231828	0.0351183	0.0413737	0.0517304	0.0534417	0.0781677	0.153999	0.201987	0.302875
a82	0.0660941	0.0349122	0.0253668	0.0227379	0.028904	0.0306125	0.0348391	0.0491587	0.0573967	0.0767931	0.151974	0.170171	0.25104
a97	0.0910699	0.0537424	0.0337565	0.0239712	0.0293203	0.024107	0.0268652	0.0433648	0.0501864	0.0709515	0.145442	0.169462	0.237761
a99	0.0689852	0.0422069	0.0277683	0.0205865	0.0268743	0.0234879	0.0289288	0.051951	0.0579015	0.0731461	0.142709	0.188669	0.246785
a82	0.0846131	0.0503979	0.0320542	0.022436	0.026313	0.0244989	0.0263639	0.0444371	0.0479431	0.0680069	0.116498	0.192395	0.264044
</S>	0.0618075	0.0342814	0.0241455	0.0229349	0.0352221	0.0415322	0.0499479	0.0704793	0.0717224	0.0796783	0.115072	0.166338	0.226839
