 	j'	ai	vu	un	troupeau	de	boeufs	sauvages	</S>
a23	0.496985	0.192694	0.0920253	0.0416134	0.0242353	0.0208173	0.0364411	0.0401437	0.0550451
a10	0.579076	0.162051	0.0650978	0.0390665	0.021708	0.0261928	0.0211446	0.0338822	0.051781
a87	0.310891	0.209608	0.157738	0.0874823	0.0299029	0.0254986	0.0251433	0.0519488	0.101787
a23	0.194803	0.148285	0.151933	0.123906	0.0468884	0.0397686	0.0508521	0.0911528	0.152412
a24	0.341834	0.205487	0.154182	0.0711973	0.0194482	0.0151115	0.0220902	0.0590884	0.111562
a25	0.324016	0.338952	0.239264	0.0662916	0.0167355	0.00442525	0.002338	0.0032265	0.00475198
a38	0.19792	0.298762	0.269161	0.119107	0.0384926	0.0143653	0.0112877	0.0186461	0.0322582
a24	0.16153	0.265753	0.273139	0.17254	0.0615799	0.0221657	0.0117979	0.0138251	0.0176696
a12	0.116657	0.227189	0.281572	0.22523	0.0959127	0.0306055	0.00755845	0.00724307	0.00803257
a88	0.0893354	0.174531	0.264547	0.254972	0.136563	0.0481036	0.010832	0.00992888	0.011187
a71	0.0760113	0.123586	0.210724	0.271479	0.18702	0.0803103	0.0188902	0.0155245	0.0164543
a53	0.0547251	0.0662784	0.115378	0.225496	0.227775	0.152209	0.0519337	0.046938	0.0592666
a98	0.0493072	0.0669642	0.123269	0.256874	0.233964	0.12911	0.0498082	0.0457594	0.0449431
a90	0.0675096	0.0755474	0.122324	0.244805	0.240102	0.114412	0.0468526	0.0455724	0.0428743
a98	0.0630049	0.0802473	0.122903	0.221537	0.237776	0.116542	0.0512578	0.0545133	0.0522178
a41	0.0710363	0.065407	0.083486	0.141404	0.207601	0.125829	0.0801021	0.100495	0.124639
a21	0.0738453	0.0673553	0.085086	0.125676	0.183085	0.122145	0.0928671	0.114664	0.135277
a41	0.0946198	0.090969	0.10231	0.132132	0.160265	0.111947	0.0987386	0.0999279	0.10909
a94	0.100599	0.0782994	0.0840221	0.109678	0.118869	0.10331	0.100056	0.120784	0.184382
a13	0.0691184	0.053702	0.0561791	0.0923945	0.104558	0.100326	0.126458	0.169058	0.228206
a53	0.0451214	0.0370861	0.0367661	0.0609233	0.0712926	0.094797	0.176483	0.234874	0.242657
a25	0.0513541	0.0424588	0.0435283	0.0561039	0.060178	0.0816465	0.162608	0.241714	0.260409
a94	0.0302522	0.0220963	0.0242131	0.0355867	0.0520976	0.0879918	0.173226	0.258886	0.31565
a66	0.0389305	0.0280667	0.0279972	0.0398921	0.0453128	0.0549053	0.147512	0.256982	0.360402
a75	0.0472379	0.0267148	0.0237963	0.0349271	0.0465872	0.0646184	0.157247	0.24778	0.351091
a25	0.0243696	0.0159854	0.0161234	0.0200597	0.0240852	0.0306433	0.111597	0.242962	0.514175
a44	0.0223458	0.0118113	0.0114236	0.0144015	0.0230733	0.0324826	0.11777	0.241182	0.525509
a98	0.0279288	0.0147849	0.013502	0.0193967	0.027561	0.0338724	0.113756	0.24434	0.504858
a5	0.0440458	0.0278509	0.0251577	0.0261989	0.0309908	0.0342115	0.0964178	0.227341	0.487786
a18	0.0470935	0.02079	0.0185609	0.0248932	0.0345718	0.0374408	0.107801	0.211452	0.497396
a11	0.0193076	0.00941031	0.00781608	0.0112138	0.017169	0.023641	0.0752571	0.234301	0.601884
a21	0.0160399	0.00820195	0.00656431	0.00812332	0.011628	0.0183192	0.0611767	0.217452	0.652495
a12	0.0239936	0.0137187	0.0134767	0.0181048	0.0217943	0.0220671	0.0854107	0.203691	0.597744
a18	0.0257068	0.0137534	0.0114543	0.0141223	0.0182078	0.0207744	0.0600145	0.164362	0.671605
a25	0.0154065	0.00631394	0.00456892	0.00514946	0.00726242	0.0154018	0.0721721	0.211374	0.662351
a87	0.0151575	0.0055295	0.00316387	0.00271877	0.00368133	0.00840187	0.0440183	0.188246	0.729083
</S>	0.0120229	0.00491364	0.00243674	0.00121842	0.00200664	0.0062012	0.0668257	0.219807	0.684568
