 	certains	plats	qu'	il	prépare	ne	sont	pas	salés	</S>
a23	0.25545	0.117776	0.0595695	0.0651615	0.0943885	0.12093	0.115996	0.0784067	0.0489516	0.0433704
a99	0.370612	0.257511	0.0953081	0.0816964	0.0530354	0.0398522	0.0276566	0.0214855	0.0247807	0.0280626
a62	0.203872	0.29492	0.152173	0.0983112	0.0564329	0.0280686	0.0167175	0.0204359	0.0606622	0.0684064
a12	0.294643	0.182755	0.0830027	0.0839014	0.0918432	0.0762194	0.0437783	0.0446081	0.0622061	0.0370431
a5	0.357372	0.287841	0.103095	0.0803314	0.0624955	0.0548105	0.022462	0.0158342	0.00961811	0.00614047
a18	0.159925	0.262451	0.210962	0.14961	0.0879223	0.0616005	0.0209558	0.0171803	0.0173028	0.0120895
a62	0.108953	0.235585	0.265166	0.169932	0.0874718	0.0553077	0.0233551	0.0183954	0.0206216	0.0152123
a21	0.0702335	0.143076	0.261427	0.223428	0.136257	0.0898852	0.0307161	0.0182824	0.0144779	0.0122168
a5	0.0961511	0.175251	0.239363	0.196248	0.130612	0.0915926	0.0274123	0.014315	0.0126632	0.0163916
a61	0.050265	0.100819	0.146668	0.207842	0.184487	0.156145	0.0591609	0.0338667	0.0249907	0.0357559
a24	0.0321907	0.0684516	0.116531	0.213507	0.230282	0.205619	0.070709	0.0293496	0.0165987	0.016761
a62	0.0295393	0.0528299	0.076836	0.170018	0.240759	0.241238	0.101481	0.0432508	0.0221015	0.0219459
a21	0.0273258	0.0500252	0.0769965	0.148441	0.220963	0.227912	0.136389	0.0635249	0.0262319	0.0221902
a85	0.0764592	0.087141	0.0796323	0.114613	0.152565	0.178222	0.142318	0.101736	0.0356743	0.0316404
a37	0.0608224	0.0601633	0.065394	0.111267	0.14399	0.157781	0.126177	0.10989	0.0898306	0.0746841
a98	0.0418373	0.0737173	0.0720032	0.110545	0.139401	0.141336	0.124616	0.125544	0.0897934	0.0812074
a25	0.0291433	0.0276402	0.0361603	0.0709385	0.107459	0.110623	0.111713	0.152272	0.202579	0.151473
a93	0.0136388	0.0175572	0.0250187	0.0433115	0.0629045	0.062761	0.090043	0.178653	0.284232	0.22188
a62	0.0121001	0.0189285	0.021149	0.0398073	0.0693786	0.0810535	0.132353	0.21638	0.228655	0.180194
a75	0.00590928	0.0104766	0.0160975	0.0404684	0.0648721	0.063435	0.0877629	0.17513	0.321554	0.214294
a25	0.00514079	0.00625834	0.0105972	0.0280492	0.0520946	0.0564746	0.0720978	0.144443	0.35621	0.268634
a69	0.00251013	0.00283813	0.00548044	0.0146631	0.0272252	0.0268534	0.0396685	0.0929929	0.430998	0.35677
a58	0.00180246	0.00305711	0.0054631	0.0115586	0.0205701	0.0208802	0.0383945	0.0927535	0.335075	0.470446
a90	0.00119089	0.0015501	0.00206087	0.00325425	0.00430749	0.00401397	0.00762491	0.0218836	0.206637	0.747477
a25	0.00116671	0.00170023	0.00258966	0.00558879	0.0104944	0.0126085	0.0245577	0.0655893	0.318155	0.55755
a44	0.000652138	0.000678635	0.00113091	0.00269435	0.00468115	0.00455161	0.0081901	0.0217436	0.204477	0.7512
a40	0.000690995	0.000698191	0.00109198	0.00195991	0.00225713	0.00200779	0.00426431	0.0140355	0.182723	0.790271
a75	0.00157832	0.00124939	0.00188474	0.00379969	0.0049901	0.00473934	0.00730668	0.0167079	0.18558	0.772164
a47	0.00187382	0.00104143	0.00108357	0.00215566	0.00330157	0.0035137	0.00631123	0.0173063	0.195934	0.767479
a2	0.000831561	0.000696086	0.00123249	0.00293184	0.00442275	0.00407811	0.00670265	0.0192915	0.248659	0.711154
a57	0.00347202	0.00256083	0.00379606	0.00456742	0.00459813	0.00374114	0.00706012	0.0235399	0.292195	0.654469
a87	0.0942586	0.036268	0.0233645	0.0248717	0.0247433	0.0167395	0.0286532	0.0581805	0.168512	0.524409
a23	0.172938	0.0616143	0.0554616	0.0636327	0.0601736	0.0356975	0.0391048	0.0574695	0.133304	0.320604
a87	0.121442	0.0580895	0.0320993	0.030998	0.0259009	0.0174204	0.025917	0.0539261	0.251527	0.38268
</S>	0.0294042	0.00842527	0.00800198	0.0107979	0.0119488	0.0074	0.0145825	0.0393588	0.238896	0.631185
