 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
a87	0.222434	0.100627	0.128591	0.0722134	0.0641474	0.0570178	0.0591021	0.0725195	0.0855166	0.137831
a57	0.171232	0.105278	0.137655	0.0704102	0.0667637	0.0593604	0.0697558	0.0808881	0.0930308	0.145625
a87	0.316114	0.179664	0.108148	0.0417608	0.0348032	0.0354533	0.0424184	0.0492273	0.0617641	0.130647
a23	0.300873	0.199263	0.108313	0.0577828	0.0475508	0.0497717	0.0511777	0.0495732	0.0518547	0.0838396
a79	0.362404	0.200587	0.078054	0.0342809	0.0384761	0.0401754	0.0474685	0.0491782	0.0516938	0.0976826
a20	0.597204	0.156439	0.0429497	0.0214543	0.0185327	0.015944	0.0200569	0.0259079	0.0352261	0.0662847
a94	0.562529	0.169898	0.0628033	0.0338398	0.0284047	0.0266197	0.0254212	0.0251967	0.0272802	0.0380068
a41	0.424528	0.209789	0.0869052	0.0495178	0.0428179	0.0402701	0.0369275	0.0328359	0.0342644	0.0421447
a32	0.246677	0.210277	0.137873	0.0732382	0.0597789	0.0552815	0.0552751	0.0509987	0.0505559	0.0600443
a75	0.239296	0.239755	0.158396	0.0781368	0.0575628	0.0482334	0.0455056	0.0421861	0.0417666	0.0491617
a41	0.166891	0.184588	0.154221	0.105074	0.0845334	0.0739619	0.0651826	0.0570225	0.053322	0.0552042
a26	0.133366	0.2024	0.184984	0.103463	0.0742305	0.0626713	0.0585775	0.056884	0.0564902	0.0669338
a24	0.133287	0.228176	0.192447	0.099089	0.0708915	0.0536789	0.04628	0.045642	0.0500968	0.0804108
a21	0.114561	0.201617	0.221696	0.124886	0.0867683	0.0627803	0.0472817	0.0400553	0.0401307	0.0602238
a85	0.0995098	0.153474	0.22093	0.137831	0.0982791	0.0739685	0.0627902	0.0499558	0.0461756	0.0570856
a14	0.0688783	0.0988596	0.159859	0.119886	0.100479	0.088651	0.0840697	0.0812492	0.0829127	0.115156
a73	0.0543247	0.0734046	0.127012	0.103005	0.0944942	0.091687	0.105032	0.11022	0.107213	0.133608
a69	0.0412508	0.0478804	0.0912089	0.0959745	0.0944087	0.0941911	0.111072	0.12704	0.127174	0.1698
a20	0.0539521	0.0568433	0.0954671	0.111079	0.110846	0.101205	0.107576	0.105201	0.108442	0.149388
a69	0.0389803	0.0382893	0.0490041	0.0586196	0.0756447	0.0820341	0.10642	0.135334	0.167128	0.248545
a20	0.0470004	0.0435512	0.0509496	0.0607143	0.0800912	0.0853196	0.108277	0.134437	0.162349	0.22731
a73	0.0428264	0.0419456	0.0580081	0.0583466	0.0721861	0.0761724	0.106787	0.141658	0.167859	0.234211
a84	0.0533595	0.0403608	0.053347	0.0598527	0.0793898	0.0809806	0.108578	0.134838	0.156091	0.233203
a57	0.0801175	0.0627667	0.0732957	0.0820312	0.107528	0.0981512	0.106908	0.101	0.115977	0.172225
a87	0.04863	0.0456727	0.090599	0.0880565	0.0912704	0.0695655	0.0978251	0.107444	0.132661	0.228276
a23	0.0363259	0.0417103	0.107491	0.0932269	0.0825592	0.0673676	0.102463	0.124321	0.126196	0.21834
a79	0.017707	0.0173766	0.0452444	0.041291	0.0399848	0.0373432	0.0733199	0.124887	0.177358	0.425488
a69	0.0253212	0.0207079	0.0375483	0.0359162	0.0313599	0.0269015	0.0478613	0.0714619	0.150278	0.552644
a57	0.0769925	0.063144	0.0959221	0.10341	0.0782936	0.0586018	0.0780317	0.0828503	0.112038	0.250716
a53	0.0322652	0.0383683	0.0747312	0.0893756	0.0785546	0.0651753	0.0947772	0.111004	0.134868	0.280881
a76	0.0582362	0.0388472	0.0594252	0.0846799	0.0893439	0.0738237	0.0974565	0.101029	0.136569	0.26059
a73	0.0531212	0.0347211	0.0563359	0.0699321	0.071421	0.0642882	0.0857248	0.0983347	0.147919	0.318202
a41	0.0281496	0.0301466	0.0615915	0.0781802	0.0802469	0.0684988	0.0950469	0.111258	0.140228	0.306653
a14	0.0217785	0.0240976	0.0500919	0.0725715	0.0860226	0.0759615	0.0995522	0.111719	0.149418	0.308787
a73	0.0291027	0.0304562	0.0593602	0.0830539	0.0953684	0.0822932	0.102018	0.114281	0.143208	0.260858
a84	0.0207197	0.0195334	0.0308374	0.0447563	0.0696305	0.0687104	0.089525	0.107122	0.167746	0.38142
a76	0.0086915	0.00997735	0.0276422	0.0425106	0.0513488	0.0499208	0.0838815	0.137483	0.214372	0.374173
a94	0.0351143	0.0286188	0.0386062	0.0491396	0.0640205	0.0578301	0.0792322	0.0962	0.142412	0.408827
a32	0.00766676	0.00997213	0.0240611	0.0437319	0.0648351	0.0662376	0.0952727	0.124998	0.180243	0.382982
a54	0.0121035	0.0138414	0.0236622	0.0312635	0.0474141	0.0483067	0.0835913	0.125118	0.204818	0.409881
a76	0.0192874	0.0209546	0.0350503	0.0426352	0.0614684	0.0599275	0.0879789	0.111863	0.173447	0.387388
a69	0.0255069	0.0307027	0.04775	0.0540693	0.0764481	0.074764	0.106123	0.127626	0.168257	0.288752
a84	0.0129034	0.0159232	0.0295995	0.0335581	0.0501865	0.0531972	0.084663	0.120792	0.186122	0.413056
a87	0.00360676	0.0041943	0.0101007	0.0119731	0.0197784	0.0248514	0.0530388	0.112357	0.253393	0.506707
</S>	0.00548865	0.00361243	0.00695338	0.00936518	0.0128767	0.0152538	0.0397271	0.0993852	0.248885	0.558453
