 	la	porte	de	la	case	est	mal	ajustée	elle	baille	</S>
a23	0.177115	0.120996	0.060366	0.0594273	0.0904906	0.0694926	0.0898123	0.121705	0.0625673	0.0731354	0.0748932
a87	0.0906794	0.0692017	0.059747	0.0582323	0.0792692	0.0654545	0.0738407	0.133977	0.0817594	0.136919	0.15092
a10	0.118007	0.0950633	0.0781444	0.0740143	0.0745816	0.0759304	0.0971213	0.106582	0.0832906	0.101357	0.095908
a30	0.167552	0.134937	0.105653	0.0932753	0.0788751	0.0614929	0.0647608	0.0732842	0.0533931	0.071951	0.0948251
a57	0.153048	0.126367	0.106744	0.0985508	0.0867464	0.0538565	0.0515941	0.0681175	0.0463027	0.0718788	0.136793
a87	0.189012	0.149393	0.115875	0.100747	0.0846831	0.0518846	0.0475067	0.0628018	0.0417704	0.0632755	0.0930515
a40	0.234949	0.171773	0.103988	0.0798898	0.0574591	0.0387367	0.040479	0.0625827	0.0454038	0.067482	0.0972573
a73	0.300056	0.230441	0.135131	0.0840642	0.0646985	0.0426641	0.0400006	0.0374472	0.0177796	0.018541	0.029177
a84	0.271737	0.214454	0.130816	0.0985291	0.073494	0.0604704	0.0566732	0.0393172	0.0242957	0.0185529	0.0116604
a40	0.189978	0.172787	0.125763	0.103324	0.0868343	0.081292	0.0836334	0.0568352	0.0381041	0.0342121	0.0272366
a41	0.136578	0.143498	0.11995	0.108566	0.0978852	0.0936372	0.101236	0.06777	0.0481803	0.0423972	0.0403021
a94	0.121019	0.125245	0.112321	0.107533	0.0969626	0.0936716	0.106397	0.0753566	0.0608486	0.0541001	0.0465468
a41	0.0869299	0.0910955	0.0958481	0.108108	0.106775	0.105897	0.120123	0.0844346	0.0696453	0.0641055	0.067038
a66	0.083154	0.088145	0.0991791	0.112069	0.1061	0.104948	0.120782	0.0842966	0.0724471	0.0643068	0.0645724
a25	0.0445722	0.0509573	0.0697118	0.0862041	0.097225	0.113515	0.138605	0.113449	0.0797465	0.0850406	0.120973
a58	0.0196662	0.0241216	0.0401973	0.0588534	0.0812496	0.114711	0.155882	0.144171	0.108576	0.105612	0.14696
a53	0.0117739	0.0135129	0.024171	0.04175	0.0732469	0.134209	0.19799	0.152513	0.110755	0.0922461	0.147833
a96	0.016856	0.0172993	0.0270806	0.0448547	0.0787702	0.111583	0.149014	0.120043	0.107673	0.137525	0.189301
a75	0.0304818	0.0251441	0.0283949	0.0438247	0.0780499	0.119525	0.145558	0.118323	0.0926761	0.115218	0.202805
a73	0.0325522	0.0306315	0.0362923	0.0531216	0.08114	0.110812	0.134617	0.106879	0.0967449	0.128085	0.189124
a44	0.0252111	0.0258886	0.0333211	0.0477946	0.0691365	0.107339	0.141175	0.123121	0.110026	0.135471	0.181516
a38	0.0268372	0.0243149	0.0297679	0.0424903	0.0615594	0.102372	0.145741	0.125586	0.116292	0.13165	0.193389
a75	0.026013	0.0217808	0.0254484	0.0367055	0.0576011	0.0953216	0.14077	0.124464	0.11689	0.137657	0.217348
a12	0.0225317	0.0234399	0.0300796	0.0398571	0.0535613	0.0791424	0.117122	0.113703	0.109977	0.1549	0.255686
a62	0.0302476	0.024643	0.028264	0.0400836	0.0574119	0.0902442	0.130397	0.129008	0.111455	0.137212	0.221034
a90	0.0226263	0.0195359	0.0223185	0.0342629	0.0531516	0.0977025	0.148102	0.156926	0.121775	0.132131	0.191469
a4	0.0350822	0.0294654	0.0323869	0.0423002	0.059187	0.0875914	0.127384	0.136382	0.113287	0.126461	0.210474
a57	0.0286813	0.0244725	0.0311488	0.0445459	0.0649992	0.0978636	0.144802	0.137273	0.124042	0.123786	0.178386
a9	0.0344248	0.0292456	0.0353922	0.0454104	0.060402	0.105055	0.161126	0.130555	0.125633	0.114142	0.158613
a38	0.0190716	0.0141942	0.0151414	0.0180372	0.0271138	0.0618838	0.129637	0.133028	0.143288	0.144724	0.293882
a93	0.0228514	0.0145181	0.0133378	0.0147032	0.0176222	0.0322433	0.065494	0.0754519	0.091442	0.126996	0.525341
a70	0.0236674	0.0175219	0.0216182	0.0297299	0.0387121	0.058465	0.0998631	0.099093	0.10976	0.135476	0.366094
a66	0.0191268	0.0137714	0.0151024	0.0211437	0.0293833	0.040093	0.0630687	0.0855585	0.0984351	0.141914	0.472403
a9	0.0085281	0.00700949	0.00912474	0.0132629	0.0225551	0.045862	0.086124	0.09164	0.113336	0.152365	0.450193
a87	0.00942193	0.00546231	0.00559076	0.00744446	0.0125366	0.0239996	0.0551968	0.0873955	0.110844	0.171282	0.510826
a23	0.102627	0.0558173	0.0348851	0.0345396	0.0332864	0.0341153	0.0491377	0.0711221	0.0947502	0.156741	0.332978
a90	0.12438	0.0686946	0.0502935	0.0496031	0.0314589	0.0210373	0.0246116	0.0272118	0.0485972	0.0932593	0.460853
a75	0.0210347	0.0138309	0.012801	0.0161045	0.0184816	0.0203616	0.0348103	0.0467543	0.0628737	0.125134	0.627813
a12	0.0125283	0.0106458	0.0157308	0.0228358	0.0300431	0.0404966	0.0638969	0.0709368	0.0823845	0.139946	0.510555
a21	0.00592129	0.00477476	0.00611367	0.00853204	0.0102704	0.0141246	0.0254429	0.0325982	0.0532409	0.135376	0.703605
a90	0.0132237	0.0104148	0.0125576	0.0172201	0.0202456	0.027048	0.0437886	0.0470417	0.0712853	0.128625	0.60855
a57	0.00677291	0.00619201	0.00885578	0.0127693	0.0146729	0.0202734	0.0339809	0.0387788	0.0613785	0.120524	0.675802
a53	0.000854134	0.000879541	0.00158411	0.00256559	0.00398	0.00774133	0.0169505	0.0263095	0.0414129	0.0999557	0.797767
a94	0.000775515	0.00073014	0.00122608	0.00206843	0.00347234	0.00689029	0.0148286	0.0285784	0.049935	0.126057	0.765439
a15	0.000792868	0.000762874	0.00137453	0.00240623	0.00349602	0.00530168	0.0109634	0.0157124	0.0341134	0.0966863	0.82839
a73	0.00167273	0.00151203	0.00286362	0.00521572	0.00833369	0.0119208	0.0214024	0.0259463	0.0509706	0.139784	0.730378
a90	0.00142304	0.00146447	0.00317548	0.00553469	0.00821564	0.0118844	0.0208116	0.0192989	0.045491	0.101606	0.781095
a70	0.000565699	0.000695276	0.00168611	0.00310653	0.00535751	0.00868635	0.0171574	0.0199802	0.0378165	0.0881328	0.816816
a11	0.00152146	0.00174851	0.00315198	0.00481147	0.0059211	0.00810785	0.0132948	0.0139053	0.0260889	0.0634045	0.858044
a90	0.00159669	0.00188577	0.00417671	0.00711477	0.0107366	0.0127234	0.0183957	0.0179346	0.0370545	0.100363	0.788018
a4	0.00051792	0.00056804	0.00128479	0.00229454	0.00347959	0.00481166	0.00962052	0.0117787	0.0271597	0.0866696	0.851815
a57	0.000801238	0.000894866	0.00200633	0.00345568	0.00512888	0.00676097	0.0118976	0.0140816	0.0277996	0.0892432	0.83793
a82	0.00110871	0.00105732	0.00218519	0.00387756	0.00592783	0.00785131	0.014217	0.0151496	0.0360436	0.10399	0.808591
a87	0.0428664	0.0316703	0.0311708	0.0402207	0.0412835	0.0361846	0.0367419	0.036371	0.0736597	0.161543	0.468288
a23	0.0978251	0.0729338	0.0539239	0.065055	0.062238	0.0531506	0.0572054	0.0603637	0.100101	0.125292	0.251912
a87	0.0425599	0.0251956	0.0184748	0.0220288	0.0268187	0.0402847	0.072863	0.0718134	0.122854	0.180777	0.37633
</S>	0.0488327	0.0311761	0.0245163	0.0282385	0.0330254	0.0506042	0.0864673	0.0626344	0.105145	0.129892	0.399468
