 	la	mangue	est	tombée	</S>
a38	0.356796	0.209382	0.144738	0.13399	0.155094
a34	0.304106	0.173133	0.14346	0.16586	0.213441
a44	0.39366	0.274738	0.157323	0.0918399	0.0824392
a98	0.469713	0.268218	0.154189	0.0639442	0.0439347
a85	0.34147	0.292516	0.213858	0.0966363	0.0555187
a37	0.252561	0.25202	0.250153	0.14664	0.0986259
a85	0.162841	0.190847	0.25537	0.213903	0.177038
a37	0.131005	0.166156	0.225428	0.246627	0.230784
a62	0.107502	0.135391	0.192404	0.267772	0.296931
a83	0.0494338	0.0624127	0.116366	0.278473	0.493314
a9	0.0232138	0.031089	0.0686529	0.246559	0.630485
a54	0.0108191	0.0157344	0.0361811	0.190285	0.74698
a36	0.0141792	0.0196204	0.0436046	0.211077	0.711519
a57	0.00899117	0.0135712	0.0331863	0.187312	0.756939
a87	0.122483	0.117664	0.14393	0.223108	0.392814
a23	0.216684	0.173147	0.16704	0.200279	0.24285
a87	0.219956	0.189764	0.173402	0.196859	0.220019
</S>	0.100516	0.103734	0.137066	0.250526	0.408158
