 	il	est	brimé	par	son	chef	</S>
a87	0.372203	0.231793	0.111345	0.072265	0.0803766	0.0771322	0.0548858
a53	0.219553	0.163736	0.108039	0.123229	0.151207	0.142537	0.0916993
a4	0.345578	0.290962	0.108394	0.0590199	0.0590212	0.0705659	0.0664589
a58	0.390551	0.329684	0.147647	0.0519141	0.0337023	0.0260771	0.0204249
a82	0.404422	0.355215	0.18049	0.0330708	0.0119256	0.00777757	0.00709868
a53	0.26413	0.276791	0.252778	0.0862894	0.0393069	0.0385724	0.042132
a90	0.278847	0.300656	0.262502	0.0567433	0.0288656	0.0295023	0.0428827
a56	0.243124	0.25619	0.258042	0.0872891	0.049508	0.0475178	0.0583294
a75	0.198255	0.23472	0.30903	0.110122	0.0544648	0.0450691	0.0483389
a85	0.206308	0.19613	0.182848	0.100883	0.0940466	0.107942	0.111842
a27	0.0559222	0.0512719	0.0671979	0.125696	0.18403	0.240603	0.275279
a75	0.107604	0.0849359	0.131505	0.188914	0.165537	0.152456	0.169049
a56	0.0745718	0.054181	0.0550635	0.0969051	0.163445	0.251581	0.304253
a90	0.0366326	0.0301544	0.0550858	0.16837	0.232085	0.240271	0.237401
a38	0.0289873	0.0203055	0.0344915	0.107417	0.226089	0.287356	0.295354
a75	0.0234965	0.0158648	0.0238951	0.0650077	0.174585	0.31504	0.38211
a62	0.0251267	0.0184176	0.0226551	0.0469509	0.132075	0.294324	0.460451
a88	0.00707392	0.0061544	0.01147	0.0354866	0.121549	0.312965	0.505301
a9	0.0032634	0.00280656	0.00546263	0.0194608	0.0837115	0.281695	0.6036
a87	0.00227596	0.00198011	0.00339299	0.0113541	0.059585	0.264452	0.65696
a10	0.0117341	0.00747578	0.00845474	0.0291487	0.110339	0.298644	0.534203
</S>	0.0520264	0.0438671	0.0494646	0.0747595	0.16764	0.283093	0.329149
