 	cette	manière	d'	entasser	le	bois	est	celle	de	celui	qui	fume	le	poisson	</S>
a66	0.0852283	0.122554	0.107583	0.13428	0.128984	0.120903	0.0939351	0.0740323	0.0483281	0.0345822	0.0255571	0.011034	0.00515978	0.00387761	0.00396117
a87	0.0996242	0.0867103	0.0667612	0.103281	0.151929	0.100982	0.077877	0.0494957	0.0344632	0.0328459	0.0448731	0.0509189	0.0297355	0.0306483	0.039855
a10	0.14479	0.116676	0.0907646	0.181035	0.14227	0.0957335	0.0592643	0.0315702	0.0203608	0.0233998	0.0296669	0.0167007	0.0106771	0.0152648	0.0218258
a87	0.210844	0.205939	0.148624	0.203928	0.0672733	0.0481429	0.031363	0.0165936	0.0121946	0.0128418	0.0163722	0.00806823	0.00469026	0.00539623	0.00772907
a23	0.183983	0.188799	0.142784	0.163328	0.0769166	0.0583422	0.042898	0.0264201	0.020363	0.021428	0.0302019	0.0166355	0.00843972	0.00858236	0.010879
a87	0.192688	0.176082	0.12451	0.180031	0.0859156	0.0620016	0.0451852	0.0265131	0.0237202	0.0201627	0.0208376	0.0165363	0.00756271	0.00747294	0.0107816
a23	0.194541	0.149331	0.110791	0.181534	0.0837611	0.0613897	0.0486016	0.0303067	0.027881	0.0260335	0.0265116	0.0203368	0.0120137	0.0114283	0.0155389
a50	0.190503	0.14551	0.111268	0.15924	0.0819171	0.0636085	0.0471561	0.0321938	0.0307714	0.0295198	0.0291046	0.0264472	0.0152732	0.0154938	0.0219948
a83	0.210194	0.189092	0.127377	0.147793	0.0690925	0.0543382	0.0375232	0.0253981	0.0231093	0.0233855	0.0259384	0.0220833	0.0125779	0.0134515	0.0186466
a71	0.287682	0.231827	0.138431	0.152208	0.0438607	0.0328067	0.0221265	0.0147508	0.0127811	0.0106441	0.012994	0.0112608	0.00720524	0.00921225	0.0122088
a53	0.263354	0.20813	0.138664	0.160332	0.0450468	0.0347339	0.025477	0.0195825	0.0166692	0.0162269	0.0184843	0.0123841	0.0110295	0.0143454	0.0155405
a90	0.198783	0.185705	0.12416	0.144805	0.0429755	0.0344049	0.0270712	0.022126	0.0201844	0.0210991	0.0322816	0.029295	0.0311703	0.0396473	0.0462915
a56	0.118144	0.17095	0.127296	0.139264	0.0456618	0.0388445	0.0318479	0.0273129	0.0253025	0.0266513	0.0428244	0.0409521	0.0458116	0.0560337	0.063103
