 	j'	ai	pressé	des	citrons	hier	</S>
a23	0.251492	0.118438	0.0993165	0.123309	0.173556	0.154271	0.0796177
a87	0.365777	0.227069	0.131394	0.0954556	0.103919	0.0515235	0.0248624
a23	0.286554	0.2792	0.161053	0.0980671	0.0935228	0.0472619	0.0343417
a18	0.365174	0.338751	0.144385	0.0704343	0.0393924	0.0213714	0.0204922
a50	0.496408	0.269705	0.096017	0.0579433	0.0310697	0.0236591	0.0251982
a62	0.484969	0.348114	0.102861	0.0401727	0.0129175	0.0057146	0.00525154
a31	0.362042	0.333931	0.164554	0.0766002	0.0323191	0.0160204	0.0145325
a61	0.286086	0.278126	0.197433	0.122041	0.0601079	0.0301436	0.0260629
a24	0.200841	0.221208	0.193182	0.163468	0.104527	0.0640891	0.0526855
a47	0.0985357	0.116815	0.148673	0.19574	0.191423	0.148365	0.100447
a61	0.0572645	0.0652918	0.108928	0.199107	0.247373	0.202025	0.120011
a21	0.0452866	0.0518097	0.102303	0.216106	0.274079	0.205458	0.104957
a5	0.0573297	0.0602556	0.117367	0.198971	0.236305	0.217954	0.111817
a85	0.0300537	0.0320927	0.0662912	0.165328	0.29598	0.265681	0.144574
a21	0.0355569	0.0306036	0.0429371	0.0865797	0.188467	0.337179	0.278676
a47	0.0251046	0.0278143	0.0496614	0.106449	0.208307	0.336737	0.245926
a75	0.0209191	0.0230665	0.0387238	0.0805418	0.190564	0.359136	0.287048
a85	0.00685766	0.00644049	0.00994837	0.0223201	0.0732079	0.453142	0.428083
a47	0.00576785	0.00606252	0.0100578	0.0230525	0.0712684	0.436118	0.447673
a7	0.00652455	0.0071389	0.0115812	0.0218909	0.051055	0.414314	0.487496
a84	0.0101195	0.0104747	0.0135229	0.0225089	0.0525918	0.305721	0.585061
a53	0.0338849	0.0244558	0.0178981	0.021472	0.0596717	0.305741	0.536876
a76	0.00381947	0.00336204	0.00425794	0.00847308	0.0280053	0.309321	0.642761
a7	0.00500328	0.00442794	0.00600284	0.0119156	0.0378153	0.359805	0.57503
a84	0.00409228	0.00425846	0.00640239	0.0130335	0.0352394	0.324229	0.612745
a57	0.0253037	0.0212198	0.0197783	0.0309509	0.0721557	0.343807	0.486785
a10	0.134579	0.0903546	0.0562281	0.0615294	0.124482	0.292558	0.240268
a87	0.117268	0.0869104	0.0511697	0.057642	0.140614	0.301953	0.244443
a23	0.101018	0.074197	0.0509717	0.060855	0.162508	0.305688	0.244763
a87	0.0204093	0.0173455	0.02486	0.046917	0.130047	0.435677	0.324744
</S>	0.0135073	0.0140104	0.0202888	0.0428417	0.13601	0.418355	0.354987
