 	si	tu	avoues	je	ne	te	ferai	rien	</S>
a87	0.116123	0.094854	0.120476	0.119684	0.104423	0.109567	0.097107	0.109248	0.128517
a23	0.176123	0.13654	0.127301	0.114915	0.106513	0.104369	0.0709529	0.0803157	0.0829696
a79	0.186749	0.175614	0.210334	0.150824	0.0923898	0.0569257	0.0347986	0.0443718	0.0479932
a20	0.378743	0.263637	0.20191	0.081651	0.0314458	0.0135983	0.0104943	0.00797321	0.0105479
a73	0.36561	0.281933	0.186076	0.0930447	0.0391587	0.0148118	0.00843696	0.00521525	0.00571284
a94	0.282211	0.258592	0.206709	0.126142	0.0681686	0.0298424	0.0134463	0.00749626	0.00739214
a90	0.24654	0.248598	0.20904	0.137285	0.0818384	0.0379491	0.0175199	0.0106801	0.0105493
a38	0.157436	0.198173	0.213507	0.170724	0.120529	0.0634914	0.0329871	0.0220167	0.0211364
a41	0.153448	0.192918	0.214255	0.174345	0.123424	0.0643679	0.0316478	0.022188	0.0234059
a98	0.10248	0.140314	0.218383	0.209607	0.152813	0.082734	0.0404294	0.0261711	0.0270684
a11	0.106036	0.138395	0.184371	0.163233	0.129919	0.0978305	0.0715157	0.0573608	0.0513384
a98	0.0755841	0.0936624	0.146518	0.172201	0.15717	0.122661	0.0858606	0.0724814	0.073862
a25	0.0646706	0.0760986	0.114955	0.156324	0.161929	0.145749	0.0962136	0.0889493	0.0951111
a87	0.0573847	0.0738621	0.116911	0.160054	0.179369	0.143111	0.0840897	0.0842371	0.100982
a23	0.041956	0.0581151	0.0995666	0.143236	0.180568	0.1363	0.0888024	0.112519	0.138937
a71	0.0701076	0.083187	0.105053	0.1417	0.168549	0.133876	0.0885276	0.0977219	0.111277
a38	0.0579704	0.0801779	0.117806	0.136986	0.132922	0.0986525	0.100556	0.117765	0.157164
a24	0.0515582	0.0678088	0.101231	0.130509	0.138473	0.106872	0.104214	0.130177	0.169157
a94	0.053753	0.0586379	0.0793803	0.109405	0.122781	0.104093	0.108578	0.153719	0.209652
a12	0.0594962	0.0670785	0.0702831	0.0778456	0.10108	0.0999358	0.116542	0.166477	0.241262
a24	0.0375913	0.044064	0.0534989	0.0628588	0.08676	0.0922241	0.116242	0.202854	0.303907
a90	0.0204795	0.0254769	0.0308793	0.0380343	0.0495892	0.0639714	0.111253	0.249812	0.410504
a4	0.0434654	0.0518129	0.0528791	0.051114	0.0600854	0.0680123	0.112817	0.223114	0.3367
a57	0.0398706	0.0508983	0.0601262	0.0605362	0.0660589	0.0692203	0.105432	0.217279	0.330578
a38	0.0152672	0.0179333	0.019383	0.0212411	0.0277607	0.0399548	0.0802664	0.270053	0.508141
a98	0.0241315	0.0258812	0.0254164	0.0247097	0.0295644	0.03772	0.0742349	0.261603	0.496739
a73	0.023547	0.0259424	0.0244135	0.022069	0.0273763	0.037341	0.0887985	0.291047	0.459465
a44	0.0172526	0.0221448	0.0231844	0.0220286	0.0272531	0.0341352	0.080098	0.27988	0.494024
a84	0.0121479	0.0180117	0.021218	0.021242	0.0265471	0.0290871	0.0737745	0.275548	0.522424
a40	0.00598632	0.00707172	0.00682808	0.00768225	0.0107977	0.0185498	0.054482	0.264929	0.623673
a98	0.0309733	0.0341871	0.0350601	0.0261391	0.0244932	0.0258883	0.040727	0.205079	0.577453
a73	0.0078773	0.0103987	0.0118376	0.0119429	0.0141708	0.0171396	0.0460231	0.272534	0.608076
a84	0.00997414	0.0126285	0.012786	0.0128554	0.0146324	0.0162633	0.0434708	0.238749	0.638641
a57	0.0114586	0.0122706	0.0100852	0.0103047	0.0109933	0.0187501	0.0450471	0.262786	0.618304
a87	0.0191276	0.0175489	0.0113504	0.010719	0.010578	0.0278377	0.0587068	0.308038	0.536093
</S>	0.0145647	0.0118233	0.00666845	0.00733929	0.0079498	0.0304522	0.0641338	0.311556	0.545512
