 	cette	piroque-ci	est	trouée	celle-là	est	intacte	</S>
a85	0.330769	0.16441	0.139092	0.162114	0.0787857	0.0599373	0.0355121	0.0293797
a87	0.189151	0.0394186	0.0486392	0.131133	0.150611	0.170962	0.13551	0.134575
a23	0.127896	0.0739436	0.0585541	0.0821173	0.102174	0.10729	0.162318	0.285707
a87	0.158634	0.0688733	0.0691365	0.0926979	0.116727	0.132864	0.155519	0.205548
a23	0.150518	0.0728114	0.0973572	0.137023	0.13023	0.127655	0.125534	0.158871
a18	0.12832	0.0494424	0.0573877	0.0843588	0.116339	0.159106	0.200198	0.204848
a11	0.187781	0.108577	0.082826	0.0659919	0.0828584	0.119294	0.151967	0.200705
a98	0.25625	0.145359	0.123383	0.0829547	0.078135	0.0880595	0.0915986	0.13426
a5	0.204725	0.182678	0.164871	0.107844	0.0761032	0.0730883	0.0726913	0.117999
a66	0.148561	0.189671	0.226911	0.140552	0.0856775	0.067576	0.0540608	0.0869909
a90	0.1176	0.199157	0.228603	0.158188	0.096832	0.0770663	0.0521911	0.070362
a93	0.100906	0.199256	0.254721	0.174844	0.0979009	0.0640655	0.0434078	0.0648992
a13	0.0951262	0.192297	0.288107	0.187177	0.0832157	0.0495393	0.038991	0.0655477
a9	0.0937911	0.168111	0.251439	0.216976	0.0990489	0.055291	0.0431268	0.0722161
a87	0.0545714	0.101765	0.150987	0.219349	0.141891	0.0829045	0.0823579	0.166175
a23	0.0550376	0.103042	0.167985	0.227072	0.160594	0.101579	0.0750631	0.109627
a44	0.0400537	0.0734769	0.126425	0.204423	0.176021	0.113105	0.0950878	0.171408
a66	0.0596941	0.12288	0.187213	0.240266	0.152711	0.0895026	0.058655	0.0890789
a9	0.0527788	0.0858103	0.127094	0.256574	0.212996	0.108961	0.0598538	0.095932
a87	0.0160677	0.038281	0.0784709	0.223541	0.255309	0.167616	0.0940033	0.126711
a23	0.0400236	0.0709177	0.111425	0.213093	0.208827	0.155795	0.0928644	0.107054
a99	0.0331376	0.0569922	0.0956807	0.174387	0.186347	0.127002	0.119205	0.207249
a18	0.00708763	0.0133182	0.0259202	0.0655773	0.0964239	0.111603	0.20033	0.47974
a11	0.00409663	0.00868896	0.0202174	0.083319	0.116424	0.125327	0.203273	0.438654
a93	0.0105703	0.0190845	0.0331736	0.100971	0.127172	0.128929	0.198797	0.381303
a13	0.0125118	0.0208553	0.0286548	0.0795977	0.107089	0.123483	0.206839	0.42097
a93	0.00423225	0.0064996	0.0115671	0.0666623	0.115593	0.139802	0.247473	0.408172
a13	0.00286949	0.00471283	0.00809422	0.0415167	0.0743359	0.1066	0.241632	0.520239
a38	0.00201272	0.00273922	0.00441504	0.0287856	0.0693952	0.110064	0.272785	0.509803
a90	0.00106065	0.0013058	0.00224466	0.0185948	0.0561967	0.0990986	0.279145	0.542354
a98	0.00197107	0.00339009	0.00447201	0.0235905	0.0622166	0.0999098	0.252986	0.551464
a79	0.00223268	0.00376713	0.00440625	0.0183213	0.0522394	0.08505	0.236198	0.597785
a70	0.00444493	0.00984291	0.0144388	0.052085	0.106776	0.142303	0.245691	0.424419
a75	0.000976685	0.00142138	0.00168299	0.009633	0.0316529	0.0589973	0.20962	0.686015
a5	0.00232095	0.0033273	0.00430295	0.0184528	0.0462015	0.0842132	0.248109	0.593072
a83	0.00451807	0.00403267	0.00381848	0.0147204	0.0397412	0.074275	0.226241	0.632654
a18	0.000990375	0.00105505	0.000919598	0.00538288	0.0239227	0.0482072	0.200697	0.718825
a25	0.00674059	0.00500872	0.00391937	0.00892423	0.0352179	0.0952256	0.326335	0.518628
a87	0.00859805	0.00393289	0.00286473	0.00781072	0.0294697	0.0769735	0.296814	0.573536
a23	0.0904543	0.0344358	0.0197961	0.0422047	0.118508	0.170482	0.23664	0.287479
a87	0.0682243	0.0301897	0.0132903	0.0375282	0.12001	0.143403	0.185539	0.401815
</S>	0.0251464	0.0153692	0.00661807	0.0207157	0.0763414	0.110157	0.203911	0.541741
