 	le	fleuve	congo	a	beaucoup	d'	îles	</S>
a66	0.126555	0.12346	0.138764	0.159923	0.320104	0.110307	0.0172849	0.00360047
a87	0.479979	0.261004	0.111066	0.06938	0.0455091	0.0229335	0.00668007	0.00344801
a23	0.445987	0.239282	0.123813	0.0826131	0.0672522	0.0279013	0.00865221	0.00449933
a99	0.355994	0.249489	0.17684	0.107652	0.0675226	0.0256163	0.00865699	0.00822987
a75	0.3652	0.180213	0.164342	0.108454	0.105502	0.0413264	0.0182922	0.0166709
a5	0.223908	0.178119	0.14809	0.14212	0.175005	0.0900051	0.0263702	0.0163822
a21	0.277829	0.22051	0.183917	0.141778	0.106789	0.0511939	0.0114525	0.0065313
a5	0.207348	0.176136	0.174961	0.168312	0.155954	0.0902197	0.0174597	0.00960943
a36	0.184735	0.162682	0.179425	0.179287	0.162475	0.0973464	0.0215507	0.0124996
a44	0.0959735	0.0942172	0.145141	0.205969	0.234801	0.116556	0.0580058	0.0493362
a37	0.0959587	0.116134	0.169956	0.219826	0.231011	0.112368	0.0292949	0.0254522
a75	0.0658402	0.0801649	0.131737	0.210574	0.275358	0.140681	0.0478064	0.0478388
a61	0.0437194	0.0585074	0.106057	0.202374	0.280145	0.162212	0.0621345	0.0848518
a31	0.0514166	0.0712307	0.12069	0.210421	0.296244	0.177026	0.0475013	0.02547
a62	0.0364696	0.047858	0.0739467	0.150555	0.27183	0.246323	0.104018	0.0690006
a0	0.0357601	0.0466675	0.0632607	0.110438	0.218362	0.25267	0.161091	0.11175
a75	0.021795	0.0261353	0.0393593	0.0590382	0.182821	0.271865	0.221585	0.177401
a85	0.00948532	0.00995153	0.0125791	0.0242133	0.0660926	0.170789	0.217729	0.489159
a6	0.00758792	0.00763522	0.00853394	0.0135483	0.0353504	0.112418	0.20398	0.610946
a79	0.00519121	0.00541186	0.00675382	0.01055	0.0287296	0.107743	0.220524	0.615097
a15	0.00398579	0.00394078	0.00451878	0.00684366	0.0161145	0.0733036	0.192157	0.699136
a79	0.00251906	0.00204688	0.0018402	0.00209818	0.00388176	0.0194131	0.119766	0.848435
a92	0.00205788	0.00162337	0.0012619	0.00160187	0.00321425	0.023197	0.156531	0.810513
a37	0.000894975	0.000734128	0.000605976	0.000807527	0.00194524	0.0160472	0.141709	0.837256
a27	0.00138081	0.00100529	0.000663779	0.00078642	0.00159522	0.0100119	0.117178	0.867378
a38	0.00843801	0.00661899	0.00420817	0.00298973	0.00434067	0.0160289	0.111228	0.846147
a25	0.0216304	0.0152277	0.00918239	0.00744594	0.00953033	0.0300453	0.174421	0.732517
a87	0.0509279	0.0335416	0.0185768	0.0151323	0.0171924	0.0537478	0.244655	0.566226
a23	0.247479	0.142125	0.0484297	0.0432882	0.0427821	0.0770344	0.148667	0.250194
a87	0.15779	0.0750265	0.0242327	0.0181729	0.0121026	0.0350421	0.142248	0.535385
a23	0.0560502	0.0285581	0.0084191	0.00595127	0.00427861	0.0140847	0.0811201	0.801538
a87	0.0633757	0.0414333	0.0194159	0.0190544	0.0163181	0.0421253	0.118619	0.679658
</S>	0.0258167	0.0175512	0.0083041	0.00726359	0.00704295	0.0237266	0.100769	0.809526
