 	il	est	frappé	de	tremblote	</S>
a66	0.232358	0.207856	0.229758	0.204832	0.102052	0.0231449
a87	0.254628	0.224517	0.219974	0.164485	0.124663	0.0117338
a23	0.303819	0.237025	0.206665	0.179295	0.0587157	0.0144805
a53	0.304987	0.2596	0.214274	0.148687	0.0418415	0.0306108
a4	0.24874	0.239842	0.214505	0.201556	0.0849656	0.0103916
a11	0.200345	0.216291	0.191786	0.246986	0.121796	0.022796
a75	0.17371	0.197872	0.17173	0.242974	0.165657	0.0480566
a47	0.119421	0.132407	0.134668	0.250108	0.27198	0.0914166
a15	0.0709619	0.0777232	0.0925531	0.224623	0.365372	0.168766
a79	0.0755753	0.0855314	0.109857	0.223736	0.307213	0.198087
a56	0.0792536	0.0704021	0.096445	0.218669	0.321965	0.213265
a96	0.143808	0.134139	0.158084	0.257057	0.168791	0.13812
a94	0.106647	0.0890155	0.0870053	0.188667	0.242033	0.286631
a27	0.0673222	0.0549632	0.0549	0.117886	0.255238	0.44969
a11	0.0976253	0.0616641	0.0755565	0.119048	0.216073	0.430033
a21	0.0857903	0.0535812	0.0627005	0.0856507	0.19081	0.521467
a98	0.0237266	0.0163189	0.0134398	0.0193734	0.119007	0.808134
a79	0.00218013	0.00160998	0.00197713	0.00555706	0.0600472	0.928629
a7	0.000883442	0.000638219	0.000701192	0.00170384	0.0260978	0.969976
a84	0.00325494	0.00207869	0.00215129	0.00272718	0.0326806	0.957107
a87	0.0677089	0.0493392	0.045457	0.0742544	0.185129	0.578111
a23	0.105627	0.0771705	0.106923	0.185846	0.205406	0.319028
a87	0.0685746	0.0503109	0.0647852	0.0826421	0.140665	0.593023
a97	0.0197176	0.0120376	0.0160962	0.0239049	0.0932139	0.83503
</S>	0.0575548	0.0386624	0.0476037	0.0731053	0.211777	0.571297
