 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
a10	0.205292	0.076696	0.0351809	0.0374914	0.0534293	0.0614762	0.0561769	0.0441205	0.0579357	0.118553	0.253648
a30	0.17036	0.102388	0.0825979	0.0772356	0.0742066	0.0664984	0.0599645	0.0522278	0.0699969	0.096593	0.147932
a57	0.159057	0.0982666	0.0747802	0.0633873	0.066743	0.0641419	0.0573796	0.0427378	0.0627551	0.109995	0.200757
a87	0.216495	0.125562	0.0883195	0.0698388	0.0735009	0.0649685	0.0527261	0.0362251	0.0421602	0.0735326	0.156671
a23	0.178961	0.121797	0.0987562	0.0875354	0.0820302	0.0718027	0.062051	0.0485186	0.0573223	0.0804246	0.110801
a54	0.312838	0.194051	0.106447	0.0554955	0.0577662	0.0495764	0.0420553	0.0282977	0.0267155	0.0408882	0.0858688
a73	0.431176	0.290131	0.136254	0.0521979	0.0285281	0.0150272	0.0116826	0.00823923	0.00686204	0.00863886	0.011263
a44	0.35006	0.263325	0.152598	0.0792107	0.0490723	0.0311638	0.0261307	0.0173808	0.0119585	0.00966615	0.0094345
a66	0.263953	0.240572	0.169371	0.102776	0.0663765	0.0452973	0.0387672	0.0273575	0.0187194	0.0142291	0.0125812
a11	0.158609	0.178562	0.160139	0.123531	0.0886902	0.0647737	0.0550259	0.0459425	0.0399509	0.0427347	0.0420412
a70	0.151029	0.173763	0.155685	0.120246	0.0903017	0.0684354	0.059506	0.0522505	0.0445083	0.0431822	0.0410918
a54	0.096065	0.126847	0.13842	0.136202	0.115224	0.0885682	0.0769158	0.0657221	0.0559853	0.0527705	0.04728
a73	0.0542346	0.0827141	0.106166	0.127497	0.122413	0.108335	0.0988624	0.0879124	0.0826377	0.0730147	0.0562128
a69	0.0606007	0.0834792	0.104129	0.131362	0.123679	0.109306	0.104397	0.0869971	0.0770806	0.0649582	0.0540114
a15	0.0387754	0.0543856	0.0717974	0.113493	0.121514	0.119534	0.120237	0.1043	0.0968811	0.0867401	0.0723422
a73	0.0323026	0.046446	0.0614966	0.102674	0.108262	0.110286	0.117185	0.107902	0.114804	0.117049	0.0815944
a84	0.0220663	0.0331419	0.0507455	0.103069	0.12248	0.132788	0.146242	0.107746	0.0974417	0.0954187	0.0888618
a57	0.0228343	0.0305586	0.0381184	0.0634177	0.0779225	0.102772	0.124579	0.096746	0.103694	0.12076	0.218599
a87	0.0231039	0.0299598	0.0352543	0.0512705	0.069172	0.107803	0.122778	0.0950496	0.104585	0.125844	0.23518
a23	0.0419158	0.046263	0.0567182	0.0751099	0.0821234	0.0865356	0.0908323	0.0739531	0.0774055	0.10776	0.261384
