 	le	vanier	est	en	train	de	brûler	les	fibres	de	liane	</S>
a66	0.114548	0.084497	0.084781	0.120436	0.154746	0.229696	0.124552	0.0378719	0.0189913	0.0127131	0.00869101	0.00847691
a87	0.275009	0.117889	0.104589	0.118748	0.100228	0.111552	0.0576277	0.0281872	0.0297529	0.0207397	0.0179023	0.017775
a23	0.245658	0.202172	0.140612	0.140268	0.0919546	0.099971	0.034836	0.0114492	0.0101909	0.0074656	0.0076345	0.00778891
a57	0.376436	0.34708	0.111962	0.0748588	0.031312	0.0269952	0.00568704	0.00211395	0.00262883	0.0037901	0.00623455	0.0109007
a9	0.401271	0.342846	0.0891976	0.0619915	0.0304819	0.0279636	0.00854234	0.00456168	0.00547777	0.00681588	0.00898194	0.0118686
a53	0.379812	0.365054	0.0807217	0.0551249	0.0319962	0.0276861	0.0126008	0.00974529	0.00910982	0.00874511	0.00897962	0.0104242
a70	0.24539	0.451396	0.0833006	0.0548062	0.0347099	0.0309354	0.0177272	0.0162411	0.0133436	0.0145944	0.0163496	0.0212052
a88	0.163191	0.17818	0.0893976	0.0701953	0.0604414	0.0704585	0.070788	0.0763367	0.0671107	0.0617754	0.0505947	0.0415305
a70	0.0738886	0.0914317	0.061647	0.0565118	0.0592564	0.0786434	0.122024	0.12451	0.109033	0.0932295	0.0753062	0.0545193
a62	0.0440804	0.0484796	0.0417232	0.0394368	0.0411104	0.0573545	0.125503	0.160869	0.152384	0.120088	0.0986409	0.0703298
a21	0.0491526	0.0568771	0.0549349	0.0498629	0.0469494	0.0632816	0.128061	0.163403	0.136132	0.0981915	0.0864616	0.0666922
a6	0.03542	0.0364252	0.0497921	0.049251	0.0538361	0.0804561	0.174424	0.186869	0.109569	0.084016	0.0767921	0.0631489
a36	0.0233588	0.0258796	0.0423796	0.0433007	0.0477616	0.0751139	0.164742	0.188639	0.11236	0.0920516	0.094781	0.0896321
a90	0.0242652	0.0263675	0.0535697	0.0591322	0.069839	0.0995199	0.167586	0.181474	0.0928103	0.0699437	0.0757584	0.0797335
a56	0.0214912	0.0223553	0.0466033	0.0529839	0.0655502	0.0888815	0.162302	0.196486	0.104462	0.0779801	0.0800469	0.0808578
a98	0.0246197	0.0212677	0.0443575	0.052118	0.0683067	0.0982892	0.195651	0.187053	0.0971896	0.0666825	0.0703648	0.0741007
a6	0.0146313	0.0133871	0.027658	0.0314074	0.0402311	0.0489609	0.0984446	0.167597	0.12295	0.123517	0.142404	0.168812
a36	0.0159333	0.0136148	0.0259546	0.0298036	0.0402036	0.0430258	0.0804034	0.153201	0.131598	0.143324	0.148421	0.174517
a27	0.0229798	0.0208519	0.0290212	0.0321223	0.0426841	0.035368	0.0377921	0.0966128	0.101661	0.146614	0.185529	0.248765
a44	0.0314813	0.0417332	0.0513816	0.0615892	0.0752886	0.0549523	0.0322802	0.0392726	0.0464806	0.0981782	0.166234	0.301128
a66	0.0115579	0.0109902	0.0165501	0.0182112	0.0255255	0.0210975	0.0173706	0.0333357	0.0619438	0.124325	0.220231	0.438862
a50	0.00968995	0.00989679	0.0126564	0.0162126	0.0234344	0.0197011	0.0133788	0.0203268	0.0403125	0.118776	0.208348	0.507266
a88	0.00381668	0.00290746	0.00416572	0.00466854	0.0064238	0.00661874	0.00902828	0.0175275	0.0396992	0.106109	0.213032	0.586003
a71	0.00218917	0.00175746	0.00298857	0.0033556	0.00456222	0.00508577	0.00750684	0.0159897	0.0389939	0.109533	0.213328	0.59471
a88	0.0267278	0.0203222	0.0249255	0.0328062	0.050211	0.046935	0.0504135	0.065529	0.0706916	0.101316	0.153919	0.356203
a71	0.044648	0.0292479	0.0232604	0.0297448	0.0408392	0.0427433	0.0564618	0.0673801	0.0715045	0.103638	0.162025	0.328506
a88	0.0586004	0.0371672	0.0276146	0.0315464	0.0376301	0.0413163	0.0576931	0.0638218	0.0694088	0.103883	0.160828	0.31049
a71	0.00914886	0.00693819	0.00676768	0.00733688	0.00756998	0.00622609	0.00872193	0.0208797	0.0403193	0.102473	0.214723	0.568895
a3	0.0312926	0.0277361	0.0209027	0.0208619	0.02329	0.0220481	0.0337583	0.0492166	0.0624657	0.103108	0.183042	0.422278
a87	0.153633	0.0896609	0.0507267	0.058411	0.0655818	0.0777598	0.066455	0.0498367	0.0520023	0.0707672	0.107644	0.157522
a23	0.199489	0.153865	0.118363	0.12785	0.114085	0.108388	0.0414081	0.0248858	0.0209464	0.0239423	0.0296606	0.0371188
a87	0.0719478	0.028586	0.0376772	0.0430254	0.0447399	0.0472903	0.0360998	0.0382519	0.0569747	0.107026	0.18846	0.299921
a23	0.0209617	0.0108673	0.0113042	0.0124961	0.0161393	0.0179509	0.0162543	0.0278512	0.0590106	0.131987	0.257724	0.417453
a87	0.0468653	0.0214372	0.0277583	0.0304864	0.0343246	0.0405344	0.0437353	0.0532153	0.0642986	0.108902	0.198092	0.330351
</S>	0.0218364	0.0110769	0.0133557	0.0145732	0.0186229	0.0227486	0.0262844	0.0427139	0.076536	0.137466	0.244187	0.370598
