 	il	y	a	de	l'	argile	blanche	ici	</S>
a23	0.261017	0.170614	0.170219	0.130838	0.0839141	0.0497669	0.0399916	0.04541	0.0482301
a85	0.465104	0.162244	0.107102	0.0910299	0.0504791	0.0249321	0.0211018	0.0313776	0.0466291
a87	0.325166	0.162334	0.102311	0.0772867	0.0465744	0.0406073	0.0573812	0.0763375	0.112002
a23	0.341447	0.216042	0.146254	0.10035	0.0371711	0.0172008	0.0246102	0.0417442	0.0751808
a79	0.327922	0.138845	0.0886672	0.0643435	0.0318739	0.0244831	0.0658849	0.0978823	0.160099
a20	0.286129	0.177791	0.130259	0.0921407	0.0597349	0.0508142	0.0652561	0.0646057	0.0732698
a30	0.23246	0.201004	0.192618	0.157329	0.0944403	0.0562593	0.0295694	0.0191055	0.0172158
a0	0.196924	0.185349	0.188331	0.169106	0.129519	0.0784415	0.0250226	0.0146427	0.0126646
a41	0.160451	0.149463	0.168396	0.18413	0.155577	0.0999084	0.0372249	0.0235064	0.0213428
a27	0.135838	0.154656	0.194363	0.201368	0.145423	0.0832089	0.0345287	0.025881	0.0247323
a25	0.115047	0.125749	0.171111	0.205785	0.16	0.102892	0.0479226	0.0358229	0.0356702
a87	0.0894139	0.10363	0.139981	0.178065	0.151963	0.106607	0.0693618	0.0726465	0.0883325
a23	0.0527089	0.0602675	0.0945999	0.135397	0.123148	0.0962118	0.0976592	0.134289	0.205718
a40	0.040061	0.0400305	0.0652843	0.104991	0.106076	0.0984356	0.127591	0.166542	0.250988
a41	0.0633648	0.0701249	0.103837	0.121642	0.121328	0.117944	0.130081	0.128078	0.1436
a32	0.0676557	0.0829552	0.117336	0.118659	0.100577	0.106882	0.145543	0.130256	0.130137
a24	0.0516067	0.05534	0.0715364	0.0908797	0.0968527	0.120687	0.184058	0.164015	0.165024
a32	0.0356357	0.0349997	0.0421981	0.0549877	0.0630643	0.0870188	0.196701	0.225785	0.25961
a76	0.0403458	0.0356968	0.0402046	0.0502689	0.0581257	0.0753676	0.170752	0.230088	0.299151
a90	0.0113008	0.0106423	0.0123008	0.0152068	0.0239314	0.0504066	0.183376	0.289515	0.40332
a38	0.0162383	0.0151661	0.0201193	0.0258368	0.0382866	0.0756361	0.19279	0.26873	0.347197
a94	0.0105748	0.00753655	0.00825119	0.00989621	0.0148726	0.0339603	0.133011	0.274247	0.507651
a76	0.0138694	0.00866025	0.0083389	0.00953588	0.0145168	0.0311737	0.120342	0.265202	0.528361
a73	0.0234033	0.0131327	0.0126898	0.0151142	0.0220825	0.0428078	0.131424	0.264145	0.4752
a20	0.0125516	0.00679242	0.00686135	0.00887262	0.0144941	0.0318558	0.119928	0.260864	0.53778
a73	0.0290223	0.0133474	0.0110067	0.0118413	0.0165088	0.0321837	0.114805	0.25115	0.520135
a84	0.0154045	0.00771611	0.00613337	0.00614523	0.00762627	0.0181747	0.0989199	0.265686	0.574194
a11	0.00952345	0.00438669	0.00333843	0.00379606	0.00532314	0.0108478	0.0613853	0.224531	0.676868
a94	0.0127999	0.00545002	0.00302982	0.00262993	0.00317795	0.00864762	0.0751923	0.267903	0.621169
a4	0.0121436	0.00590084	0.00360296	0.00306244	0.00406316	0.0118509	0.0776765	0.255445	0.626254
a13	0.0155375	0.0066922	0.00392412	0.00332734	0.00437324	0.010428	0.0699077	0.238247	0.647563
a9	0.021754	0.00963784	0.00529037	0.00389585	0.00521208	0.0138579	0.0806735	0.252659	0.607019
a99	0.0174403	0.00903725	0.00606396	0.00496788	0.00607883	0.0122977	0.0738111	0.249326	0.620977
a87	0.00929205	0.00626115	0.00456547	0.00400736	0.00461546	0.00885938	0.0644564	0.253927	0.644016
</S>	0.0171821	0.0129283	0.00906105	0.00772217	0.00898841	0.0171212	0.071741	0.231051	0.624205
