 	ii	a	appris	la	nouvelle	aux	villageois	</S>
a23	0.509463	0.221939	0.0973332	0.0489213	0.041999	0.0245288	0.0200757	0.0357404
a85	0.631694	0.181566	0.0617329	0.044704	0.0254661	0.0142697	0.0159937	0.024573
a66	0.4527	0.180047	0.07896	0.0451603	0.0283236	0.0263761	0.0515564	0.136876
a87	0.376903	0.135431	0.0552482	0.0401653	0.0358518	0.0490069	0.101559	0.205835
a23	0.207501	0.17208	0.11187	0.0598472	0.0478514	0.0475045	0.0983119	0.255034
a20	0.21092	0.168831	0.108519	0.0494394	0.0333155	0.0423385	0.108003	0.278634
a30	0.247702	0.188707	0.112665	0.0672501	0.0573076	0.0790628	0.123764	0.123541
a2	0.213594	0.256866	0.211374	0.137008	0.0827248	0.0414347	0.0317324	0.0252657
a57	0.16447	0.192691	0.18323	0.151588	0.0977907	0.0656528	0.0727545	0.0718226
a75	0.0424586	0.0597425	0.0825251	0.108683	0.104101	0.0997638	0.179565	0.323161
a41	0.0612327	0.0862007	0.123017	0.165517	0.164974	0.123981	0.139976	0.135102
a27	0.063015	0.0811349	0.14443	0.222443	0.21964	0.119471	0.0805566	0.0693092
a75	0.0365605	0.0525019	0.116126	0.236091	0.252662	0.130934	0.0835929	0.0915319
a41	0.0319023	0.0320702	0.0661328	0.170099	0.209478	0.162822	0.142513	0.184983
a35	0.0353617	0.0371978	0.0807968	0.199358	0.234289	0.156719	0.111108	0.145169
a21	0.0292839	0.0298381	0.0675394	0.180572	0.246928	0.166666	0.11945	0.159722
a35	0.0511555	0.0633958	0.0997743	0.158714	0.208891	0.184765	0.105498	0.127805
a14	0.0361579	0.0377263	0.0639885	0.121452	0.197101	0.203574	0.132254	0.207746
a26	0.0286612	0.0297573	0.0634427	0.105518	0.161993	0.179212	0.164448	0.266968
a98	0.0345939	0.0277035	0.0394215	0.0749139	0.120696	0.178028	0.171801	0.352842
a14	0.0260398	0.021963	0.0367394	0.0748792	0.141092	0.25125	0.204377	0.24366
a41	0.0226181	0.0194186	0.0351063	0.0652767	0.12852	0.239742	0.211106	0.278212
a14	0.0106587	0.00915992	0.0160124	0.0314858	0.0746769	0.201461	0.279041	0.377504
a2	0.0115251	0.00997192	0.0172598	0.0355172	0.0857642	0.230859	0.299895	0.309208
a26	0.0138803	0.0126919	0.0160565	0.0228535	0.0385156	0.0966157	0.229598	0.569788
a93	0.0031581	0.00262376	0.00383167	0.00764814	0.0164777	0.0598589	0.218371	0.688031
a4	0.0104816	0.00579362	0.00694593	0.01455	0.0337133	0.102948	0.257565	0.568002
a13	0.00627689	0.00374665	0.00657992	0.0160222	0.0369268	0.0989658	0.245257	0.586225
a3	0.00676276	0.00351574	0.00472929	0.0109605	0.0274501	0.0814417	0.231588	0.633552
a87	0.00273023	0.00151956	0.00240742	0.00498515	0.0142997	0.0586263	0.214423	0.701008
</S>	0.0123902	0.00747156	0.00799701	0.00854409	0.0183885	0.0816353	0.228966	0.634607
