 	les	femmes	le	quittent	parce	qu'	il	est	fainéant	</S>
a57	0.167679	0.128662	0.0874195	0.106073	0.143483	0.137678	0.103432	0.0758603	0.0338606	0.0158527
a87	0.166769	0.07524	0.030406	0.0609855	0.118838	0.138895	0.136272	0.149461	0.0856359	0.0374983
a10	0.252546	0.113811	0.0693646	0.0945173	0.0999399	0.0858913	0.0735903	0.0650429	0.0634867	0.0818104
a87	0.26911	0.145469	0.0938015	0.151271	0.114241	0.0642678	0.0458136	0.0462402	0.0350047	0.0347817
a10	0.234444	0.129065	0.0782129	0.110956	0.0829444	0.0605667	0.064495	0.085193	0.0817074	0.0724158
a87	0.262702	0.116492	0.0603446	0.0792562	0.0620078	0.0510901	0.0674836	0.0944937	0.107992	0.098138
a40	0.221063	0.113284	0.0617218	0.082114	0.0629403	0.0546648	0.0786571	0.113561	0.125886	0.0861087
a5	0.39371	0.183272	0.0612272	0.0551031	0.0492072	0.0389152	0.0351917	0.0412731	0.0630719	0.0790292
a62	0.374598	0.182185	0.0843213	0.0877049	0.0757865	0.058474	0.0385784	0.0285006	0.0325964	0.0372557
a70	0.233855	0.160452	0.103607	0.123415	0.115197	0.0785223	0.0536431	0.0441064	0.0500629	0.0371381
a98	0.195307	0.1496	0.12621	0.148483	0.128344	0.0787818	0.0542342	0.0380132	0.0436199	0.0374072
a47	0.111008	0.117306	0.11973	0.139643	0.149778	0.117609	0.0941901	0.0491023	0.0408463	0.0607867
a85	0.126342	0.14005	0.145682	0.171154	0.14289	0.0973021	0.0652421	0.0329361	0.0324215	0.0459798
a37	0.167634	0.153272	0.139562	0.147897	0.125884	0.0987334	0.0716347	0.0324964	0.0245543	0.0383319
a26	0.13683	0.13953	0.137477	0.156679	0.135773	0.113893	0.0890119	0.040378	0.0233172	0.02711
a82	0.0531325	0.085109	0.125216	0.198433	0.182909	0.141836	0.0938471	0.0380074	0.0367084	0.0448007
a38	0.0224504	0.042431	0.0859411	0.177378	0.201659	0.158801	0.120701	0.0621539	0.058999	0.069485
a56	0.0172623	0.031603	0.0657854	0.152731	0.195703	0.169703	0.146347	0.0792806	0.0641686	0.0774164
a96	0.0368325	0.0523698	0.0778384	0.14748	0.181166	0.15767	0.128053	0.0689783	0.0703482	0.0792638
