 	ils	se	sont	soûlés	</S>
a66	0.550347	0.321631	0.0971924	0.0176856	0.0131442
a87	0.467608	0.273612	0.148043	0.062054	0.0486832
a23	0.469857	0.364103	0.117227	0.0340751	0.0147377
a54	0.240239	0.255047	0.14231	0.208373	0.15403
a47	0.374755	0.346727	0.151107	0.0797646	0.0476464
a92	0.21562	0.287047	0.278777	0.176205	0.0423511
a37	0.195047	0.374011	0.303255	0.0979623	0.0297251
a75	0.193165	0.299931	0.300729	0.130613	0.0755625
a61	0.183501	0.310124	0.284917	0.110232	0.111226
a75	0.155312	0.170082	0.208229	0.185409	0.280968
a85	0.0549837	0.0891416	0.203058	0.230237	0.422579
a5	0.00773004	0.0134749	0.0698552	0.223332	0.685608
a85	0.00221264	0.00315727	0.0180665	0.1299	0.846663
a47	0.000357838	0.000387677	0.00279667	0.0600539	0.936404
a92	0.000747794	0.000995365	0.00531676	0.0583706	0.934569
a37	0.00188971	0.00291028	0.00872769	0.0452594	0.941213
a66	0.0041264	0.00603844	0.0248824	0.125484	0.839468
a9	0.0199705	0.0205549	0.0820643	0.23514	0.64227
a87	0.308818	0.156341	0.122486	0.161715	0.250639
a23	0.402596	0.284498	0.190193	0.0690509	0.0536613
a87	0.165592	0.0912301	0.0895671	0.166326	0.487285
</S>	0.0290356	0.0169101	0.0254839	0.090859	0.837711
