 	la	femme	a	tenu	son	mari	à	la	hanche	par	tendresse	</S>
a66	0.1279	0.118073	0.122764	0.128333	0.169521	0.169533	0.0939808	0.0376289	0.0142469	0.00717368	0.00570132	0.00514358
a87	0.40889	0.20154	0.0865107	0.056149	0.0684808	0.0579772	0.0323923	0.019705	0.0123439	0.0144445	0.0236113	0.0179556
a23	0.212844	0.128643	0.120504	0.162252	0.159198	0.0859355	0.0386446	0.0231938	0.0137522	0.01414	0.0221129	0.0187798
a13	0.161646	0.0910711	0.0803928	0.123888	0.117679	0.0744138	0.0432063	0.0398358	0.0491927	0.0579867	0.0890996	0.0715873
a53	0.126511	0.0986421	0.0805675	0.0875517	0.121774	0.119605	0.0724596	0.0523356	0.0432795	0.0692044	0.0723753	0.0556935
a54	0.264288	0.197467	0.115334	0.0583821	0.084665	0.0996148	0.0697757	0.0440605	0.0217504	0.0191845	0.0156905	0.00978665
a0	0.190618	0.172145	0.109739	0.0538673	0.0789413	0.103023	0.0965583	0.0794189	0.0422132	0.0342682	0.0246548	0.0145527
a75	0.116337	0.144323	0.129027	0.0775922	0.0840082	0.0867729	0.0870651	0.103587	0.0653938	0.049181	0.0360664	0.0206466
a6	0.131832	0.132332	0.109602	0.0710511	0.0856505	0.110308	0.109233	0.104262	0.054828	0.0407949	0.0340802	0.0160273
a36	0.0961153	0.101065	0.0984346	0.0867081	0.0830323	0.0947277	0.0917896	0.0999352	0.0774358	0.0648941	0.0712762	0.0345865
a61	0.102185	0.104468	0.110562	0.124393	0.121067	0.114033	0.0763273	0.0572727	0.0476346	0.043596	0.0612354	0.0372264
a93	0.0690579	0.0782179	0.104618	0.155337	0.162346	0.156378	0.0987549	0.052184	0.0298565	0.027307	0.0370859	0.0288572
a56	0.0372061	0.0462701	0.0786149	0.163021	0.172641	0.17045	0.130693	0.0729991	0.039194	0.0275407	0.0341316	0.0272381
a34	0.0169638	0.0227404	0.0490625	0.152106	0.159335	0.161891	0.144697	0.0914684	0.0576612	0.0427824	0.0557146	0.0455767
a12	0.0156485	0.0203731	0.0440418	0.140204	0.15343	0.155033	0.140982	0.0991676	0.0699964	0.0496918	0.0584091	0.0530219
a24	0.00968021	0.0117957	0.024327	0.120653	0.137393	0.146492	0.151594	0.115779	0.0836369	0.0622721	0.0673731	0.0690034
a47	0.0124372	0.0171381	0.0278659	0.0867257	0.0972788	0.100467	0.118963	0.107547	0.108114	0.103521	0.118435	0.101507
a61	0.0144225	0.0186618	0.0297558	0.0905835	0.098739	0.107312	0.126959	0.113737	0.114291	0.10041	0.102366	0.0827624
a96	0.00465778	0.00566083	0.0105749	0.0533929	0.0618307	0.0698278	0.0862635	0.0906079	0.117685	0.159967	0.187608	0.151923
a70	0.00349513	0.00418913	0.00629339	0.0191981	0.0214703	0.0245847	0.0397955	0.0566138	0.101268	0.196023	0.260814	0.266254
a13	0.00240418	0.0035398	0.0043865	0.0068538	0.00736589	0.00711087	0.0107092	0.0200657	0.0511436	0.164175	0.259212	0.463034
a83	0.00478858	0.00593924	0.00649183	0.00873122	0.0110474	0.0102881	0.0132337	0.0216318	0.0489178	0.124597	0.246144	0.498189
a90	0.00334148	0.0035559	0.00359165	0.00521618	0.00610825	0.00565224	0.00927849	0.0236395	0.0588428	0.133499	0.227099	0.520175
a93	0.000275572	0.000423107	0.000650239	0.00169887	0.00129569	0.00153807	0.00363675	0.0114012	0.0349545	0.130559	0.238053	0.575514
a44	0.000441178	0.000611013	0.000810147	0.00174423	0.00148009	0.00151936	0.00277743	0.0077346	0.0315002	0.135823	0.285997	0.529562
a11	0.000734645	0.000994025	0.00117127	0.00187621	0.00193534	0.00188857	0.00368132	0.0113674	0.0389897	0.145176	0.244885	0.5473
a31	0.00490733	0.00527241	0.00589782	0.0100441	0.0121492	0.0108277	0.0209897	0.0497611	0.103869	0.175562	0.216639	0.384081
a88	0.00191609	0.00253065	0.00317762	0.00574691	0.00566371	0.00491789	0.0077496	0.0192456	0.0479169	0.149887	0.249496	0.501752
a71	0.00161738	0.00207036	0.00282235	0.0052752	0.0051567	0.00474099	0.00821531	0.0202012	0.0573485	0.162343	0.260008	0.470201
a9	0.0148608	0.0145935	0.0145652	0.0166897	0.0192779	0.0184934	0.0289051	0.0492609	0.0945243	0.169082	0.203141	0.356606
a10	0.095097	0.0599266	0.0451181	0.054031	0.0890038	0.090976	0.0970445	0.093305	0.0972988	0.093881	0.0800646	0.104253
a87	0.137866	0.0907343	0.0737351	0.0912146	0.158468	0.140125	0.0961433	0.0643332	0.0417774	0.0352345	0.0323261	0.0380419
a23	0.0935996	0.0744657	0.0752289	0.105812	0.148285	0.126576	0.0909784	0.0629294	0.0438452	0.0539228	0.0526783	0.0716783
a99	0.0183083	0.0125288	0.00901231	0.0112371	0.0145623	0.0166864	0.0198414	0.0315713	0.0446048	0.118145	0.275403	0.4281
a38	0.0287118	0.016616	0.0134337	0.0256118	0.0341144	0.03573	0.0329159	0.0432489	0.0562532	0.114865	0.280788	0.317711
</S>	0.0203375	0.0143522	0.0159042	0.0317486	0.0424751	0.0464801	0.0413382	0.0525109	0.0653593	0.123944	0.284084	0.261466
