 	cette	femme	est	en	train	de	se	plaindre	parce	que	son	mari	ne	lui	donne	plus	rien	</S>
a66	0.0851803	0.0833354	0.0969689	0.095631	0.103357	0.115433	0.0904075	0.0669592	0.0446267	0.0459577	0.0366814	0.0338515	0.0395995	0.0319287	0.0147624	0.00571618	0.0044733	0.00513014
a87	0.200063	0.149453	0.111095	0.0879935	0.0673352	0.071116	0.0529585	0.054728	0.0317836	0.027991	0.024017	0.0197972	0.0291936	0.0236282	0.0155805	0.01054	0.00946155	0.0132651
a23	0.256827	0.15986	0.120129	0.0990009	0.0765259	0.0881602	0.0608616	0.0589811	0.0208795	0.0147156	0.00802685	0.00560938	0.00660756	0.00502337	0.00343882	0.00326709	0.00488123	0.00720499
a99	0.331678	0.173658	0.112738	0.0703052	0.0500149	0.064751	0.0436652	0.0553142	0.0231093	0.0171054	0.0122009	0.00857557	0.00811659	0.00593589	0.0043674	0.00407794	0.00517256	0.00921358
a87	0.295546	0.148046	0.103661	0.069995	0.0557847	0.0653274	0.0492354	0.0588265	0.024871	0.0213632	0.014371	0.0129593	0.0137517	0.0116771	0.01015	0.00973326	0.0135143	0.0211873
a79	0.272618	0.150308	0.107487	0.0759683	0.0633367	0.0740713	0.0530828	0.0634982	0.0276573	0.0233451	0.0151156	0.0124977	0.0138235	0.0125201	0.0101461	0.00778774	0.00735541	0.00938181
a4	0.263436	0.136705	0.0938867	0.0742774	0.0641816	0.0593769	0.0399483	0.0356278	0.0173127	0.0157415	0.0104027	0.0116766	0.0145307	0.0192898	0.0268179	0.0260103	0.0359312	0.0548466
a50	0.213223	0.171354	0.121579	0.0852869	0.0688	0.0575175	0.0435643	0.0353892	0.01814	0.0134615	0.00799671	0.00849369	0.013887	0.0234015	0.0372408	0.0249243	0.0235405	0.0321992
a70	0.111921	0.119073	0.102926	0.0824385	0.0687368	0.0675225	0.0653422	0.0713801	0.0390683	0.0249242	0.0152309	0.0147803	0.0211185	0.0292444	0.0429607	0.0384898	0.0348863	0.0499561
a4	0.087502	0.0987006	0.0953559	0.0831877	0.0717918	0.0741672	0.0734369	0.0874743	0.0496313	0.032648	0.0199777	0.0173777	0.0213612	0.0264036	0.0369841	0.0378148	0.0364963	0.0496889
a53	0.0720621	0.0845858	0.0880406	0.083107	0.07616	0.0834435	0.0814332	0.097349	0.0551285	0.0367858	0.0224836	0.017751	0.0193243	0.0209543	0.0275552	0.032813	0.0399177	0.0611054
a90	0.0680582	0.0805411	0.0811655	0.0803627	0.0778807	0.0850773	0.0885137	0.0995766	0.0658122	0.0490876	0.0302481	0.0221597	0.0220531	0.0206491	0.0238713	0.0242949	0.0321441	0.048504
a54	0.036178	0.0482727	0.0581481	0.0660309	0.0700211	0.0816046	0.0918161	0.107952	0.0856782	0.0681009	0.0499746	0.0378596	0.0353503	0.0282995	0.0265623	0.025681	0.0346717	0.0477979
a6	0.0146385	0.0223197	0.0349865	0.0482162	0.0562757	0.0655138	0.0794799	0.0956408	0.0987094	0.0715047	0.0588161	0.0473408	0.0442252	0.035437	0.0316344	0.0351086	0.0624207	0.0977322
a0	0.0149569	0.0214613	0.0330545	0.044494	0.0502428	0.0597679	0.0775004	0.0969193	0.103315	0.0711272	0.06066	0.0543767	0.0537239	0.0413179	0.0334862	0.0341551	0.0595074	0.0899332
a11	0.00985766	0.0121873	0.0182814	0.0292007	0.0405859	0.0544328	0.081693	0.119462	0.135785	0.0959594	0.0731372	0.0563253	0.0512577	0.0358643	0.0271297	0.0271363	0.0478425	0.0838613
a12	0.0081367	0.00959114	0.0142492	0.0249664	0.0393617	0.0592151	0.0985489	0.149223	0.154696	0.123074	0.0837807	0.0576187	0.050348	0.0323182	0.0199775	0.0162488	0.0225332	0.0361129
a96	0.00417094	0.00492883	0.00742962	0.013621	0.0233407	0.0382186	0.0754536	0.123233	0.162334	0.139682	0.10881	0.0793033	0.0737114	0.048711	0.0272221	0.0181011	0.0215606	0.0301685
a61	0.00403493	0.0047349	0.00672804	0.0111632	0.0181828	0.0296864	0.0619647	0.115091	0.167757	0.140642	0.110157	0.0802432	0.0755365	0.0505038	0.0285819	0.0212373	0.0282757	0.0454801
a12	0.00344713	0.00398693	0.00560311	0.0092393	0.0152827	0.0252678	0.0540577	0.096983	0.159345	0.140998	0.121439	0.0927497	0.089666	0.0639408	0.0353803	0.021389	0.0246056	0.0366193
a18	0.00362143	0.00421595	0.00611285	0.00939791	0.0149161	0.0246631	0.0495205	0.0854371	0.162816	0.138529	0.123642	0.0902588	0.0860629	0.0618864	0.0353841	0.0247195	0.0302477	0.0485688
a0	0.00536732	0.00669008	0.0108389	0.0184306	0.0305996	0.045783	0.0701094	0.108315	0.184374	0.158503	0.134203	0.0741518	0.0506808	0.0304983	0.0163778	0.0110496	0.0157278	0.0282996
a24	0.0111294	0.0116251	0.0163407	0.0242455	0.036615	0.0493629	0.0632228	0.0817112	0.148233	0.126017	0.131952	0.0853115	0.065169	0.0417401	0.0235919	0.0165715	0.0228288	0.0443336
a70	0.00584187	0.006798	0.00790262	0.011586	0.0153737	0.0192844	0.0309659	0.0525173	0.098146	0.0892588	0.0939238	0.0774464	0.0826666	0.0802942	0.068346	0.05742	0.0706531	0.131575
a93	0.0047301	0.00556413	0.00695016	0.0104818	0.0143214	0.0194958	0.0333163	0.0578938	0.0975411	0.088982	0.0917964	0.0750481	0.0804075	0.0867361	0.0789919	0.0624477	0.065752	0.119544
a70	0.00402355	0.00465925	0.00554195	0.00805567	0.0112355	0.0145437	0.024239	0.0392913	0.0724104	0.0680038	0.0743597	0.0642638	0.0662554	0.0729182	0.0851415	0.0944093	0.103272	0.187376
a44	0.00388251	0.00420965	0.00533502	0.00770999	0.0110652	0.0156713	0.0261789	0.0403271	0.0763408	0.0720568	0.0838684	0.0724797	0.0727091	0.0736568	0.0757747	0.0872716	0.0969751	0.174487
a93	0.00226931	0.00279046	0.00397573	0.00651375	0.00966534	0.0136128	0.0235722	0.0387993	0.0725597	0.0683139	0.0784368	0.0636527	0.063854	0.0675324	0.0700313	0.0975045	0.115772	0.201144
a70	0.00192637	0.0023246	0.00319178	0.00503261	0.00727523	0.00951522	0.0161151	0.0263255	0.0570979	0.0552882	0.0674376	0.0583757	0.0561773	0.0600264	0.0758392	0.115654	0.142689	0.239708
a54	0.00250835	0.00278566	0.00379839	0.00582725	0.00853535	0.0121988	0.0198317	0.0315645	0.0556824	0.053857	0.0621618	0.0512638	0.0535348	0.062044	0.0687613	0.112149	0.15076	0.242736
a79	0.000993023	0.00119155	0.00183414	0.00364189	0.00545371	0.00672152	0.0110791	0.0141803	0.0293802	0.0260864	0.0341602	0.0319901	0.0275277	0.0276528	0.0405507	0.0893715	0.197761	0.450424
a37	0.000975933	0.00117318	0.0017718	0.00342125	0.00492452	0.00598	0.00975184	0.0132104	0.0365458	0.0328345	0.0529539	0.0567627	0.0473963	0.0438745	0.0641394	0.117271	0.183237	0.323776
a26	0.00068374	0.000730947	0.00107514	0.00219323	0.00343955	0.00481514	0.00867154	0.0125577	0.0270451	0.0245724	0.0335557	0.0284406	0.0206621	0.0191685	0.0278266	0.0873073	0.216291	0.480964
a37	0.00377766	0.0031022	0.00427898	0.00764865	0.0127745	0.0195107	0.0288036	0.0298698	0.0458565	0.0443	0.054957	0.0395784	0.0248605	0.0188067	0.0227106	0.0710445	0.192745	0.375375
a21	0.000994044	0.000910506	0.00119017	0.00226775	0.00337767	0.00461384	0.00723881	0.00930147	0.0168334	0.0162296	0.0231454	0.020211	0.0152698	0.0137192	0.0198912	0.0769184	0.247068	0.520819
a98	0.000304045	0.000324793	0.000430238	0.000716429	0.00102872	0.001454	0.00232982	0.00383557	0.00913032	0.00855805	0.0139014	0.0127114	0.0127977	0.0149391	0.0261682	0.0981977	0.283438	0.509735
a15	0.000291682	0.000330589	0.000476478	0.000914376	0.00140161	0.00192238	0.00360248	0.00542851	0.0159658	0.0142164	0.0233074	0.0211484	0.0150366	0.0131058	0.0236297	0.0886591	0.249225	0.521338
a69	0.000245083	0.000249556	0.000346612	0.000651341	0.00101325	0.00159831	0.00336379	0.00529141	0.0159583	0.012249	0.0188851	0.014858	0.00834386	0.00702405	0.0141819	0.0605529	0.255495	0.579693
a58	0.000369599	0.000364653	0.000466123	0.000834432	0.00116613	0.00170637	0.00333692	0.00507153	0.0150087	0.0104434	0.0159157	0.0121588	0.00709417	0.00605592	0.0101746	0.0419085	0.237333	0.630592
a40	0.00460123	0.0035184	0.00389458	0.00541291	0.00665085	0.00858928	0.0108879	0.0103577	0.0141309	0.0124996	0.0155656	0.0121097	0.00951773	0.00932962	0.0181522	0.0833161	0.303623	0.467843
a15	0.000888128	0.000844782	0.000880647	0.00135074	0.00144371	0.00172029	0.00311016	0.00441539	0.0121001	0.00942859	0.0161853	0.0149008	0.0112105	0.0109701	0.0211917	0.0891786	0.315986	0.484195
a7	0.000321086	0.000336571	0.000386717	0.000622791	0.000708409	0.000892881	0.00177147	0.00313627	0.00880376	0.00582108	0.00924659	0.00867532	0.00637002	0.00602776	0.0121985	0.060655	0.298833	0.575192
a2	0.00159671	0.00146726	0.00161651	0.00239805	0.00271738	0.0031212	0.00422696	0.00442094	0.00588041	0.00500624	0.00628583	0.00546898	0.00420295	0.0042718	0.0107712	0.0706041	0.335885	0.530058
a26	0.0291989	0.021793	0.02136	0.0255596	0.0290134	0.0308926	0.0350566	0.0233856	0.0232682	0.0212511	0.0212034	0.0214744	0.0173349	0.0168571	0.0385112	0.113397	0.225654	0.284789
a57	0.0997926	0.0544524	0.0417899	0.0446383	0.0420041	0.0390321	0.0366818	0.0216911	0.023023	0.0223875	0.0263509	0.0351181	0.0309305	0.0296913	0.0489435	0.0991101	0.15038	0.153982
a10	0.148974	0.0701468	0.0452249	0.0423045	0.036611	0.0374561	0.0317394	0.0194039	0.0210204	0.0203678	0.027619	0.0377603	0.0369625	0.0343153	0.0447859	0.0859059	0.136258	0.123144
a87	0.116667	0.0694592	0.0484454	0.0483093	0.0453409	0.0468431	0.0430627	0.0289766	0.0353232	0.0309323	0.0445365	0.0556136	0.0601778	0.0509055	0.0495134	0.0628511	0.0836276	0.0794152
a23	0.0881062	0.0566107	0.0414344	0.0442843	0.0433534	0.0467575	0.0464657	0.037504	0.0491498	0.0395623	0.0531254	0.0650147	0.0743278	0.0675247	0.0603629	0.0537706	0.0650406	0.0676049
a87	0.0406006	0.0300484	0.019598	0.0217572	0.0180209	0.0175945	0.022682	0.022703	0.0392479	0.0324171	0.0469007	0.0608703	0.060872	0.0529977	0.0683913	0.0991724	0.142569	0.203557
</S>	0.0329724	0.0256589	0.0189107	0.0230207	0.021249	0.0254907	0.0322003	0.0320312	0.0382415	0.0245561	0.0319261	0.0372704	0.0365079	0.0333517	0.0445117	0.0809468	0.166343	0.294811
