 	j'	aime	manger	les	légumes	tsanyii	car	ils	sont	acides	</S>
a66	0.130645	0.111462	0.112496	0.137072	0.17595	0.165561	0.0779674	0.0371122	0.0194737	0.0193511	0.0129091
a87	0.264642	0.173725	0.113347	0.0751033	0.0706421	0.0720979	0.0617866	0.0542131	0.0472701	0.0445556	0.0226178
a23	0.386815	0.237008	0.107205	0.0550094	0.05245	0.0449153	0.0259357	0.0303414	0.0289248	0.0218259	0.00956931
a83	0.307206	0.194479	0.0931858	0.0519512	0.0422481	0.0384713	0.0412656	0.0422979	0.0724745	0.076364	0.0400559
a54	0.183843	0.0951714	0.0577241	0.0493508	0.0574256	0.0795607	0.0713398	0.0836056	0.133674	0.116888	0.0714166
a6	0.157301	0.0982046	0.0833296	0.06278	0.0597668	0.0775493	0.0584439	0.0842919	0.116927	0.119887	0.0815187
a5	0.123747	0.085391	0.0872486	0.0794996	0.0838487	0.101838	0.0778882	0.0964779	0.106882	0.0978455	0.0593335
a61	0.1771	0.131684	0.128786	0.103448	0.088571	0.0947166	0.0709794	0.0511472	0.0533738	0.0626805	0.0375128
a75	0.1667	0.138586	0.142322	0.115927	0.096999	0.099951	0.0756159	0.0394031	0.0355658	0.0493406	0.03959
a15	0.0730142	0.0812706	0.108333	0.101317	0.100788	0.132113	0.108501	0.0802376	0.0695471	0.0850041	0.0598742
a7	0.0878536	0.10473	0.125409	0.119626	0.106707	0.117355	0.104833	0.052156	0.0505954	0.071911	0.0588235
a44	0.0744158	0.0923786	0.1134	0.132078	0.117359	0.121054	0.0926449	0.03851	0.0406961	0.0905446	0.0869199
a43	0.0544553	0.0684549	0.0910669	0.121479	0.114862	0.119438	0.0931419	0.0478812	0.0569937	0.118769	0.113458
a75	0.0356283	0.0450282	0.0685252	0.113374	0.115284	0.118237	0.102254	0.0567161	0.0669656	0.141633	0.136354
a56	0.0143595	0.0198107	0.0330663	0.0618478	0.0666218	0.0734191	0.085924	0.0941936	0.113444	0.205342	0.231972
a75	0.0171594	0.0232709	0.0363846	0.0668526	0.0712305	0.0748671	0.102334	0.110223	0.113905	0.173812	0.209961
a85	0.00744102	0.0102586	0.0170909	0.0368624	0.042665	0.0497131	0.082709	0.102274	0.135371	0.217736	0.297879
a6	0.00291174	0.00375293	0.00625684	0.0162874	0.0196635	0.0242864	0.0472813	0.0704212	0.12868	0.25372	0.426739
a0	0.00270277	0.00350533	0.00566999	0.0136456	0.0165818	0.0202508	0.0346161	0.0663765	0.147872	0.26366	0.425119
a75	0.00140224	0.00140107	0.00193458	0.00421152	0.00478159	0.00580052	0.015313	0.0383595	0.123311	0.290583	0.512902
a5	0.000423776	0.000436981	0.000562693	0.00125503	0.00146176	0.00220918	0.00912697	0.0338641	0.108409	0.205299	0.636952
a61	0.000901882	0.000867149	0.00117316	0.00230986	0.0024634	0.00327904	0.0127951	0.043373	0.120093	0.23015	0.582594
a62	0.000935431	0.000932654	0.00120548	0.00185069	0.00197735	0.00263903	0.00954376	0.0415162	0.127646	0.235455	0.576299
a83	0.000766759	0.000823274	0.0011429	0.00180689	0.00215527	0.00302409	0.00897181	0.0374307	0.117615	0.221733	0.604531
a66	0.000506435	0.000502091	0.000722694	0.00132405	0.00171845	0.00263354	0.00878652	0.0401299	0.118733	0.194647	0.630297
a9	0.00394307	0.00336271	0.00432389	0.00819044	0.0123561	0.0194756	0.0395502	0.101055	0.16569	0.172315	0.469738
a87	0.00994617	0.00746762	0.00887382	0.0145173	0.021639	0.0291663	0.0503179	0.0848426	0.125542	0.132124	0.515563
a23	0.111204	0.0636878	0.0610263	0.074891	0.0942392	0.076838	0.0681192	0.0750918	0.0853756	0.0973451	0.192182
a10	0.0780892	0.0303306	0.0262861	0.0239704	0.0232329	0.023655	0.0301605	0.0479754	0.105482	0.230813	0.380006
a83	0.0354026	0.0145582	0.013187	0.0149122	0.015658	0.0190518	0.030888	0.0434327	0.103183	0.267791	0.441935
a38	0.00853872	0.0032713	0.00437568	0.00739406	0.0111284	0.0190535	0.0351938	0.0594786	0.127004	0.24331	0.481252
a62	0.00279256	0.00111265	0.00156426	0.00279966	0.00436458	0.00921283	0.0234361	0.0479452	0.124157	0.227845	0.55477
a12	0.000735664	0.00043753	0.000698835	0.00152144	0.00220904	0.00369775	0.0113864	0.0271109	0.0991518	0.258958	0.594092
a62	0.000596585	0.000507018	0.000860255	0.00159077	0.00237532	0.00369406	0.0124125	0.0294142	0.0844311	0.264947	0.599171
a75	0.000708958	0.000779604	0.00119672	0.00203334	0.00317233	0.00612338	0.0229113	0.0523624	0.111517	0.254126	0.545068
a5	0.000101544	0.000104951	0.000159077	0.000313309	0.000556912	0.00154013	0.0103839	0.0343647	0.110645	0.248108	0.593723
a37	0.000754839	0.000676793	0.00103597	0.00174694	0.00273254	0.00469966	0.0161193	0.0360604	0.0906873	0.239429	0.606058
a5	0.000544993	0.000444821	0.000605405	0.00097442	0.00141973	0.00260885	0.00907557	0.0195026	0.0631077	0.208886	0.692829
a18	0.000717595	0.000554756	0.000777936	0.00132761	0.00200581	0.003461	0.00957064	0.0194405	0.0569313	0.186537	0.718676
a71	0.00418774	0.00244148	0.00279008	0.00426243	0.0066511	0.00994332	0.0184335	0.0413756	0.0908197	0.15298	0.666116
a82	0.0439115	0.0228304	0.0205661	0.0230173	0.0263099	0.0234091	0.0324943	0.0613743	0.103015	0.131845	0.511227
a87	0.150037	0.0847563	0.0593786	0.0533279	0.0546716	0.036618	0.0369291	0.063218	0.0900145	0.11365	0.257399
a23	0.130839	0.0952961	0.0757014	0.0787586	0.084946	0.0573017	0.0475017	0.0630125	0.0890288	0.122255	0.155359
a87	0.152351	0.0861167	0.0616848	0.0453229	0.034747	0.0261603	0.0284747	0.0411943	0.0889208	0.190752	0.244275
</S>	0.0153144	0.00966454	0.00926366	0.0106142	0.0113793	0.0148746	0.0296064	0.0502827	0.121956	0.285304	0.44174
