 	cet	enfant	est	timide	comme	cela	à	cause	de	quoi	</S>
a15	0.259777	0.13708	0.112942	0.113014	0.104885	0.0737784	0.0721448	0.0549553	0.032566	0.0208554	0.0180022
a66	0.458272	0.184659	0.12343	0.0911309	0.0465765	0.0228425	0.026198	0.0181747	0.0109362	0.0103373	0.00744377
a87	0.424689	0.198735	0.0857941	0.0677677	0.0392332	0.0374581	0.035057	0.0261499	0.0210124	0.0283405	0.0357627
a23	0.46238	0.216131	0.112743	0.0965648	0.0368204	0.0254951	0.0154989	0.0100404	0.00752761	0.00780526	0.00899384
a83	0.454923	0.198893	0.101571	0.0867395	0.0295746	0.0205144	0.015934	0.0140934	0.0155961	0.0244376	0.0377232
a94	0.271338	0.126266	0.0933143	0.0969151	0.0769416	0.0546037	0.0427903	0.0339108	0.0432324	0.0761719	0.0845159
a20	0.352861	0.208273	0.185563	0.106426	0.0532833	0.0286387	0.018754	0.0112317	0.0101974	0.0134174	0.0113543
a47	0.225482	0.140665	0.165072	0.147311	0.12665	0.0618916	0.0403792	0.0206356	0.0201306	0.026951	0.024832
a98	0.174634	0.133389	0.16872	0.131219	0.102958	0.06503	0.0516865	0.0308203	0.0355476	0.0535125	0.0524831
a25	0.15761	0.107631	0.119257	0.0910058	0.096549	0.0913705	0.0956186	0.0552849	0.051332	0.0700825	0.0642591
a15	0.0665326	0.0640442	0.0741132	0.0686591	0.086727	0.124115	0.129986	0.089844	0.0765189	0.0995603	0.1199
a85	0.0546508	0.0541108	0.0616419	0.0604361	0.0886348	0.108921	0.136568	0.0998683	0.0868015	0.116718	0.131648
a6	0.0256853	0.0357184	0.0413392	0.045533	0.0730682	0.121592	0.155102	0.133302	0.0996593	0.122096	0.146904
a5	0.0258224	0.047763	0.0640742	0.081479	0.149599	0.207764	0.18721	0.0978978	0.045687	0.0438772	0.0488269
a24	0.0259151	0.0452614	0.0542714	0.0708118	0.106366	0.145993	0.16412	0.121728	0.0814638	0.0820408	0.102028
a94	0.0189895	0.028728	0.0298725	0.0491128	0.0730081	0.12297	0.197075	0.182543	0.105147	0.0835226	0.10903
a76	0.0265434	0.0382319	0.0385464	0.058753	0.0676159	0.092017	0.128523	0.14444	0.115959	0.1062	0.18317
a25	0.00501027	0.00770244	0.00778461	0.0129119	0.0280464	0.0458977	0.0820186	0.13815	0.186732	0.186949	0.298797
a92	0.00435871	0.00650949	0.00653864	0.0139448	0.0260092	0.0394812	0.0667143	0.103846	0.157572	0.182919	0.392107
a25	0.00338032	0.00534019	0.00572062	0.0102134	0.0240133	0.0390767	0.071552	0.111794	0.17053	0.195076	0.363304
a69	0.00165423	0.00257531	0.00281667	0.0055531	0.0138024	0.0192909	0.034353	0.0636242	0.158369	0.238917	0.459045
a84	0.00243234	0.00436783	0.00461249	0.010381	0.0182855	0.0217963	0.0364519	0.0601012	0.128301	0.236677	0.476593
a87	0.0161715	0.0204721	0.0202087	0.0327423	0.0381092	0.0311707	0.0328051	0.0480225	0.0945758	0.174214	0.491508
a99	0.0825348	0.0546699	0.0507489	0.0510939	0.0591104	0.0440773	0.0637819	0.0777391	0.099248	0.136273	0.280723
a53	0.00721333	0.00444437	0.00347725	0.00520485	0.00641289	0.00782498	0.0306395	0.0770658	0.174777	0.242018	0.440921
a94	0.00050682	0.000362586	0.00038517	0.000793312	0.00139369	0.00184294	0.00520986	0.0154348	0.0787185	0.232475	0.662878
a21	0.000372087	0.000290674	0.000304231	0.000564515	0.000923178	0.00100965	0.00298344	0.0104534	0.0585575	0.193763	0.730778
a5	0.00192273	0.00152273	0.00141452	0.00195614	0.0028226	0.00298061	0.006683	0.0179478	0.0675948	0.189667	0.705488
a18	0.0012025	0.00114816	0.00111931	0.00190269	0.00282867	0.00295109	0.00735132	0.0219032	0.0779785	0.211826	0.669789
a25	0.00313792	0.00331107	0.00385188	0.00514261	0.00683833	0.00704519	0.0187415	0.0508454	0.133593	0.220653	0.54684
a87	0.0603785	0.0372112	0.0279507	0.0243187	0.0299732	0.0268566	0.0525676	0.0955182	0.141335	0.171565	0.332325
a23	0.229246	0.138811	0.0870474	0.0681846	0.0666321	0.0540576	0.0593371	0.0565902	0.0630528	0.0708947	0.106146
a87	0.0501291	0.0301347	0.0158014	0.0188646	0.0237113	0.0288135	0.0468373	0.0607267	0.128532	0.215558	0.380891
</S>	0.00987362	0.00770765	0.00428427	0.00625567	0.00867928	0.0121466	0.0260564	0.0421365	0.121997	0.254876	0.505986
