 	sa	lettre	d'	expulsion	est	déjà	rédigée	</S>
a87	0.134701	0.176704	0.197266	0.234952	0.167052	0.0604027	0.0202977	0.008624
a23	0.261868	0.160697	0.126448	0.175358	0.15405	0.0710225	0.0301434	0.0204134
a83	0.263923	0.223426	0.179384	0.132189	0.0816014	0.0474822	0.0287693	0.043225
a18	0.293363	0.21443	0.133069	0.125349	0.0767446	0.0519863	0.0413463	0.0637121
a5	0.389939	0.275057	0.143589	0.0875852	0.0392952	0.0304755	0.0178877	0.0161717
a0	0.396328	0.225076	0.130442	0.0904766	0.0435973	0.0425988	0.0394903	0.0319914
a31	0.26011	0.193109	0.13848	0.105452	0.0617821	0.0768419	0.0926505	0.0715742
a47	0.202558	0.180239	0.1701	0.135379	0.0771064	0.0866441	0.0858749	0.0620987
a88	0.152342	0.160495	0.164547	0.153596	0.0869402	0.0952995	0.101814	0.0849669
a96	0.127501	0.166983	0.199892	0.188135	0.0931491	0.0822216	0.0768353	0.0652829
a75	0.10561	0.143653	0.186387	0.193788	0.104675	0.0905838	0.0885226	0.08678
a98	0.0586559	0.0995932	0.139044	0.167429	0.120861	0.123255	0.135245	0.155917
a15	0.0472878	0.100286	0.155189	0.201419	0.138333	0.11338	0.0946663	0.149439
a79	0.04438	0.0938275	0.145361	0.209721	0.158894	0.123211	0.0845654	0.14004
a90	0.0276526	0.0562546	0.0962997	0.139844	0.117456	0.110777	0.130445	0.321271
a98	0.0268089	0.0619718	0.121179	0.217162	0.150851	0.112095	0.101834	0.208097
a15	0.015773	0.026907	0.0586014	0.109214	0.103554	0.117979	0.160327	0.407645
a36	0.0153994	0.0274924	0.0674341	0.138468	0.139241	0.131492	0.144274	0.3362
a2	0.0176209	0.029751	0.0643292	0.141586	0.149065	0.106696	0.121287	0.369666
a50	0.0253786	0.0460778	0.0920311	0.177102	0.225778	0.153765	0.112711	0.167156
a88	0.0269528	0.0392238	0.074673	0.180968	0.234413	0.142791	0.111207	0.189772
a62	0.00700153	0.013006	0.0291737	0.107016	0.169197	0.149402	0.172924	0.352281
a88	0.00425892	0.00808877	0.0175366	0.0648545	0.122224	0.163986	0.299134	0.319918
a21	0.00167688	0.00345479	0.00792589	0.0346757	0.0891792	0.133131	0.306454	0.423503
a12	0.00312973	0.00528198	0.010568	0.034014	0.0700314	0.102841	0.279638	0.494496
a37	0.00212136	0.00360056	0.00734244	0.0236841	0.0632429	0.108295	0.307621	0.484092
a12	0.0010289	0.00173508	0.00312617	0.00980026	0.0323811	0.0690071	0.266061	0.616861
a96	0.00112219	0.00160703	0.00285755	0.00818651	0.0287151	0.0648452	0.257653	0.635014
a88	0.000608735	0.000911781	0.00155185	0.00421668	0.0167586	0.0441502	0.201322	0.73048
a62	0.000337387	0.000507157	0.0008953	0.0024364	0.0109299	0.0314005	0.167843	0.78565
a96	0.000467311	0.000733508	0.00122369	0.00271118	0.0101003	0.0297729	0.176315	0.778676
a83	0.000329079	0.000530724	0.000866053	0.00203995	0.00825258	0.0253095	0.151722	0.81095
a71	0.000300746	0.00048015	0.000760578	0.001638	0.00641169	0.0207233	0.130065	0.83962
a9	0.0036129	0.00370756	0.00462894	0.00816431	0.025798	0.0618747	0.168748	0.723465
a87	0.0337954	0.0266981	0.0332703	0.0424148	0.0890726	0.113661	0.175991	0.485096
a23	0.0931986	0.0722308	0.0898731	0.110637	0.215789	0.157215	0.105673	0.155384
a97	0.0657709	0.0327125	0.0379744	0.0548463	0.13033	0.130735	0.168516	0.379115
a99	0.0219809	0.019337	0.0379775	0.070177	0.103487	0.0859424	0.131271	0.529828
a97	0.0250405	0.0263618	0.0511976	0.0848964	0.137637	0.0994137	0.11548	0.459973
a87	0.0259545	0.0283939	0.0560208	0.0939846	0.152061	0.120376	0.115067	0.408142
</S>	0.0447526	0.0414388	0.0709651	0.102088	0.143556	0.109098	0.113676	0.374425
