 	son	ami	l'	a	frappé	mais	sa	riposte	était	trop	fougueuse	</S>
a66	0.117416	0.102726	0.0842173	0.0665797	0.0873059	0.110692	0.122134	0.156328	0.0804195	0.0424606	0.0188669	0.0108544
a10	0.133784	0.0963026	0.0782	0.0632235	0.0914095	0.10091	0.13259	0.145723	0.0853599	0.0425006	0.0176727	0.0123237
a87	0.151613	0.128924	0.143864	0.142526	0.163475	0.126278	0.0591503	0.0376976	0.0128732	0.0102296	0.0101431	0.0132272
a23	0.153317	0.1246	0.138612	0.13821	0.150734	0.126914	0.069024	0.043398	0.0185932	0.0137776	0.0117462	0.0110741
a30	0.132211	0.115115	0.152562	0.168219	0.141528	0.107028	0.0745789	0.0540511	0.0180962	0.013331	0.00908008	0.0141987
a4	0.150293	0.167904	0.200161	0.161046	0.0909695	0.0667689	0.0555982	0.0341383	0.0216865	0.0200166	0.0150837	0.0163348
a62	0.238789	0.194376	0.181713	0.130539	0.0767229	0.0439818	0.0356769	0.0253906	0.0156058	0.0171273	0.0157483	0.0243282
a21	0.215434	0.216565	0.238073	0.146993	0.0640436	0.0301555	0.023567	0.019442	0.0113082	0.0118952	0.0102131	0.012311
a92	0.168706	0.178876	0.227852	0.172292	0.09013	0.0454684	0.0326575	0.0311039	0.0142281	0.0133097	0.0109866	0.0143903
a6	0.162324	0.164726	0.193911	0.161316	0.100717	0.0592624	0.0521585	0.0488978	0.0197454	0.014777	0.00922066	0.0129441
a21	0.0920461	0.108004	0.162128	0.170055	0.144102	0.0802987	0.0648169	0.0764657	0.0333245	0.0254608	0.0174403	0.0258574
a56	0.102129	0.111024	0.143102	0.13892	0.14031	0.107714	0.0799133	0.0958484	0.0349324	0.020608	0.0105547	0.0149444
a90	0.0701026	0.0919481	0.140087	0.156725	0.166239	0.127265	0.0802705	0.0958663	0.0303992	0.0180984	0.00991711	0.0130821
a15	0.0303205	0.0440922	0.0768841	0.119324	0.198085	0.157333	0.103554	0.120899	0.0529837	0.0370664	0.0257277	0.0337312
a7	0.0126088	0.0209497	0.0397732	0.0782262	0.167296	0.186419	0.135072	0.142238	0.0691644	0.0467807	0.0430467	0.058426
a84	0.0126365	0.0201431	0.0343892	0.074444	0.161028	0.195452	0.15714	0.140805	0.0820361	0.0490442	0.0366121	0.0362688
a57	0.016827	0.0216144	0.0348411	0.0667362	0.175601	0.230097	0.155934	0.163417	0.0665943	0.0344591	0.0207157	0.0131639
a87	0.0269108	0.0283187	0.0370121	0.0549967	0.140783	0.20765	0.162079	0.176801	0.0816547	0.0429653	0.0256104	0.0152185
a23	0.0915504	0.0752207	0.0692523	0.0723084	0.0897906	0.0881332	0.105668	0.102332	0.102648	0.0905165	0.0686671	0.0439132
a18	0.0488201	0.0422296	0.0491377	0.0787439	0.15637	0.149392	0.134408	0.107995	0.0842108	0.0592206	0.0410156	0.0484563
a75	0.0345906	0.0372434	0.0473569	0.075001	0.0957633	0.0773215	0.0953589	0.0609342	0.117299	0.125492	0.100802	0.132837
a47	0.0391694	0.0405925	0.0490718	0.0686384	0.0916469	0.0654296	0.0675226	0.0417287	0.0964108	0.116291	0.110444	0.213054
a36	0.0266248	0.0314675	0.04156	0.0624506	0.102852	0.0783251	0.0754481	0.0534116	0.101867	0.121333	0.107985	0.196675
a5	0.0219252	0.0278983	0.0364846	0.0557839	0.0980566	0.0759392	0.0635811	0.0479987	0.0833811	0.112565	0.13425	0.242136
a23	0.0200186	0.0232702	0.0295546	0.0463026	0.12244	0.173709	0.126849	0.126259	0.101035	0.0741284	0.0655479	0.0908849
a85	0.00707097	0.00864585	0.0121973	0.0234199	0.0751657	0.125211	0.0961069	0.0863935	0.108102	0.0997746	0.145098	0.212815
a6	0.00634325	0.00816126	0.0110475	0.0182099	0.0547234	0.10035	0.0790384	0.0913048	0.109127	0.0952512	0.173158	0.253285
a0	0.0125807	0.01342	0.0157885	0.0238583	0.0649588	0.115058	0.0907199	0.110276	0.116176	0.098191	0.131371	0.207602
a43	0.00470539	0.00494152	0.00739119	0.0170404	0.0568959	0.112392	0.0935924	0.0935092	0.12821	0.106765	0.177483	0.197074
a18	0.00830181	0.00787245	0.00821904	0.012968	0.033965	0.0727463	0.0761882	0.0662847	0.138968	0.11532	0.233213	0.225953
a31	0.019186	0.0165408	0.0157771	0.0190574	0.0319842	0.0609312	0.0694451	0.0598637	0.1339	0.109425	0.232039	0.231851
a21	0.0057465	0.0050719	0.00560031	0.00942587	0.0243999	0.0550284	0.0509641	0.0554246	0.112551	0.106006	0.249596	0.320185
a85	0.00363952	0.00372079	0.00413667	0.0067775	0.0186975	0.0407967	0.0366377	0.0435	0.10256	0.0965484	0.268257	0.374728
a98	0.00317492	0.00337732	0.00424336	0.00727328	0.0178124	0.0273839	0.0224653	0.0247894	0.0598652	0.0727923	0.269412	0.487411
a25	0.0030557	0.00291555	0.00358983	0.00636626	0.0180818	0.0293087	0.0227622	0.0252465	0.0597717	0.0761703	0.243174	0.509558
a98	0.00223043	0.00228333	0.00290176	0.0056449	0.0162296	0.026002	0.0178978	0.0167542	0.0384526	0.0480878	0.197626	0.62589
a15	0.00262675	0.00223334	0.00258967	0.00504465	0.0156411	0.0294441	0.0225456	0.0168212	0.0381998	0.0415099	0.168929	0.654415
a36	0.0028874	0.00223585	0.00246226	0.00430677	0.0119221	0.0192724	0.0158199	0.0117708	0.030406	0.0401064	0.181496	0.677314
a2	0.00655354	0.00485392	0.00430026	0.00547432	0.0124579	0.0191677	0.0156369	0.0124493	0.0274795	0.0354508	0.191197	0.664979
a57	0.0507823	0.0379113	0.0333572	0.0297898	0.0385029	0.0508656	0.0549784	0.0580236	0.0747003	0.0787601	0.225735	0.266594
a79	0.0402624	0.0259593	0.0220871	0.0216479	0.0351155	0.0607852	0.0730965	0.0801284	0.0885854	0.0812796	0.215044	0.256009
a12	0.0158231	0.00864522	0.00660217	0.00656087	0.010239	0.0150508	0.0135943	0.01055	0.0227507	0.0270365	0.143557	0.71959
a18	0.00134845	0.000996932	0.000842423	0.00119037	0.00256964	0.00549358	0.00571985	0.00537691	0.0226888	0.0314755	0.20923	0.713067
a61	0.0049979	0.00391865	0.00391503	0.00514251	0.00845166	0.014558	0.0199451	0.0158336	0.0428748	0.050402	0.238329	0.591632
a12	0.00154047	0.00137941	0.0014034	0.00217725	0.00452493	0.00969398	0.0128416	0.0122582	0.047719	0.0578678	0.267608	0.580986
