 	l'	oiseau	est	en	train	de	faire	son	nid	</S>
a87	0.20306	0.133551	0.111951	0.0990184	0.111723	0.138028	0.121505	0.0406738	0.0257045	0.0147849
a23	0.281578	0.176951	0.131137	0.0646044	0.0513896	0.0611338	0.0568855	0.0510195	0.0625661	0.0627351
a83	0.160222	0.143346	0.143805	0.102863	0.0852277	0.0857507	0.0672108	0.058279	0.0695762	0.0837202
a75	0.234549	0.194672	0.150557	0.104638	0.0794426	0.0790032	0.0601097	0.0390655	0.0318403	0.0261216
a92	0.237647	0.266619	0.200937	0.120962	0.0595744	0.0406974	0.0267028	0.0171909	0.0172339	0.0124355
a43	0.203274	0.240143	0.179823	0.126818	0.0768481	0.0604031	0.0420499	0.0255697	0.0236552	0.0214151
a0	0.171042	0.221242	0.188084	0.140063	0.0936737	0.0725792	0.0489692	0.0246177	0.022409	0.0173197
a75	0.0958906	0.124323	0.153568	0.166814	0.15419	0.121381	0.083942	0.0414253	0.0338145	0.0246528
a44	0.097466	0.134399	0.15772	0.170287	0.149435	0.116273	0.0804501	0.0406483	0.0270335	0.0262884
a90	0.0654362	0.0819962	0.122835	0.177782	0.192466	0.153394	0.105069	0.0439044	0.0295252	0.0275933
a98	0.0580823	0.0687074	0.0965127	0.147679	0.175928	0.152598	0.117564	0.0759864	0.055738	0.051204
a85	0.0554795	0.0596792	0.0825548	0.133638	0.186606	0.172048	0.131718	0.0778213	0.0541093	0.0463452
a73	0.0511302	0.0581436	0.0716594	0.108035	0.153026	0.156246	0.130422	0.0968893	0.0882941	0.0861534
a44	0.0507445	0.0443885	0.0452216	0.0648365	0.109028	0.142288	0.167041	0.149014	0.119146	0.108293
a15	0.046179	0.0375181	0.0352292	0.0482082	0.0806601	0.11148	0.149626	0.187497	0.158403	0.145199
a94	0.0382458	0.0324046	0.0289012	0.0349045	0.0509858	0.0621994	0.0800974	0.174865	0.208097	0.2893
a76	0.025461	0.0204938	0.0173498	0.0222911	0.0373457	0.0517641	0.0762058	0.193473	0.231542	0.324074
a98	0.0469217	0.0420422	0.0346202	0.0376034	0.0478672	0.0546871	0.0624206	0.135309	0.214425	0.324103
a44	0.0355458	0.0328678	0.0283575	0.0337737	0.0447531	0.0528402	0.0608909	0.14085	0.221365	0.348756
a26	0.0219338	0.0171696	0.0142364	0.0179707	0.0292506	0.0382907	0.0498291	0.143482	0.254801	0.413036
a11	0.00397249	0.00253484	0.0019391	0.00219367	0.00404406	0.00772105	0.0136658	0.0630266	0.238486	0.662417
a56	0.00122692	0.000747009	0.000500183	0.0005012	0.000884777	0.00204062	0.00478006	0.0414279	0.237452	0.710439
a96	0.00107833	0.000762799	0.000584705	0.00064882	0.00120649	0.00280433	0.00592311	0.0462638	0.241239	0.699488
a66	0.000975114	0.00076517	0.000606716	0.000682097	0.00120164	0.00279496	0.00634013	0.0482704	0.250803	0.687561
a9	0.00173964	0.00110235	0.000729987	0.000717557	0.00113409	0.00254493	0.00572321	0.0413026	0.253288	0.691718
a87	0.0301269	0.0213039	0.0140572	0.0115715	0.0154403	0.0269042	0.0406182	0.134098	0.297509	0.408371
a23	0.163148	0.131388	0.0921305	0.0678102	0.0715948	0.0898869	0.0953124	0.0989551	0.101594	0.0881807
a87	0.0776234	0.0465291	0.029145	0.0233127	0.0290181	0.0425091	0.0645125	0.146945	0.237768	0.302636
a97	0.0155503	0.0121522	0.0102237	0.0120016	0.0216478	0.0380788	0.0580079	0.138657	0.228393	0.465287
a87	0.0807017	0.0600452	0.0464937	0.0407215	0.0545218	0.0716967	0.0763798	0.10513	0.153025	0.311284
a23	0.0745406	0.0683241	0.0481566	0.0407595	0.0516895	0.0666489	0.0735102	0.0977428	0.152414	0.326214
a38	0.0438566	0.0329199	0.0246126	0.022196	0.0332826	0.0462136	0.063496	0.137374	0.212458	0.38359
</S>	0.116196	0.0720524	0.0486333	0.0368699	0.0398317	0.0450254	0.0524634	0.097165	0.162552	0.329212
