 	que	dieu	nous	protège	contre	les	tentations	</S>
a15	0.155827	0.240368	0.152419	0.270783	0.133886	0.0320426	0.0102883	0.00438657
a66	0.241138	0.225912	0.108593	0.151782	0.144622	0.0704984	0.0363858	0.0210689
a87	0.401149	0.177409	0.068672	0.0995449	0.078998	0.0558401	0.0598672	0.0585199
a10	0.482957	0.290519	0.0913831	0.0363293	0.0283378	0.0223422	0.0241413	0.0239898
a87	0.423684	0.307939	0.105799	0.037725	0.0377944	0.0338995	0.0273117	0.0258466
a23	0.407581	0.278922	0.105755	0.0499164	0.0466582	0.0435478	0.0336744	0.0339453
a97	0.263457	0.228453	0.104654	0.0897001	0.107878	0.0970539	0.0604765	0.048328
a99	0.270444	0.234018	0.110203	0.0818661	0.0981754	0.0957919	0.0580193	0.0514818
a75	0.209417	0.249902	0.0945137	0.0899915	0.0975203	0.124715	0.0792502	0.0546903
a92	0.239361	0.320501	0.171361	0.101148	0.0515913	0.0486825	0.0377686	0.0295877
a37	0.157141	0.296471	0.23568	0.151872	0.0686134	0.0391833	0.0265978	0.0244412
a94	0.183828	0.277084	0.225145	0.151641	0.0820665	0.0402081	0.0238146	0.0162137
a36	0.140083	0.199994	0.23152	0.189815	0.114144	0.0589064	0.0376971	0.0278403
a75	0.147344	0.206592	0.233876	0.142954	0.088131	0.0618281	0.0608908	0.0583839
a85	0.0564581	0.124852	0.246298	0.228771	0.157032	0.0747227	0.053348	0.0585181
a47	0.0489608	0.0899075	0.187419	0.208251	0.162357	0.100635	0.0899474	0.112522
a98	0.0361784	0.0649755	0.169014	0.251731	0.158578	0.0875012	0.100109	0.131914
a85	0.0177503	0.0344005	0.108238	0.231177	0.166775	0.122358	0.138225	0.181077
a6	0.0110381	0.0218587	0.074545	0.201297	0.150987	0.124794	0.169516	0.245964
a0	0.0179216	0.0354056	0.101973	0.232984	0.154562	0.119695	0.134073	0.203387
a11	0.0105884	0.0109347	0.0350916	0.17989	0.163967	0.153031	0.16007	0.286427
a24	0.0109808	0.00991048	0.0232524	0.10622	0.150029	0.168677	0.218491	0.312439
a88	0.00779419	0.00602803	0.0135197	0.0595584	0.1044	0.168101	0.275218	0.365381
a0	0.00561704	0.00469988	0.010627	0.0415026	0.072362	0.144571	0.32411	0.396511
a56	0.00318978	0.00279223	0.00535626	0.0301033	0.0608746	0.133394	0.321841	0.442448
a96	0.00229401	0.00243818	0.00687058	0.0290525	0.0509827	0.146467	0.294231	0.467664
a62	0.000935615	0.00091282	0.00284394	0.0144704	0.0323966	0.113105	0.33194	0.503395
a88	0.000489849	0.000511678	0.00139311	0.00711374	0.0188723	0.0745211	0.298602	0.598497
a0	0.000147392	0.000148959	0.000376341	0.0027292	0.00722226	0.0374472	0.227486	0.724442
a24	0.000122621	0.000144596	0.000419386	0.00309168	0.00789657	0.0357203	0.205844	0.746761
a9	0.000362949	0.000226751	0.000415046	0.00343914	0.00966845	0.0443712	0.201504	0.740012
a99	0.00814174	0.00389126	0.00494773	0.0238973	0.0310507	0.0829686	0.215013	0.630089
a87	0.0182599	0.0080259	0.00838332	0.0262697	0.037527	0.0872093	0.231643	0.582682
a23	0.176081	0.0690507	0.0482879	0.0633129	0.0636168	0.112589	0.178556	0.288506
a99	0.0784857	0.0145313	0.0100146	0.0147718	0.0199385	0.0742935	0.189392	0.598572
a97	0.0242819	0.00695728	0.00650669	0.01388	0.0226539	0.0764622	0.208044	0.641214
a30	0.0102246	0.00493858	0.00689243	0.0183947	0.0238906	0.0618829	0.194863	0.678913
</S>	0.0169827	0.00519579	0.00563966	0.0185288	0.0301936	0.0817706	0.213203	0.628486
