 	la	femme	ramasse	les	brins	d'	herbe	</S>
a23	0.354834	0.1482	0.12013	0.0857132	0.0439253	0.0717882	0.0842257	0.0911834
a53	0.387313	0.158605	0.101031	0.0540964	0.0519688	0.0742903	0.0824441	0.0902518
a93	0.277638	0.0911705	0.0654544	0.0640965	0.0892881	0.175511	0.135863	0.100979
a34	0.537106	0.217167	0.10916	0.0401119	0.0393222	0.0276924	0.0170157	0.0124247
a75	0.528522	0.256024	0.128882	0.0332121	0.0257397	0.0122443	0.0081976	0.00717809
a92	0.399994	0.257199	0.145607	0.0500234	0.0472874	0.0390959	0.0313075	0.0294862
a98	0.263777	0.21808	0.193943	0.095592	0.0847904	0.0621944	0.0428527	0.0387696
a47	0.163959	0.169297	0.208404	0.136539	0.10845	0.0885005	0.0648692	0.059981
a41	0.0840787	0.102466	0.194592	0.179197	0.167841	0.114346	0.0787399	0.078739
a2	0.060154	0.0758248	0.14085	0.182261	0.182593	0.158939	0.101426	0.0979513
a75	0.03086	0.0367348	0.0673192	0.110901	0.145199	0.186075	0.183277	0.239633
a25	0.0278716	0.037469	0.0624195	0.122544	0.145758	0.192591	0.199467	0.21188
a44	0.0482556	0.0609076	0.0832115	0.126434	0.151674	0.201043	0.165678	0.162796
a26	0.0244186	0.0365296	0.0593803	0.109918	0.191933	0.198719	0.174115	0.204987
a11	0.00955519	0.0140726	0.0238468	0.0607694	0.134604	0.180461	0.227153	0.349538
a75	0.00359103	0.00546323	0.00985226	0.02793	0.0702787	0.139215	0.259804	0.483866
a85	0.0112637	0.0161615	0.026362	0.050119	0.107084	0.176369	0.257159	0.355481
a61	0.0118566	0.0167066	0.024052	0.0443473	0.103393	0.181712	0.256939	0.360993
a47	0.00175124	0.00251178	0.00431703	0.0161394	0.0488387	0.129061	0.284701	0.51268
a31	0.00223036	0.00330393	0.0057122	0.0216188	0.0599576	0.133185	0.280921	0.493071
a88	0.00253002	0.00309564	0.00486881	0.015408	0.0448955	0.135818	0.287192	0.506192
a9	0.00254309	0.00402682	0.00751286	0.0295132	0.0790465	0.16123	0.278141	0.437986
a87	0.0103985	0.0115113	0.0172947	0.0498514	0.110605	0.199226	0.258116	0.342997
a10	0.122295	0.0735323	0.0778293	0.0979392	0.118617	0.144954	0.154245	0.210587
a38	0.0811986	0.0508981	0.0427029	0.051638	0.0661903	0.128996	0.218873	0.359503
a10	0.0470536	0.0373773	0.0374434	0.0651846	0.0837211	0.132868	0.208307	0.388045
</S>	0.00812262	0.00928438	0.0162344	0.0525048	0.0858724	0.146038	0.249148	0.432796
