 	le	chemin	en	question	mène	à	ekyembe	</S>
a66	0.392894	0.19871	0.116692	0.101821	0.0851376	0.0535936	0.0301972	0.0209552
a87	0.259222	0.099542	0.104494	0.142378	0.13541	0.1029	0.0814802	0.0745744
a97	0.218812	0.132184	0.113143	0.116839	0.145527	0.104392	0.0801817	0.0889219
a79	0.302004	0.149393	0.127573	0.109117	0.109987	0.0727222	0.0566602	0.0725432
a53	0.444907	0.203533	0.103267	0.0719902	0.0520447	0.0398147	0.0371403	0.0473025
a90	0.473966	0.246547	0.122722	0.074768	0.0380805	0.0199421	0.0123217	0.0116526
a15	0.350179	0.270413	0.164272	0.0943119	0.0566508	0.0278435	0.0185643	0.0177657
a79	0.194215	0.247991	0.218456	0.152846	0.0811982	0.0458806	0.0296398	0.0297736
a21	0.156531	0.255983	0.224523	0.139181	0.0867652	0.0533775	0.0387002	0.04494
a85	0.154454	0.207064	0.186977	0.146203	0.129319	0.0790922	0.0497937	0.0470973
a6	0.0911501	0.144406	0.162213	0.147584	0.160612	0.127132	0.0872024	0.0797014
a92	0.0872644	0.131924	0.160865	0.161541	0.173551	0.133732	0.0799246	0.0711985
a37	0.0490534	0.0711287	0.0954885	0.118442	0.203998	0.206369	0.139455	0.116066
a18	0.040855	0.0549087	0.0780774	0.110527	0.19506	0.226767	0.154619	0.139186
a31	0.00532131	0.00879801	0.0164013	0.0311663	0.0873809	0.175239	0.263599	0.412094
a88	0.00944355	0.0136229	0.0230225	0.0402457	0.107037	0.216722	0.283233	0.306672
a62	0.00199324	0.00353294	0.00740299	0.0161004	0.0609239	0.155451	0.29202	0.462575
a88	0.0023113	0.00402357	0.00828025	0.0180702	0.0698783	0.169324	0.296267	0.431845
a71	0.000617908	0.00110977	0.00237512	0.00736974	0.0419993	0.118361	0.268323	0.559844
a9	0.00355737	0.00539408	0.00906098	0.020343	0.0517276	0.100834	0.225457	0.583626
a97	0.0252038	0.0284738	0.0358502	0.0577436	0.0978806	0.136536	0.204435	0.413876
a87	0.115827	0.074204	0.0661639	0.0786429	0.115615	0.141503	0.166901	0.241144
a97	0.0918663	0.0679907	0.0718198	0.0918975	0.136129	0.163339	0.171932	0.205026
</S>	0.0650442	0.0448413	0.0460088	0.0672153	0.154031	0.205512	0.208004	0.209343
