 	prenez	ce	raccourci-là	</S>
a66	0.526625	0.28189	0.121963	0.0695222
a87	0.392722	0.241629	0.196003	0.169646
a23	0.594441	0.187504	0.117839	0.100216
a83	0.581387	0.223866	0.118538	0.0762096
a5	0.559828	0.183987	0.116056	0.140129
a18	0.489984	0.23792	0.143618	0.128479
a75	0.229471	0.241203	0.26014	0.269186
a98	0.242076	0.258751	0.229998	0.269174
a15	0.235595	0.265714	0.217376	0.281314
a79	0.2019	0.229251	0.247046	0.321803
a69	0.192974	0.221151	0.262754	0.323122
a7	0.163929	0.167491	0.255354	0.413226
a53	0.123849	0.144314	0.263704	0.468133
a93	0.194793	0.197662	0.24802	0.359525
a34	0.162821	0.209015	0.234977	0.393187
a47	0.138327	0.226636	0.254739	0.380297
a88	0.112963	0.199915	0.297164	0.389957
a61	0.042734	0.123184	0.308675	0.525407
a21	0.0223052	0.0635625	0.252066	0.662066
a47	0.0179315	0.0521215	0.229736	0.700211
a75	0.0142897	0.0382641	0.199439	0.748008
a56	0.00850277	0.0264688	0.167685	0.797343
a94	0.00818869	0.0231776	0.15553	0.813104
a4	0.00549467	0.0162318	0.132906	0.845368
a57	0.00689925	0.0195855	0.129754	0.843761
a3	0.0372431	0.0715078	0.199228	0.692022
a87	0.348563	0.159556	0.186524	0.305357
a23	0.370892	0.216202	0.224638	0.188268
a87	0.161786	0.124477	0.29311	0.420626
a82	0.0591406	0.0845633	0.28216	0.574136
</S>	0.0977694	0.129997	0.290951	0.481284
