 	son	bras	lui	fait	mal	</S>
a85	0.327758	0.19122	0.15171	0.108833	0.104688	0.11579
a37	0.332392	0.180269	0.151086	0.121001	0.105375	0.109876
a98	0.368254	0.239385	0.158776	0.0785082	0.0699459	0.0851311
a73	0.422308	0.257426	0.158368	0.0610487	0.051206	0.0496428
a15	0.316417	0.229751	0.209522	0.103934	0.0746122	0.0657636
a98	0.196418	0.17339	0.196744	0.145133	0.140094	0.148221
a85	0.144252	0.145913	0.193431	0.176655	0.166567	0.173182
a6	0.0852268	0.107795	0.168049	0.196566	0.214298	0.228064
a37	0.0603904	0.0779041	0.132565	0.173726	0.240676	0.314739
a66	0.0370468	0.0518161	0.0913639	0.150314	0.266375	0.403085
a27	0.00918259	0.0100139	0.0208563	0.0592443	0.248337	0.652366
a57	0.00871246	0.00764225	0.0128659	0.0411442	0.224775	0.70486
a10	0.0846478	0.0692275	0.0777107	0.116459	0.229989	0.421966
a87	0.166765	0.136353	0.135087	0.13818	0.178206	0.245409
a23	0.108984	0.0991108	0.117814	0.158635	0.221343	0.294113
a87	0.0880697	0.0869303	0.0902862	0.133866	0.249584	0.351263
</S>	0.0440282	0.0572466	0.0769527	0.127519	0.270832	0.423421
