 	les	grillons	stridulent	dans	la	nuit	</S>
a66	0.440573	0.258912	0.155115	0.0495239	0.0347424	0.0352362	0.0258971
a87	0.311621	0.16706	0.12631	0.0898405	0.10436	0.112153	0.0886557
a97	0.365948	0.287345	0.175453	0.0511914	0.0405927	0.0405591	0.0389113
a10	0.337585	0.306822	0.207113	0.0431614	0.0377281	0.0353966	0.0321944
a97	0.408225	0.31658	0.16812	0.0266285	0.0272761	0.0269687	0.0262014
a27	0.416083	0.303682	0.200501	0.0220232	0.0204642	0.0188075	0.0184394
a66	0.439824	0.296794	0.17246	0.0271231	0.022442	0.0192469	0.0221102
a38	0.325421	0.250941	0.161605	0.060005	0.0534515	0.060155	0.0884211
a56	0.233342	0.195046	0.171381	0.101893	0.0695764	0.0900697	0.138691
a11	0.189943	0.281991	0.287856	0.109877	0.0404781	0.039118	0.050736
a18	0.145532	0.230291	0.292085	0.127247	0.059709	0.0621416	0.0829932
a56	0.130298	0.181634	0.237739	0.129072	0.0779234	0.0967861	0.146547
a18	0.134953	0.222086	0.212585	0.147644	0.0837683	0.0957412	0.103222
a54	0.0864898	0.12251	0.191794	0.156357	0.110834	0.140137	0.191878
a36	0.0412672	0.0528223	0.143183	0.229602	0.171805	0.182424	0.178897
a56	0.0212759	0.0223208	0.0923209	0.188305	0.164198	0.195868	0.315711
a5	0.0259771	0.0252571	0.103886	0.202784	0.178379	0.213894	0.249822
a96	0.0181145	0.0150611	0.0620171	0.164916	0.180613	0.2678	0.291479
a94	0.00705079	0.00558251	0.0266209	0.121248	0.18648	0.305301	0.347716
a56	0.00331887	0.00262246	0.0143809	0.0864897	0.173718	0.321639	0.397831
a54	0.0021255	0.00171231	0.0111085	0.075408	0.162393	0.314627	0.432626
a7	0.000755444	0.000883066	0.00639131	0.0540076	0.14083	0.286495	0.510638
a44	0.000149802	0.000174292	0.00132885	0.0147765	0.0616751	0.209799	0.712096
a70	0.000112767	9.69848e-05	0.000610318	0.00770639	0.0480163	0.223203	0.720254
a13	6.35525e-05	5.02992e-05	0.000233706	0.00383675	0.0396246	0.220721	0.73547
a66	5.46235e-05	4.56663e-05	0.000201436	0.00406259	0.0481957	0.255921	0.691519
a9	0.000264635	0.000189237	0.00052203	0.00709042	0.0640409	0.281884	0.646009
a82	0.00496056	0.00258057	0.00307174	0.0150716	0.0976831	0.298577	0.578055
a57	0.0474528	0.0298652	0.0232013	0.0378289	0.112887	0.225015	0.52375
a97	0.0510096	0.0321683	0.0250869	0.0516784	0.154272	0.24948	0.436305
a3	0.039555	0.0297834	0.025603	0.0600188	0.1647	0.2657	0.41464
a97	0.0327597	0.0291355	0.0304692	0.0689225	0.176697	0.261617	0.400399
a30	0.0263051	0.0331565	0.0469612	0.0812164	0.15705	0.247863	0.407448
</S>	0.0278617	0.0370445	0.0607589	0.0843851	0.13907	0.22388	0.427
