 	la	pluie	m'	a	fait	manquer	les	cours	aujourd'	hui	</S>
a66	0.197829	0.167857	0.211336	0.169765	0.090769	0.0544267	0.0340199	0.0288029	0.020346	0.0133926	0.0114568
a87	0.195423	0.132614	0.148421	0.157029	0.126664	0.117004	0.0576993	0.0351785	0.0117327	0.00868118	0.00955279
a23	0.25169	0.177177	0.184303	0.149363	0.119031	0.0647999	0.021013	0.0111348	0.00623616	0.00613294	0.00911922
a83	0.293413	0.169087	0.160381	0.104445	0.0867193	0.0601393	0.0322241	0.0275181	0.0189086	0.0183429	0.0288213
a53	0.152881	0.1008	0.113242	0.101681	0.11929	0.143203	0.0779801	0.0582762	0.0395935	0.0417838	0.0512694
a15	0.130905	0.108768	0.162256	0.197281	0.168922	0.143755	0.0529101	0.0191857	0.00620671	0.00480544	0.00500524
a20	0.074338	0.0707671	0.119189	0.147777	0.160914	0.207161	0.136445	0.0558789	0.012004	0.00810812	0.00741904
a85	0.052771	0.0512314	0.0849168	0.1135	0.156655	0.277778	0.157872	0.0655036	0.0169187	0.0124218	0.0104308
a6	0.0644075	0.0597907	0.0869402	0.103124	0.139334	0.263407	0.154966	0.0801082	0.0221948	0.014696	0.011032
a37	0.0733326	0.0818656	0.10307	0.117923	0.130211	0.226826	0.150323	0.0745543	0.0197693	0.0127029	0.0094217
a43	0.107442	0.13143	0.142711	0.123597	0.101858	0.124137	0.0993408	0.078172	0.04068	0.0281431	0.0224897
a11	0.074616	0.105107	0.111331	0.102534	0.0859275	0.105199	0.0992428	0.102523	0.0788855	0.0693323	0.0653017
a62	0.0505439	0.0743024	0.0824007	0.0755339	0.0716646	0.1003	0.104778	0.112438	0.11196	0.102605	0.113474
a31	0.0464526	0.0609232	0.0699649	0.0661952	0.0629015	0.0959887	0.128117	0.13434	0.121919	0.100522	0.112675
a0	0.0303424	0.034206	0.0367373	0.0334684	0.0283099	0.0423739	0.109458	0.171437	0.198328	0.16274	0.1526
a34	0.0382451	0.0420749	0.0407971	0.0356533	0.0392359	0.0595567	0.0796437	0.137193	0.205403	0.1545	0.167698
a98	0.0249847	0.0244996	0.0223101	0.0179028	0.0173413	0.0273904	0.055058	0.135917	0.270199	0.210992	0.193406
a79	0.0063561	0.00688945	0.00572223	0.00542656	0.00617922	0.0123616	0.0386298	0.113137	0.252242	0.254419	0.298637
a7	0.00353106	0.00408735	0.00319084	0.00310371	0.00373867	0.00742289	0.0239935	0.0666307	0.195981	0.290114	0.398206
a98	0.00658959	0.00705155	0.00552463	0.00539615	0.00594035	0.00918246	0.0222047	0.0521867	0.151807	0.266301	0.467816
a15	0.00259055	0.00277928	0.00164513	0.00163752	0.00269481	0.00578395	0.0154997	0.0350641	0.111373	0.295891	0.525041
a7	0.00252458	0.00241527	0.00142709	0.00151364	0.00303638	0.00908608	0.0209549	0.0440175	0.146746	0.317042	0.451236
a84	0.0062934	0.00649421	0.00558095	0.00590365	0.00898138	0.0184484	0.0380717	0.078904	0.159221	0.249512	0.422589
a87	0.148536	0.113153	0.112517	0.115728	0.0895881	0.0574141	0.0428697	0.0523976	0.0698177	0.0887718	0.109207
a23	0.238655	0.164769	0.138637	0.130743	0.109388	0.0606634	0.0330224	0.0293381	0.0302183	0.0314783	0.0330866
a99	0.0693149	0.0487946	0.0339561	0.0324715	0.0362237	0.0345402	0.0249641	0.0449478	0.115439	0.240807	0.318542
a38	0.0245423	0.0225966	0.024277	0.0282392	0.0287617	0.0286592	0.0440462	0.0731784	0.132045	0.217926	0.375729
a37	0.00635456	0.0076029	0.00843467	0.0104839	0.0132958	0.0188035	0.0331478	0.0600128	0.137419	0.249655	0.454789
</S>	0.00342352	0.00344916	0.00387935	0.00564925	0.00954922	0.0201844	0.039664	0.0669283	0.143845	0.25907	0.444358
