 	ils	ont	coupé	l'	arbre	olondo	pour	faire	des	planches	</S>
a66	0.250011	0.177343	0.165341	0.143281	0.134673	0.0550628	0.0229151	0.0160227	0.0129716	0.011458	0.0109204
a87	0.37306	0.155375	0.118062	0.104218	0.0853287	0.0326718	0.023143	0.0242259	0.0261036	0.0288213	0.0289901
a23	0.330399	0.141247	0.135812	0.123689	0.0954545	0.0334359	0.0225697	0.023445	0.0250294	0.032321	0.0365963
a40	0.1532	0.0627072	0.0843771	0.101068	0.0879638	0.0510987	0.0596665	0.073997	0.0885543	0.115525	0.121842
a7	0.21002	0.124562	0.107486	0.12787	0.128657	0.0766578	0.0509913	0.0443522	0.0437082	0.0408663	0.0448289
a36	0.257341	0.198612	0.129064	0.112076	0.0879311	0.0432426	0.0383242	0.0370265	0.0346374	0.0313032	0.0304425
a7	0.129535	0.130923	0.132775	0.12783	0.114457	0.0744232	0.0714302	0.0679857	0.06103	0.047087	0.0425236
a79	0.0899406	0.103828	0.138131	0.137022	0.142897	0.10175	0.0792523	0.0638158	0.0551196	0.0446221	0.043622
a90	0.070052	0.099239	0.120081	0.112805	0.12343	0.0898408	0.0790117	0.0756161	0.077489	0.0731213	0.079314
a44	0.101401	0.125215	0.125444	0.112897	0.12775	0.0777795	0.0619506	0.0593892	0.0638467	0.0659009	0.0784249
a93	0.118787	0.141966	0.141835	0.117818	0.106935	0.0545551	0.0480869	0.0526741	0.0606165	0.0720712	0.0846555
a70	0.138231	0.15559	0.149506	0.123668	0.111111	0.0541826	0.0448677	0.0464767	0.051203	0.0590712	0.0660931
a93	0.0601174	0.0860692	0.143676	0.140854	0.136893	0.080079	0.0654841	0.0640491	0.0667649	0.0743596	0.0816532
a44	0.0541439	0.0714586	0.117682	0.124704	0.131413	0.0960351	0.0835335	0.0780952	0.076646	0.0810096	0.0852786
a70	0.025308	0.0355004	0.0725729	0.0900307	0.113746	0.121024	0.115308	0.106475	0.100947	0.106958	0.11213
a88	0.0195956	0.0261347	0.0476274	0.0583391	0.069474	0.115397	0.126734	0.128734	0.124913	0.140674	0.142377
a71	0.00872313	0.0124061	0.0236348	0.0296929	0.0343631	0.0816535	0.120412	0.143483	0.15201	0.192209	0.201412
a54	0.00836283	0.0125884	0.0192975	0.0212042	0.0216213	0.053616	0.0928802	0.132482	0.162023	0.236366	0.239559
a15	0.00142391	0.00219259	0.00603941	0.0094582	0.01185	0.0378507	0.0694527	0.117438	0.179581	0.254338	0.310376
a36	0.000523208	0.000785089	0.0021298	0.00334825	0.00432238	0.0191589	0.0518658	0.111374	0.200002	0.272757	0.333734
a40	0.00119372	0.00128561	0.00209784	0.0027205	0.00298339	0.0112136	0.0405004	0.0910876	0.170224	0.259877	0.416817
a36	0.00076684	0.00086576	0.00142099	0.00208917	0.00238254	0.0102482	0.0388364	0.101159	0.197158	0.278738	0.366335
a40	0.000955494	0.000966214	0.00154843	0.00204586	0.00187435	0.0075234	0.0309582	0.0735619	0.143748	0.260286	0.476532
a36	0.000507653	0.000681181	0.00120763	0.00195363	0.00217496	0.0112248	0.0394813	0.0938581	0.175196	0.273274	0.400441
a27	0.00251764	0.00284595	0.00381892	0.00515313	0.00452963	0.0144896	0.0452967	0.0891812	0.145523	0.25199	0.434654
a57	0.0291504	0.0289329	0.0361082	0.0497822	0.0393725	0.0542688	0.0833945	0.107291	0.135232	0.175108	0.26136
a87	0.071017	0.0513846	0.0572399	0.0758504	0.0582563	0.0609586	0.0791744	0.0938217	0.1111	0.142191	0.199006
a23	0.233135	0.124282	0.144312	0.154435	0.0932442	0.0419564	0.0392364	0.0405852	0.0428114	0.04013	0.0458713
a87	0.111852	0.0523386	0.048243	0.0670301	0.0552979	0.0480736	0.0823266	0.11964	0.143453	0.133718	0.138028
</S>	0.0450839	0.0271695	0.0337594	0.0538041	0.0522173	0.0546127	0.0911049	0.133096	0.168229	0.163134	0.177789
