 	il	n	'	y	en	a	pas	assez	pour	moi	</S>
a23	0.26386	0.159471	0.0724097	0.0441195	0.0416841	0.0472385	0.0439804	0.0512194	0.0732581	0.098538	0.104221
a87	0.237306	0.0869662	0.0485731	0.0524048	0.0665334	0.0941583	0.0912073	0.0800883	0.0826086	0.0856713	0.0744825
a23	0.16507	0.0840179	0.057588	0.0567998	0.0734213	0.121875	0.119933	0.102994	0.08568	0.0718751	0.060745
a40	0.112519	0.0662178	0.061817	0.0712719	0.0872669	0.106902	0.0952994	0.0792952	0.106561	0.116812	0.0960379
a30	0.345836	0.188104	0.125595	0.107844	0.0830451	0.0543448	0.0400865	0.0218098	0.0145621	0.0106555	0.00811663
a37	0.230862	0.201348	0.187488	0.142591	0.0927489	0.0731936	0.0381412	0.0160664	0.00787794	0.00560893	0.00407336
a26	0.214187	0.17988	0.180706	0.141109	0.105463	0.08264	0.0453938	0.0212303	0.0116174	0.00977763	0.00799684
a24	0.167464	0.153507	0.172412	0.139014	0.133955	0.108476	0.0583793	0.0278425	0.0150314	0.0129174	0.0109998
a0	0.120155	0.101593	0.14207	0.139368	0.157948	0.151428	0.0883741	0.0432088	0.0217656	0.0182715	0.0158192
a26	0.0991881	0.0773313	0.114626	0.134638	0.178373	0.179662	0.0996523	0.048934	0.0259954	0.0217513	0.0198498
a24	0.0787235	0.0586974	0.0889971	0.11857	0.181313	0.192538	0.115399	0.0647755	0.0378133	0.0319755	0.0311975
a25	0.0911569	0.0638573	0.0844586	0.117664	0.169492	0.18469	0.114857	0.0674932	0.0405052	0.0329914	0.0328339
a11	0.0579487	0.0362504	0.0477137	0.065923	0.115381	0.161847	0.125444	0.107538	0.0884189	0.0887031	0.104832
a24	0.0510616	0.0305343	0.0406355	0.0525875	0.0880191	0.139087	0.122493	0.117898	0.104051	0.113622	0.140011
a41	0.0442753	0.0296326	0.0391949	0.0536229	0.0787745	0.11477	0.118581	0.135278	0.120633	0.125709	0.139529
a25	0.0764149	0.0446062	0.0406638	0.0388817	0.0565668	0.0870663	0.110638	0.145012	0.135059	0.131016	0.134075
a87	0.0373082	0.0212378	0.0264715	0.0327451	0.0484375	0.0731571	0.095756	0.158631	0.157288	0.165651	0.183317
</S>	0.0182655	0.0145589	0.0217565	0.0357332	0.0479827	0.0740057	0.103349	0.150244	0.152234	0.163598	0.218273
