 	l'	oseille	cuite	à	l'	étouffée	s'	attendrit	vite	</S>
a87	0.174013	0.0890956	0.0566827	0.0647457	0.0741924	0.0814664	0.0890587	0.112705	0.135344	0.122697
a30	0.204823	0.0668279	0.0604286	0.0643372	0.0713116	0.0826235	0.0998483	0.113963	0.11501	0.120827
a57	0.23182	0.0686974	0.035327	0.0334477	0.0354884	0.0449759	0.0656167	0.0780361	0.174988	0.231602
a10	0.208195	0.0840638	0.0490493	0.0488142	0.0509904	0.0626375	0.0887072	0.0804524	0.153957	0.173133
a79	0.154784	0.0779606	0.0584853	0.0600753	0.0631466	0.0777562	0.107032	0.0937338	0.146585	0.160441
a54	0.247537	0.0832813	0.0454292	0.0486114	0.0502121	0.0534556	0.0661351	0.0622041	0.126783	0.216351
a47	0.455651	0.140916	0.0674313	0.0673647	0.0566676	0.0498369	0.0340742	0.0257549	0.037952	0.0643511
a37	0.37855	0.165944	0.079413	0.0665789	0.0523457	0.0409063	0.0312953	0.0296896	0.0540373	0.10124
a61	0.345469	0.19645	0.113631	0.0796767	0.0602942	0.0394822	0.0293877	0.03194	0.041007	0.0626623
a21	0.261099	0.247319	0.183428	0.104293	0.0607557	0.0349857	0.0227899	0.0244983	0.0267425	0.0340897
a66	0.205022	0.236794	0.210386	0.123181	0.0744383	0.0418084	0.0258393	0.029272	0.0243254	0.028934
a25	0.134147	0.184219	0.254146	0.139744	0.0860053	0.0445404	0.0290995	0.0384277	0.0384335	0.051237
a11	0.0639283	0.142474	0.255222	0.152474	0.101326	0.0588416	0.0432139	0.0620729	0.0561666	0.0642798
a96	0.0661281	0.130059	0.254767	0.146017	0.095268	0.0557778	0.0417818	0.0632436	0.0648254	0.0821324
a98	0.0716146	0.1245	0.253265	0.152792	0.111041	0.0733557	0.0523463	0.0674334	0.041022	0.0526294
a73	0.0503356	0.0786042	0.163215	0.10548	0.0907859	0.0783674	0.0785256	0.118521	0.105279	0.130886
a44	0.0306185	0.0512953	0.137131	0.0841993	0.0758676	0.0693156	0.0791274	0.158056	0.145451	0.168939
a13	0.0277126	0.0443876	0.121843	0.0769361	0.0716031	0.0681766	0.0836895	0.171988	0.154834	0.17883
a90	0.0147957	0.0237353	0.0683786	0.0462593	0.049079	0.0558957	0.0910513	0.2172	0.21862	0.214985
a25	0.0137852	0.0205423	0.0510855	0.0361192	0.038534	0.0487102	0.0797138	0.181347	0.263378	0.266785
a90	0.0114103	0.0138962	0.0276315	0.0210067	0.023257	0.0306986	0.0565636	0.14795	0.323474	0.344113
a38	0.00584388	0.0092752	0.0234011	0.015812	0.0186483	0.0258741	0.0563947	0.148277	0.337883	0.358591
a75	0.00354078	0.00471176	0.0118547	0.00867861	0.0106937	0.0158417	0.0354263	0.0939102	0.362199	0.453143
a12	0.00524216	0.00665034	0.0139816	0.0108482	0.0116508	0.016486	0.0352801	0.083254	0.314654	0.501953
a25	0.00804789	0.00887547	0.0149382	0.0112373	0.0139406	0.0184196	0.0333134	0.0714459	0.308954	0.510827
a87	0.00094263	0.00141605	0.00344877	0.00299038	0.00392936	0.00676692	0.0175427	0.0543173	0.31803	0.590616
a23	0.00157202	0.00239859	0.00352057	0.0033931	0.00658116	0.0152021	0.0489176	0.142226	0.329221	0.446967
a87	0.00476574	0.0047331	0.00471454	0.0046356	0.00743927	0.0172249	0.0427053	0.119433	0.359511	0.434837
a23	0.0102191	0.0154367	0.0117051	0.0105936	0.0135126	0.0291159	0.0606688	0.11008	0.342009	0.396659
a99	0.0160528	0.0170175	0.0129169	0.0112684	0.0144065	0.0262459	0.0484969	0.0983784	0.334241	0.420976
a97	0.00762051	0.00898175	0.00744299	0.00718605	0.0123782	0.0264732	0.0622794	0.121474	0.365331	0.380832
</S>	0.00829777	0.00851049	0.00667625	0.00730183	0.0128105	0.0284262	0.0635383	0.122491	0.345157	0.396791
