 	qui	va	arroser	les	légumes	</S>
a66	0.462574	0.315158	0.128224	0.045207	0.0277205	0.0211163
a87	0.695222	0.202817	0.0348218	0.020651	0.01767	0.028818
a23	0.5842	0.217868	0.0820983	0.0292402	0.03191	0.0546837
a79	0.489434	0.171964	0.103972	0.0432725	0.0623057	0.129052
a53	0.487441	0.281692	0.113292	0.0361932	0.0323392	0.0490422
a54	0.341442	0.40317	0.199016	0.0319352	0.013078	0.0113588
a37	0.160037	0.312847	0.272695	0.137796	0.0644388	0.0521861
a36	0.129768	0.261641	0.360227	0.122192	0.0635768	0.0625959
a94	0.0972932	0.183007	0.355886	0.163919	0.100757	0.0991381
a70	0.0926167	0.156387	0.296006	0.196324	0.13392	0.124747
a13	0.0816253	0.111006	0.26056	0.221281	0.162873	0.162655
a54	0.0528087	0.0663995	0.196489	0.269708	0.212643	0.201953
a79	0.0141746	0.0228681	0.078869	0.209703	0.300699	0.373686
a7	0.0292244	0.0402562	0.109475	0.28942	0.280555	0.251069
a54	0.00526254	0.00565023	0.019227	0.14848	0.350183	0.471198
a47	0.00327422	0.00337749	0.0130905	0.118478	0.3352	0.52658
a6	0.000881515	0.00126221	0.00603801	0.0743452	0.32477	0.592703
a36	0.00094964	0.00120075	0.00445657	0.0580093	0.311393	0.623991
a61	0.00169675	0.00168479	0.00366385	0.0531855	0.292717	0.647053
a94	0.000929842	0.00123105	0.00305776	0.049146	0.274361	0.671274
a13	0.0012009	0.00203069	0.00432864	0.0422515	0.242009	0.708179
a18	0.00180373	0.00301434	0.00439971	0.0351052	0.233014	0.722663
a27	0.00474135	0.00531275	0.00897801	0.0518166	0.271664	0.657487
a57	0.0464668	0.0270297	0.0255449	0.0922215	0.281049	0.527688
a87	0.218489	0.077057	0.0397955	0.0896036	0.209132	0.365923
a23	0.361404	0.136683	0.0407451	0.0703118	0.143379	0.247477
a87	0.100916	0.0327554	0.0112641	0.0805545	0.247275	0.527236
</S>	0.00884146	0.00438031	0.00314663	0.0434637	0.227877	0.712291
