 	attends-le	ici	il	n'	en	a	pas	pour	longtemps	</S>
a23	0.136369	0.0888685	0.0866374	0.121048	0.135355	0.14523	0.0998384	0.0668464	0.0622026	0.0576046
a90	0.334981	0.147761	0.0668167	0.0627161	0.0620695	0.0549743	0.0488003	0.0562946	0.080038	0.0855482
a94	0.508993	0.188349	0.0841452	0.0626349	0.0481121	0.0321454	0.0196029	0.0162846	0.0194008	0.0203316
a98	0.471415	0.236377	0.125449	0.0723001	0.0425173	0.0213157	0.00892351	0.00634263	0.00718854	0.00817142
a14	0.303312	0.216349	0.175687	0.12436	0.0781603	0.0428988	0.019209	0.0131456	0.0129079	0.0139704
a73	0.218442	0.203741	0.198524	0.146515	0.0937309	0.0504847	0.0250926	0.0199408	0.0206578	0.0228708
a76	0.140369	0.152809	0.160902	0.133371	0.11697	0.0867193	0.0517997	0.0449429	0.0518895	0.060229
a14	0.136613	0.14814	0.170457	0.147072	0.112929	0.0780762	0.0530516	0.0461385	0.0497843	0.0577397
a30	0.12932	0.15287	0.182936	0.158273	0.125227	0.0799779	0.0538378	0.041231	0.0381969	0.0381319
a84	0.0699151	0.0974258	0.135664	0.154995	0.166904	0.126326	0.0746979	0.0543527	0.0559932	0.0637261
a57	0.071048	0.0880007	0.0979798	0.110322	0.124132	0.1139	0.0842223	0.0755104	0.0999385	0.134947
a87	0.0794616	0.0899057	0.0923118	0.107495	0.115658	0.113396	0.0905133	0.0750311	0.0953334	0.140894
a23	0.0960775	0.0820915	0.0778384	0.0943132	0.110713	0.121751	0.120662	0.0914365	0.0910908	0.114026
a87	0.114261	0.0880178	0.0735889	0.0745201	0.0902561	0.0994519	0.103521	0.0934279	0.11034	0.152615
a40	0.0686795	0.0498679	0.0460924	0.0588285	0.0784695	0.104572	0.14107	0.137825	0.147741	0.166853
a44	0.130143	0.10572	0.0890052	0.0758564	0.0697069	0.0613394	0.0568829	0.0779945	0.124949	0.208404
a57	0.166841	0.168967	0.157978	0.130835	0.112674	0.0842734	0.0515076	0.039741	0.0394354	0.0477473
a90	0.081591	0.0870592	0.0814611	0.078686	0.0919293	0.106919	0.108162	0.103458	0.111942	0.148793
a76	0.059065	0.0673429	0.0731481	0.0879907	0.105865	0.124661	0.112989	0.0997182	0.111073	0.158147
a90	0.0623326	0.0719932	0.0906538	0.123946	0.142451	0.139141	0.104992	0.0834584	0.0828431	0.0981888
a38	0.0639103	0.0645277	0.0676152	0.0813376	0.0937351	0.110625	0.118045	0.110517	0.122869	0.166818
a24	0.0508352	0.0511084	0.0549413	0.0648556	0.0651751	0.0750057	0.104148	0.127762	0.16285	0.243318
a41	0.0333892	0.031698	0.0355338	0.0443255	0.0449164	0.0526626	0.0878023	0.139616	0.208061	0.321995
a27	0.0388139	0.0364809	0.0407551	0.0489957	0.0470493	0.0535242	0.0915316	0.139508	0.20064	0.302701
a57	0.0140451	0.0122485	0.0110828	0.0138561	0.0159503	0.0244969	0.065686	0.138856	0.263953	0.439825
a40	0.0224155	0.0148585	0.0126815	0.016105	0.0187726	0.0266888	0.0693244	0.144281	0.266707	0.408166
a54	0.0326577	0.0238089	0.0198923	0.0216474	0.0207245	0.0260457	0.0566331	0.11847	0.243887	0.436233
a73	0.0402781	0.0310442	0.0267848	0.0287927	0.024391	0.0276902	0.0573011	0.116277	0.229822	0.417619
a84	0.0168191	0.0137783	0.0135269	0.0177368	0.0171808	0.0211218	0.047953	0.115279	0.259926	0.476678
a87	0.019847	0.0139606	0.0109993	0.0124419	0.0129405	0.0166924	0.0395283	0.101991	0.26485	0.506748
</S>	0.0354026	0.0144287	0.00775168	0.00706382	0.00904391	0.0157711	0.0613737	0.157918	0.304603	0.386643
