 	il	a	tiré	trois	singes	à	l'	arc	</S>
a23	0.346939	0.163019	0.0741283	0.0704153	0.0654973	0.0785238	0.0640894	0.0626078	0.0747796
a85	0.423908	0.125602	0.0349796	0.0450957	0.0393325	0.0477325	0.0570119	0.0979105	0.128427
a87	0.307534	0.194732	0.0760543	0.0613075	0.0484793	0.052669	0.0588441	0.0868253	0.113555
a23	0.358609	0.232113	0.128968	0.0873874	0.0404147	0.0211715	0.0242174	0.0403781	0.0667403
a79	0.273991	0.134984	0.0765414	0.0549954	0.0245027	0.0194335	0.040013	0.12093	0.254609
a20	0.306882	0.167783	0.108431	0.0481145	0.0300979	0.0305294	0.0538552	0.109503	0.144804
a30	0.302108	0.250646	0.150142	0.0725548	0.0512194	0.0474634	0.0462501	0.039039	0.040577
a2	0.192061	0.196004	0.2227	0.143719	0.105179	0.0626512	0.0332762	0.0226562	0.0217528
a40	0.113318	0.103257	0.148838	0.120849	0.158777	0.121732	0.0868248	0.0735802	0.0728246
a30	0.101998	0.0831636	0.107806	0.100749	0.123535	0.133978	0.126436	0.113275	0.109059
a37	0.0737824	0.100449	0.171086	0.187149	0.199882	0.136209	0.0637615	0.0368064	0.0308752
a41	0.110506	0.117234	0.140223	0.135674	0.167378	0.13522	0.081065	0.0591992	0.0535007
a0	0.0719359	0.111946	0.177664	0.189417	0.185024	0.111447	0.0520157	0.0484895	0.0520612
a2	0.0469285	0.052533	0.106984	0.147287	0.22299	0.14254	0.0706372	0.0900717	0.120029
a40	0.0388917	0.0350478	0.0685731	0.123645	0.184857	0.122434	0.0722289	0.124884	0.229438
a14	0.0781168	0.0697615	0.0926735	0.0972957	0.106871	0.0999954	0.0955519	0.146307	0.213427
a41	0.0183521	0.0279455	0.0725327	0.120267	0.19887	0.195218	0.137078	0.115896	0.113841
a27	0.0163383	0.0245293	0.0631012	0.0926412	0.164364	0.190938	0.151092	0.138701	0.158296
a11	0.0290546	0.0277745	0.041736	0.0620006	0.107989	0.146154	0.141095	0.168202	0.275994
a41	0.0247087	0.0258455	0.0405815	0.0545468	0.09243	0.137121	0.14799	0.17231	0.304466
a37	0.00652127	0.00861807	0.0266053	0.0452489	0.106164	0.183403	0.222015	0.206139	0.195285
a98	0.0114637	0.0122825	0.0163554	0.0237219	0.0529664	0.111936	0.181704	0.257037	0.332533
a14	0.0077799	0.00938815	0.0236417	0.0382147	0.0940506	0.170426	0.22454	0.205739	0.22622
a73	0.00545432	0.00720313	0.0182863	0.0375537	0.0927315	0.164419	0.233615	0.225725	0.215011
a32	0.0046926	0.00584014	0.0162952	0.0330225	0.0775584	0.145838	0.223524	0.237429	0.2558
a54	0.00488875	0.00525669	0.0103542	0.0197266	0.0470856	0.0970584	0.162767	0.26518	0.387682
a41	0.00544797	0.00585533	0.0151517	0.0312375	0.0745388	0.139934	0.208008	0.228756	0.291071
a5	0.00296719	0.00378714	0.00998656	0.0185323	0.0469246	0.0963187	0.169846	0.270581	0.381057
a12	0.00857568	0.0093306	0.0128184	0.0220793	0.0400596	0.0719134	0.143216	0.281658	0.410349
a94	0.00970124	0.0103342	0.0144252	0.0195026	0.0384168	0.0664649	0.115567	0.264825	0.460763
a66	0.00599483	0.00698627	0.0106956	0.0145038	0.026686	0.0467076	0.0966023	0.267737	0.524087
a90	0.00171855	0.00139947	0.00240532	0.00336566	0.0109437	0.0346769	0.0939511	0.296929	0.55461
a25	0.00628525	0.00624095	0.00736496	0.00981646	0.0197567	0.0371912	0.0846576	0.271469	0.557218
a92	0.0036594	0.00326722	0.00454233	0.00679554	0.0119386	0.0238132	0.063499	0.269252	0.613232
a56	0.00464985	0.00451696	0.00570822	0.00940577	0.019994	0.0372552	0.0848997	0.274113	0.559457
a75	0.00773004	0.00905027	0.0104178	0.0125708	0.023033	0.0398935	0.0839448	0.285217	0.528143
a56	0.00365956	0.00253864	0.00265621	0.00383974	0.00909254	0.0202298	0.0601539	0.2653	0.632529
a75	0.00424792	0.00473535	0.00649802	0.00871658	0.0183887	0.032775	0.0688585	0.2685	0.58728
a98	0.00430666	0.00427713	0.00540802	0.00681831	0.0125811	0.0252695	0.0669501	0.274944	0.599445
a73	0.00270712	0.00224926	0.00309987	0.00371563	0.00901643	0.0220812	0.0718495	0.279163	0.606118
a84	0.00191987	0.00174721	0.00309153	0.00461287	0.0101363	0.0245805	0.0738973	0.288653	0.591362
a57	0.000494384	0.000486344	0.000799943	0.00118806	0.00377715	0.0150392	0.07169	0.333371	0.573154
a87	0.000752234	0.00050714	0.000373524	0.000561678	0.00279529	0.0170334	0.0589576	0.243168	0.675852
</S>	0.00135568	0.00156104	0.0012435	0.00145893	0.00504932	0.0175226	0.0461203	0.214443	0.711246
