 	il	avait	des	larmes	aux	yeux	à	cause	du	piment	qui	lui	brûlait	la	bouche	</S>
a87	0.109317	0.0916935	0.0802118	0.0625023	0.0696488	0.074313	0.104521	0.117423	0.101085	0.0792227	0.0545673	0.0228761	0.0123982	0.00812745	0.00640605	0.00568685
a23	0.111281	0.0824718	0.0586524	0.0408711	0.0480519	0.0548818	0.0610854	0.0969663	0.0786694	0.108076	0.0702538	0.0398123	0.0285003	0.0299527	0.0407694	0.0497049
a87	0.0687009	0.0642831	0.0608778	0.056096	0.0675264	0.0776823	0.073251	0.0809243	0.0659548	0.0806145	0.0612154	0.0424544	0.0362875	0.0377456	0.0473225	0.0790635
a10	0.086987	0.0765402	0.0741108	0.0645415	0.067174	0.0701898	0.0678939	0.0707106	0.0617427	0.0763785	0.0605849	0.0410378	0.0414175	0.0408017	0.0442799	0.0556093
a83	0.0853055	0.0850687	0.0926372	0.0800539	0.0700977	0.0615501	0.0633148	0.0567716	0.0564146	0.0525839	0.0504948	0.0437157	0.0490582	0.0526248	0.0456823	0.0546263
a61	0.184148	0.168485	0.135942	0.0825222	0.0539338	0.0386774	0.0355726	0.0312352	0.0313445	0.0287813	0.0313252	0.0307949	0.0340917	0.0367971	0.0375247	0.0388246
a0	0.247713	0.204952	0.141983	0.077249	0.0515852	0.0437203	0.042245	0.0410583	0.033356	0.0314801	0.0258155	0.015022	0.0118338	0.00988806	0.0107686	0.0113313
a75	0.164385	0.150709	0.122136	0.0808809	0.067676	0.0654936	0.0631992	0.0603948	0.0520691	0.0553276	0.0417603	0.024229	0.0178714	0.0129748	0.0108271	0.010067
a47	0.112998	0.103006	0.0864769	0.0738874	0.0709506	0.0682563	0.0861382	0.0924402	0.0836772	0.0745074	0.051282	0.0258474	0.0169326	0.0143135	0.0169605	0.0223254
a73	0.0874148	0.094909	0.102767	0.0888418	0.0814389	0.0800521	0.0827336	0.0773421	0.0677945	0.0690329	0.051721	0.0299479	0.0220889	0.0183647	0.0193696	0.0261812
a20	0.0654247	0.0785021	0.0994669	0.096241	0.0907422	0.0970844	0.0879274	0.0786418	0.0696837	0.0685807	0.0551605	0.0330024	0.0218258	0.0160819	0.0174539	0.0241806
a47	0.0368895	0.0472452	0.0734819	0.0930242	0.0998826	0.115534	0.11035	0.0968162	0.0902978	0.0671156	0.0533478	0.0353127	0.0204603	0.0148432	0.0171144	0.0282844
a41	0.0297944	0.0381288	0.0623364	0.0834584	0.0943296	0.107289	0.0979954	0.0859642	0.0812652	0.0706935	0.066785	0.0502074	0.0309776	0.0237512	0.0293544	0.0476698
a31	0.0330025	0.0381512	0.0577714	0.0836615	0.101456	0.115648	0.0976689	0.0840073	0.0728684	0.0704264	0.0638978	0.0516947	0.0304277	0.0218685	0.0313132	0.0461364
a47	0.0314506	0.03402	0.044605	0.0639901	0.0861995	0.124768	0.133022	0.122729	0.100962	0.0944607	0.0642889	0.0334812	0.0162229	0.0118587	0.0164353	0.0215056
a24	0.0179535	0.0205563	0.0280781	0.0452394	0.0607143	0.0981357	0.106061	0.109665	0.107443	0.122618	0.0938084	0.0609236	0.0303857	0.0219564	0.0311761	0.0452852
a41	0.0118688	0.0138426	0.0200021	0.0371703	0.054417	0.0903467	0.111496	0.124616	0.129406	0.131575	0.100956	0.0643943	0.0290927	0.0189443	0.02571	0.0361631
a27	0.016618	0.0175021	0.0221551	0.0365215	0.0488621	0.0712562	0.0869736	0.100016	0.120059	0.0990402	0.092259	0.0814246	0.0451843	0.0317218	0.0460942	0.0843118
a75	0.0098267	0.0107555	0.0142584	0.0241179	0.0430884	0.0744015	0.0931705	0.108225	0.128571	0.115271	0.0802683	0.064465	0.0378624	0.0306039	0.0470541	0.118061
a85	0.0189	0.0189787	0.0240426	0.0395398	0.0516585	0.0690881	0.0742905	0.0775913	0.0913765	0.0693483	0.065555	0.0777534	0.0536518	0.0436643	0.0673267	0.157234
a5	0.0253659	0.0256288	0.0307172	0.0463454	0.0545064	0.0673178	0.0719572	0.0704036	0.0791688	0.062176	0.067417	0.0731091	0.0485882	0.0432379	0.0700286	0.164032
a37	0.0398841	0.0379193	0.0434625	0.0623815	0.0662172	0.0775557	0.0916763	0.0843565	0.0862642	0.0674852	0.0641747	0.0642348	0.0406411	0.0344754	0.0485644	0.0907071
a85	0.0128469	0.0126067	0.0156565	0.030255	0.0405125	0.0526565	0.067196	0.0677218	0.0785877	0.0689666	0.0736509	0.0925179	0.0570357	0.0490312	0.0874158	0.193342
a30	0.031508	0.0297034	0.0320198	0.0466476	0.0471764	0.0539624	0.0559386	0.04605	0.0488382	0.0450996	0.0580063	0.0769022	0.0612577	0.0583565	0.10588	0.202653
a27	0.0228744	0.0239126	0.028334	0.0417325	0.0433032	0.0470343	0.0467171	0.0403728	0.0474772	0.0502643	0.0713149	0.123325	0.0856127	0.0586951	0.0899623	0.179068
a30	0.0149098	0.0159613	0.0181862	0.0272784	0.0421882	0.0622201	0.0702397	0.0768597	0.0888039	0.0916297	0.088015	0.107488	0.0616876	0.0396549	0.0549983	0.13988
a87	0.0106766	0.0116744	0.0151003	0.0232863	0.0392219	0.0681725	0.0862314	0.108314	0.131394	0.12444	0.0937495	0.0796473	0.0492345	0.0332687	0.0404792	0.0851097
a23	0.00960892	0.00974139	0.0121763	0.0166394	0.025649	0.0412668	0.0648788	0.0921475	0.120061	0.112488	0.083936	0.0788077	0.0817402	0.0659738	0.0676598	0.117226
a83	0.00346361	0.00347897	0.00458099	0.0073018	0.0117805	0.018827	0.0247878	0.0364663	0.0475912	0.0657147	0.062184	0.0677458	0.0836513	0.0974109	0.165917	0.299098
a75	0.00327665	0.00423878	0.0073342	0.0139151	0.0190978	0.0236065	0.0292341	0.0323763	0.0394894	0.0282682	0.0291182	0.0454698	0.0583161	0.074401	0.173233	0.418625
a85	0.0128254	0.0163149	0.022852	0.0366892	0.0444229	0.0521277	0.0732614	0.0792162	0.0881634	0.059468	0.0645312	0.0763648	0.0630508	0.0596977	0.0860318	0.164983
a37	0.0132521	0.0162659	0.0242472	0.040187	0.0520875	0.0632245	0.0817793	0.0890448	0.0947533	0.0664036	0.0632607	0.0686757	0.0517163	0.046617	0.0742302	0.154255
a44	0.00901512	0.0102578	0.0148228	0.0276358	0.0358917	0.0485958	0.0700034	0.085239	0.108539	0.0905704	0.0763717	0.0775395	0.0631707	0.0578175	0.0804061	0.144124
a98	0.00688175	0.00799019	0.0120908	0.0243042	0.0320378	0.0424738	0.0607778	0.0670938	0.0858813	0.067774	0.0636985	0.0795374	0.0741148	0.0741348	0.108726	0.192483
a47	0.00400229	0.00473803	0.00776761	0.017176	0.0238166	0.0320808	0.0406866	0.0404026	0.051335	0.0412948	0.0444077	0.0755174	0.0761952	0.0793782	0.137169	0.324032
a37	0.00602829	0.00688754	0.0103321	0.022981	0.0303976	0.0389804	0.0447271	0.0408249	0.0493783	0.0411294	0.044799	0.0719445	0.0629614	0.0667251	0.126094	0.335809
a66	0.00465258	0.00519309	0.00788586	0.0180019	0.0249535	0.0353504	0.0460827	0.040995	0.0488812	0.0357623	0.040195	0.0767692	0.0866593	0.0954731	0.149402	0.283743
a47	0.00220861	0.00237785	0.00314889	0.00686509	0.0109504	0.0192839	0.0299929	0.032559	0.0397503	0.0285278	0.0260045	0.045456	0.0595821	0.0949586	0.203008	0.395326
a62	0.00231424	0.00270467	0.00419624	0.0116365	0.0180476	0.0304464	0.042387	0.0417617	0.0495573	0.0413202	0.037883	0.0606778	0.0647796	0.0923834	0.174288	0.325616
a21	0.00212064	0.0022274	0.00287459	0.00563041	0.00815803	0.0141712	0.019684	0.0220149	0.0280841	0.0283157	0.0260994	0.0474093	0.0596029	0.103573	0.219015	0.411019
a94	0.00418587	0.00373038	0.00416831	0.00706805	0.0097516	0.0149597	0.020326	0.0216314	0.026997	0.0255817	0.0286695	0.0566349	0.071852	0.11279	0.230618	0.361035
a4	0.00135396	0.00138699	0.00174193	0.0037141	0.0052628	0.00964147	0.0120453	0.013215	0.0163719	0.0160625	0.0152451	0.0313522	0.0438439	0.085484	0.231233	0.512046
a98	0.000797338	0.000880463	0.00124534	0.00314236	0.00526988	0.00995648	0.0134601	0.0146265	0.0172133	0.0149657	0.0135395	0.0273137	0.0384015	0.0775232	0.224912	0.536752
a47	0.000355247	0.000374198	0.000496868	0.00114368	0.00192783	0.0036958	0.00489451	0.00540993	0.00678881	0.00647227	0.00644177	0.016198	0.031968	0.0706246	0.233783	0.609426
a37	0.00123022	0.00125865	0.00153796	0.00275504	0.00400363	0.00680159	0.00805791	0.00809092	0.0101092	0.00929691	0.0112489	0.0296976	0.0528565	0.092867	0.223732	0.536456
a26	0.001216	0.00122292	0.00140345	0.00222163	0.00313257	0.00564952	0.0074498	0.00889247	0.0103817	0.00913264	0.00909527	0.0213462	0.0370055	0.0716129	0.214284	0.595953
a34	0.00952448	0.00830448	0.00807467	0.00945495	0.0120714	0.0147182	0.0204153	0.0220525	0.0224484	0.0144921	0.0121015	0.0313183	0.0493421	0.0874648	0.185784	0.492433
a61	0.00058246	0.00060835	0.000714637	0.00151059	0.00222808	0.00373835	0.0052665	0.00673704	0.00834818	0.00835675	0.00676084	0.0145635	0.0244236	0.0583295	0.220403	0.637429
a70	0.00133797	0.00149058	0.00185414	0.00361544	0.00546063	0.00830167	0.00948873	0.0105864	0.0113683	0.0116598	0.00902603	0.0185719	0.0250329	0.0508106	0.183855	0.647539
a90	0.00186966	0.00201752	0.00241734	0.00416188	0.00598468	0.00910797	0.00988735	0.0111915	0.0120569	0.0107031	0.00847015	0.0166456	0.0228277	0.0484237	0.170998	0.663237
a25	0.000316879	0.000349864	0.0004584	0.000918815	0.00141033	0.00215372	0.00281255	0.00321647	0.0035389	0.00259817	0.00216281	0.00583724	0.0124578	0.038851	0.192685	0.730232
a56	0.000632893	0.000683175	0.000911426	0.0014765	0.00216413	0.00300144	0.00380167	0.00475171	0.00544409	0.00402814	0.00318007	0.00846665	0.0185123	0.0538669	0.224893	0.664185
a43	0.000522373	0.000632548	0.000877351	0.00188171	0.00278521	0.00432756	0.00541826	0.00611659	0.00656575	0.00567706	0.00458614	0.0115556	0.0187973	0.0478065	0.202623	0.679827
a90	0.000637308	0.000696024	0.000946371	0.00180451	0.00256229	0.00389054	0.00482604	0.00550786	0.00667416	0.00532609	0.00404246	0.00967199	0.0183044	0.052837	0.234077	0.648196
a96	0.000591111	0.000705242	0.000998312	0.00182053	0.00270552	0.0040183	0.00517195	0.00587484	0.00668865	0.00484058	0.00349573	0.00848138	0.0159071	0.0444366	0.206374	0.68789
a44	0.0012311	0.0013548	0.00178479	0.00306954	0.00424309	0.00609673	0.0074372	0.0081297	0.00945551	0.00718627	0.00551497	0.0124276	0.0196351	0.0500371	0.20685	0.655546
a94	0.000927168	0.00105347	0.00137185	0.00245946	0.00326231	0.00476275	0.00584584	0.00668038	0.00789148	0.00637468	0.00463011	0.0092329	0.0156451	0.0424077	0.204853	0.682602
a26	0.00110047	0.00122518	0.00153843	0.00265318	0.00333784	0.00470115	0.00559088	0.00629712	0.00746804	0.00596075	0.0044994	0.00910016	0.0174871	0.0499003	0.224166	0.654974
a82	0.0138958	0.0109195	0.0103069	0.0123246	0.0139247	0.0166584	0.0199709	0.0184413	0.0194896	0.0127023	0.0120872	0.0290291	0.0523418	0.106561	0.215847	0.435499
a87	0.0716569	0.0483752	0.0386056	0.0388297	0.0372146	0.0412341	0.0463985	0.0373819	0.0322101	0.0241952	0.0265515	0.0441101	0.0623394	0.094935	0.144045	0.211917
a23	0.0858519	0.0651786	0.050765	0.0462255	0.0457781	0.0501216	0.0466168	0.042268	0.0372293	0.03656	0.0392993	0.0591326	0.0660971	0.0846195	0.105617	0.13864
a87	0.024833	0.0179513	0.0130034	0.0132421	0.0129175	0.0177337	0.0169341	0.016944	0.0134167	0.0153636	0.0193094	0.0419666	0.0638187	0.115562	0.208239	0.388765
a23	0.00700318	0.00581804	0.00553069	0.00700579	0.0087549	0.0146133	0.01379	0.0154445	0.0131649	0.0156212	0.0160997	0.0267168	0.0448786	0.0886747	0.194517	0.522367
</S>	0.0117595	0.0108911	0.0100917	0.0128006	0.0155501	0.0279758	0.0277495	0.029333	0.0235092	0.0244789	0.0271222	0.0405209	0.0534465	0.0887312	0.165845	0.430194
