 	l'	insecte	mbaráa	rôde	sur	des	fruits	sucrés	</S>
a87	0.156603	0.121755	0.212666	0.216963	0.129637	0.0825864	0.0449489	0.0249098	0.00993058
a97	0.173022	0.109869	0.101577	0.0749309	0.0763441	0.0834741	0.10235	0.144803	0.13363
a23	0.138262	0.137477	0.137163	0.105138	0.0981166	0.0825365	0.0615063	0.113184	0.126616
a5	0.104848	0.123126	0.189677	0.163493	0.0953458	0.073991	0.0550802	0.0975236	0.0969153
a83	0.480232	0.157308	0.0792193	0.059876	0.0442104	0.0366806	0.0399074	0.0482331	0.0543332
a75	0.275927	0.151876	0.11456	0.194903	0.118214	0.0644263	0.0333854	0.023294	0.0234138
a47	0.168175	0.0892772	0.085316	0.173692	0.152029	0.125267	0.0837869	0.0557911	0.0666659
a6	0.141859	0.102961	0.0970635	0.177769	0.174812	0.120278	0.0729209	0.0542194	0.0581168
a37	0.158397	0.113789	0.105588	0.194945	0.171784	0.113507	0.0607622	0.0376629	0.0435641
a85	0.159252	0.126288	0.134833	0.204419	0.164049	0.0995341	0.0467451	0.0292996	0.0355796
a5	0.11291	0.121445	0.161494	0.201382	0.163648	0.10499	0.0593833	0.0373877	0.0373588
a47	0.129525	0.128535	0.179997	0.225792	0.164107	0.0953311	0.0387072	0.0193738	0.0186303
a62	0.130065	0.133424	0.200764	0.218123	0.153382	0.0928793	0.0376375	0.0178323	0.0158928
a47	0.0875144	0.108507	0.205573	0.220255	0.170613	0.123222	0.0482164	0.0196216	0.0164773
a83	0.0800877	0.0911761	0.196303	0.205492	0.173104	0.133957	0.0656969	0.0320412	0.0221429
a34	0.0426641	0.0598059	0.165154	0.173212	0.192078	0.19385	0.0987156	0.0441751	0.0303453
a37	0.0329423	0.0352966	0.109913	0.120022	0.171419	0.217216	0.161216	0.0937383	0.0582359
a44	0.0199392	0.0245036	0.0872562	0.0942289	0.144221	0.226681	0.178391	0.134	0.0907792
a98	0.0166091	0.0179532	0.0603117	0.0721765	0.117904	0.205071	0.201997	0.177885	0.130093
a47	0.015581	0.0170342	0.0355796	0.0389161	0.0563391	0.102149	0.143049	0.219218	0.372133
a37	0.0175835	0.0166997	0.0364384	0.0371379	0.0540417	0.098932	0.131443	0.204591	0.403133
a62	0.0185227	0.0201866	0.0427197	0.0394106	0.0529342	0.0877185	0.118698	0.216427	0.403383
a83	0.0145135	0.0138254	0.0310964	0.0340316	0.0553669	0.095767	0.135604	0.249825	0.36997
a38	0.00436725	0.00513152	0.0157108	0.0156271	0.0289297	0.0555253	0.101021	0.261337	0.512351
a83	0.00242645	0.00287945	0.00874495	0.0075352	0.0154995	0.0296299	0.0582757	0.244594	0.630414
a75	0.00102874	0.00137477	0.00385856	0.00362541	0.00784135	0.0150854	0.0365756	0.194437	0.736173
a98	0.00193176	0.00251449	0.00711664	0.00751811	0.0147421	0.0243189	0.0389333	0.169744	0.73318
a44	0.00201082	0.00218217	0.0048313	0.00537951	0.0110063	0.0199316	0.0350646	0.151543	0.768051
a98	0.000655738	0.000664117	0.00169407	0.00187091	0.00504837	0.00957441	0.0238	0.147004	0.809689
a85	0.00101219	0.00103899	0.00266023	0.00276597	0.00650326	0.0112003	0.0238191	0.146562	0.804438
a21	0.00217513	0.00205347	0.00340306	0.00223641	0.00446833	0.00723678	0.0176585	0.154663	0.806105
a47	0.00244845	0.00234376	0.0049922	0.00519079	0.0104099	0.0188759	0.0434706	0.21036	0.701908
a21	0.00211645	0.00244484	0.00506225	0.00496912	0.0105101	0.0177478	0.0461583	0.24369	0.667301
a47	0.00221641	0.00231166	0.0049282	0.00452747	0.00945764	0.0168541	0.0422611	0.234323	0.683121
a62	0.00131556	0.0014815	0.00324066	0.00316401	0.00754293	0.0126155	0.0334781	0.208645	0.728517
a88	0.00095187	0.00101039	0.00272928	0.00261859	0.00693335	0.0113316	0.0311696	0.217675	0.72558
a9	0.000659351	0.000556933	0.000954117	0.000723295	0.00172122	0.00322317	0.0143873	0.163927	0.813848
a99	0.00279201	0.00132005	0.000962834	0.000436008	0.00115855	0.00312457	0.0238895	0.239841	0.726475
a87	0.011356	0.0058655	0.00348421	0.00220167	0.00390777	0.00754464	0.0348033	0.21687	0.713967
a23	0.0465104	0.0274573	0.024071	0.0170079	0.0194246	0.0338083	0.0771473	0.288154	0.466419
a10	0.0150412	0.0118877	0.0142421	0.00903246	0.0159096	0.0300259	0.0623592	0.218882	0.62262
</S>	0.00582055	0.00794801	0.014716	0.0090484	0.0145335	0.0210203	0.0442575	0.196628	0.686028
